,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
55571,androidx.activity.activity-compose,1.3.0,2021-07-28,https://maven.google.com/androidx/activity/activity-compose/1.3.0/activity-compose-1.3.0.aar,,,,,,,,1.3.1
55572,androidx.activity.activity-compose,1.3.1,2021-08-04,https://maven.google.com/androidx/activity/activity-compose/1.3.1/activity-compose-1.3.1.aar,,,,,,,,1.4.0
55573,androidx.activity.activity-compose,1.4.0,2021-10-27,https://maven.google.com/androidx/activity/activity-compose/1.4.0/activity-compose-1.4.0.aar,,,,,,,,1.5.0
55574,androidx.activity.activity-compose,1.5.0,2022-06-29,https://maven.google.com/androidx/activity/activity-compose/1.5.0/activity-compose-1.5.0.aar,,,,,,,,1.5.1
55575,androidx.activity.activity-compose,1.5.1,2022-07-27,https://maven.google.com/androidx/activity/activity-compose/1.5.1/activity-compose-1.5.1.aar,,,,,,,,1.6.0
55576,androidx.activity.activity-compose,1.6.0,2022-09-21,https://maven.google.com/androidx/activity/activity-compose/1.6.0/activity-compose-1.6.0.aar,,,,,,,,1.6.1
55577,androidx.activity.activity-compose,1.6.1,2022-10-24,https://maven.google.com/androidx/activity/activity-compose/1.6.1/activity-compose-1.6.1.aar,,,,,,,,1.7.0
55578,androidx.activity.activity-compose,1.7.0,2023-03-22,https://maven.google.com/androidx/activity/activity-compose/1.7.0/activity-compose-1.7.0.aar,,,,,,,,1.7.1
55579,androidx.activity.activity-compose,1.7.1,2023-04-19,https://maven.google.com/androidx/activity/activity-compose/1.7.1/activity-compose-1.7.1.aar,,,,,,,,1.7.2
55580,androidx.activity.activity-compose,1.7.2,2023-05-24,https://maven.google.com/androidx/activity/activity-compose/1.7.2/activity-compose-1.7.2.aar,,,,,,,,1.8.0
55581,androidx.activity.activity-compose,1.8.0,2023-10-04,https://maven.google.com/androidx/activity/activity-compose/1.8.0/activity-compose-1.8.0.aar,,,,,,,,1.8.1
55582,androidx.activity.activity-compose,1.8.1,2023-11-15,https://maven.google.com/androidx/activity/activity-compose/1.8.1/activity-compose-1.8.1.aar,,,,,,,,1.8.2
55583,androidx.activity.activity-compose,1.8.2,2023-12-13,https://maven.google.com/androidx/activity/activity-compose/1.8.2/activity-compose-1.8.2.aar,,,,,,,,1.9.0
55584,androidx.activity.activity-compose,1.9.0,2024-04-17,https://maven.google.com/androidx/activity/activity-compose/1.9.0/activity-compose-1.9.0.aar,,,,,,,,1.9.1
55585,androidx.activity.activity-compose,1.9.1,2024-07-24,https://maven.google.com/androidx/activity/activity-compose/1.9.1/activity-compose-1.9.1.aar,,,,,,,,1.9.2
55586,androidx.activity.activity-compose,1.9.2,2024-09-04,https://maven.google.com/androidx/activity/activity-compose/1.9.2/activity-compose-1.9.2.aar,,,,,,,,1.9.3
55587,androidx.activity.activity-compose,1.9.3,2024-10-16,https://maven.google.com/androidx/activity/activity-compose/1.9.3/activity-compose-1.9.3.aar,,,,,,,,1.10.0
55566,androidx.activity.activity-compose,1.10.0,2025-01-15,https://maven.google.com/androidx/activity/activity-compose/1.10.0/activity-compose-1.10.0.aar,,,,,,,,
