,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
54797,androidx.activity.activity,1.0.0,2019-09-05,https://maven.google.com/androidx/activity/activity/1.0.0/activity-1.0.0.aar,,,,,,,,1.1.0
54798,androidx.activity.activity,1.1.0,2020-01-22,https://maven.google.com/androidx/activity/activity/1.1.0/activity-1.1.0.aar,,,,,,,,1.2.0
54799,androidx.activity.activity,1.2.0,2021-02-10,https://maven.google.com/androidx/activity/activity/1.2.0/activity-1.2.0.aar,,,,,,,,1.2.1
54800,androidx.activity.activity,1.2.1,2021-03-10,https://maven.google.com/androidx/activity/activity/1.2.1/activity-1.2.1.aar,,,,,,,,1.2.2
54801,androidx.activity.activity,1.2.2,2021-03-24,https://maven.google.com/androidx/activity/activity/1.2.2/activity-1.2.2.aar,,,,,,,,1.2.3
54802,androidx.activity.activity,1.2.3,2021-05-05,https://maven.google.com/androidx/activity/activity/1.2.3/activity-1.2.3.aar,,,,,,,,1.2.4
54803,androidx.activity.activity,1.2.4,2021-07-21,https://maven.google.com/androidx/activity/activity/1.2.4/activity-1.2.4.aar,,,,,,,,1.3.0
54804,androidx.activity.activity,1.3.0,2021-07-28,https://maven.google.com/androidx/activity/activity/1.3.0/activity-1.3.0.aar,,,,,,,,1.3.1
54805,androidx.activity.activity,1.3.1,2021-08-04,https://maven.google.com/androidx/activity/activity/1.3.1/activity-1.3.1.aar,,,,,,,,1.4.0
54806,androidx.activity.activity,1.4.0,2021-10-27,https://maven.google.com/androidx/activity/activity/1.4.0/activity-1.4.0.aar,,,,,,,,1.5.0
54807,androidx.activity.activity,1.5.0,2022-06-29,https://maven.google.com/androidx/activity/activity/1.5.0/activity-1.5.0.aar,,,,,,,,1.5.1
54808,androidx.activity.activity,1.5.1,2022-07-27,https://maven.google.com/androidx/activity/activity/1.5.1/activity-1.5.1.aar,,,,,,,,1.6.0
54788,androidx.activity.activity,1.6.0,2022-09-21,https://maven.google.com/androidx/activity/activity/1.6.0/activity-1.6.0.aar,,,,,,,,1.6.1
54787,androidx.activity.activity,1.6.1,2022-10-24,https://maven.google.com/androidx/activity/activity/1.6.1/activity-1.6.1.aar,,,,,,,,1.7.0
54786,androidx.activity.activity,1.7.0,2023-03-22,https://maven.google.com/androidx/activity/activity/1.7.0/activity-1.7.0.aar,,,,,,,,1.7.1
54777,androidx.activity.activity,1.7.1,2023-04-19,https://maven.google.com/androidx/activity/activity/1.7.1/activity-1.7.1.aar,,,,,,,,1.7.2
54768,androidx.activity.activity,1.7.2,2023-05-24,https://maven.google.com/androidx/activity/activity/1.7.2/activity-1.7.2.aar,,,,,,,,1.8.0
54769,androidx.activity.activity,1.8.0,2023-10-04,https://maven.google.com/androidx/activity/activity/1.8.0/activity-1.8.0.aar,,,,,,,,1.8.1
54770,androidx.activity.activity,1.8.1,2023-11-15,https://maven.google.com/androidx/activity/activity/1.8.1/activity-1.8.1.aar,,,,,,,,1.8.2
54771,androidx.activity.activity,1.8.2,2023-12-13,https://maven.google.com/androidx/activity/activity/1.8.2/activity-1.8.2.aar,,,,,,,,1.9.0
54772,androidx.activity.activity,1.9.0,2024-04-17,https://maven.google.com/androidx/activity/activity/1.9.0/activity-1.9.0.aar,,,,,,,,1.9.1
54773,androidx.activity.activity,1.9.1,2024-07-24,https://maven.google.com/androidx/activity/activity/1.9.1/activity-1.9.1.aar,,,,,,,,1.9.2
54774,androidx.activity.activity,1.9.2,2024-09-04,https://maven.google.com/androidx/activity/activity/1.9.2/activity-1.9.2.aar,,,,,,,,1.9.3
54775,androidx.activity.activity,1.9.3,2024-10-16,https://maven.google.com/androidx/activity/activity/1.9.3/activity-1.9.3.aar,,,,,,,,1.10.0
54776,androidx.activity.activity,1.10.0,2025-01-15,https://maven.google.com/androidx/activity/activity/1.10.0/activity-1.10.0.aar,,,,,,,,
