,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
85020,androidx.appcompat.appcompat,1.0.0,2018-09-21,https://maven.google.com/androidx/appcompat/appcompat/1.0.0/appcompat-1.0.0.aar,,,,,,,,1.0.1
85019,androidx.appcompat.appcompat,1.0.1,2018-11-05,https://maven.google.com/androidx/appcompat/appcompat/1.0.1/appcompat-1.0.1.aar,,,,,,,,1.0.2
85018,androidx.appcompat.appcompat,1.0.2,2018-11-07,https://maven.google.com/androidx/appcompat/appcompat/1.0.2/appcompat-1.0.2.aar,,,,,,,,1.1.0
84997,androidx.appcompat.appcompat,1.1.0,2019-09-05,https://maven.google.com/androidx/appcompat/appcompat/1.1.0/appcompat-1.1.0.aar,,,,,,,,1.2.0
84996,androidx.appcompat.appcompat,1.2.0,2020-08-05,https://maven.google.com/androidx/appcompat/appcompat/1.2.0/appcompat-1.2.0.aar,,,,,,,,1.3.0
84995,androidx.appcompat.appcompat,1.3.0,2021-05-18,https://maven.google.com/androidx/appcompat/appcompat/1.3.0/appcompat-1.3.0.aar,,,,,,,,1.3.1
84998,androidx.appcompat.appcompat,1.3.1,2021-07-21,https://maven.google.com/androidx/appcompat/appcompat/1.3.1/appcompat-1.3.1.aar,,,,,,,,1.4.0
85003,androidx.appcompat.appcompat,1.4.0,2021-11-17,https://maven.google.com/androidx/appcompat/appcompat/1.4.0/appcompat-1.4.0.aar,,,,,,,,1.4.1
85002,androidx.appcompat.appcompat,1.4.1,2022-01-12,https://maven.google.com/androidx/appcompat/appcompat/1.4.1/appcompat-1.4.1.aar,,,,,,,,1.4.2
85001,androidx.appcompat.appcompat,1.4.2,2022-06-01,https://maven.google.com/androidx/appcompat/appcompat/1.4.2/appcompat-1.4.2.aar,,,,,,,,1.5.0
85000,androidx.appcompat.appcompat,1.5.0,2022-08-10,https://maven.google.com/androidx/appcompat/appcompat/1.5.0/appcompat-1.5.0.aar,,,,,,,,1.5.1
84999,androidx.appcompat.appcompat,1.5.1,2022-09-07,https://maven.google.com/androidx/appcompat/appcompat/1.5.1/appcompat-1.5.1.aar,,,,,,,,1.6.0
84935,androidx.appcompat.appcompat,1.6.0,2023-01-11,https://maven.google.com/androidx/appcompat/appcompat/1.6.0/appcompat-1.6.0.aar,,,,,,,,1.6.1
84934,androidx.appcompat.appcompat,1.6.1,2023-02-08,https://maven.google.com/androidx/appcompat/appcompat/1.6.1/appcompat-1.6.1.aar,,,,,,,,1.7.0
84843,androidx.appcompat.appcompat,1.7.0,2024-05-29,https://maven.google.com/androidx/appcompat/appcompat/1.7.0/appcompat-1.7.0.aar,,,,,,,,18.0.0
