,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
54980,androidx.compose.runtime.runtime,1.0.0,2021-07-28,https://maven.google.com/androidx/compose/runtime/runtime/1.0.0/runtime-1.0.0.aar,,,,,,,,1.0.1
54968,androidx.compose.runtime.runtime,1.0.1,2021-08-04,https://maven.google.com/androidx/compose/runtime/runtime/1.0.1/runtime-1.0.1.aar,,,,,,,,1.0.2
54959,androidx.compose.runtime.runtime,1.0.2,2021-09-01,https://maven.google.com/androidx/compose/runtime/runtime/1.0.2/runtime-1.0.2.aar,,,,,,,,1.0.3
54960,androidx.compose.runtime.runtime,1.0.3,2021-09-29,https://maven.google.com/androidx/compose/runtime/runtime/1.0.3/runtime-1.0.3.aar,,,,,,,,1.0.4
54961,androidx.compose.runtime.runtime,1.0.4,2021-10-13,https://maven.google.com/androidx/compose/runtime/runtime/1.0.4/runtime-1.0.4.aar,,,,,,,,1.0.5
54962,androidx.compose.runtime.runtime,1.0.5,2021-11-03,https://maven.google.com/androidx/compose/runtime/runtime/1.0.5/runtime-1.0.5.aar,,,,,,,,1.1.0
54963,androidx.compose.runtime.runtime,1.1.0,2022-02-09,https://maven.google.com/androidx/compose/runtime/runtime/1.1.0/runtime-1.1.0.aar,,,,,,,,1.1.1
54964,androidx.compose.runtime.runtime,1.1.1,2022-02-23,https://maven.google.com/androidx/compose/runtime/runtime/1.1.1/runtime-1.1.1.aar,,,,,,,,1.2.0
54965,androidx.compose.runtime.runtime,1.2.0,2022-07-27,https://maven.google.com/androidx/compose/runtime/runtime/1.2.0/runtime-1.2.0.aar,,,,,,,,1.2.1
54966,androidx.compose.runtime.runtime,1.2.1,2022-08-10,https://maven.google.com/androidx/compose/runtime/runtime/1.2.1/runtime-1.2.1.aar,,,,,,,,1.3.0
54967,androidx.compose.runtime.runtime,1.3.0,2022-10-24,https://maven.google.com/androidx/compose/runtime/runtime/1.3.0/runtime-1.3.0.aar,,,,,,,,1.3.1
54969,androidx.compose.runtime.runtime,1.3.1,2022-11-09,https://maven.google.com/androidx/compose/runtime/runtime/1.3.1/runtime-1.3.1.aar,,,,,,,,1.3.2
54979,androidx.compose.runtime.runtime,1.3.2,2022-12-07,https://maven.google.com/androidx/compose/runtime/runtime/1.3.2/runtime-1.3.2.aar,,,,,,,,1.3.3
54970,androidx.compose.runtime.runtime,1.3.3,2023-01-11,https://maven.google.com/androidx/compose/runtime/runtime/1.3.3/runtime-1.3.3.aar,,,,,,,,1.4.0
54971,androidx.compose.runtime.runtime,1.4.0,2023-03-22,https://maven.google.com/androidx/compose/runtime/runtime/1.4.0/runtime-1.4.0.aar,,,,,,,,1.4.1
54972,androidx.compose.runtime.runtime,1.4.1,2023-04-05,https://maven.google.com/androidx/compose/runtime/runtime/1.4.1/runtime-1.4.1.aar,,,,,,,,1.4.2
54973,androidx.compose.runtime.runtime,1.4.2,2023-04-19,https://maven.google.com/androidx/compose/runtime/runtime/1.4.2/runtime-1.4.2.aar,,,,,,,,1.4.3
54974,androidx.compose.runtime.runtime,1.4.3,2023-05-03,https://maven.google.com/androidx/compose/runtime/runtime/1.4.3/runtime-1.4.3.aar,,,,,,,,
54975,androidx.compose.runtime.runtime,1.5.0,2023-08-09,https://maven.google.com/androidx/compose/runtime/runtime/1.5.0/runtime-1.5.0.jar,,,,,,,,
54976,androidx.compose.runtime.runtime,1.5.1,2023-09-06,https://maven.google.com/androidx/compose/runtime/runtime/1.5.1/runtime-1.5.1.jar,,,,,,,,
54977,androidx.compose.runtime.runtime,1.5.2,2023-09-27,https://maven.google.com/androidx/compose/runtime/runtime/1.5.2/runtime-1.5.2.jar,,,,,,,,
54978,androidx.compose.runtime.runtime,1.5.3,2023-10-04,https://maven.google.com/androidx/compose/runtime/runtime/1.5.3/runtime-1.5.3.jar,,,,,,,,
55047,androidx.compose.runtime.runtime,1.5.4,2023-10-18,https://maven.google.com/androidx/compose/runtime/runtime/1.5.4/runtime-1.5.4.jar,,,,,,,,
55097,androidx.compose.runtime.runtime,1.6.0,2024-01-24,https://maven.google.com/androidx/compose/runtime/runtime/1.6.0/runtime-1.6.0.jar,,,,,,,,
55204,androidx.compose.runtime.runtime,1.6.1,2024-02-07,https://maven.google.com/androidx/compose/runtime/runtime/1.6.1/runtime-1.6.1.jar,,,,,,,,
55098,androidx.compose.runtime.runtime,1.6.2,2024-02-21,https://maven.google.com/androidx/compose/runtime/runtime/1.6.2/runtime-1.6.2.jar,,,,,,,,
55183,androidx.compose.runtime.runtime,1.6.3,2024-03-06,https://maven.google.com/androidx/compose/runtime/runtime/1.6.3/runtime-1.6.3.jar,,,,,,,,
55184,androidx.compose.runtime.runtime,1.6.4,2024-03-20,https://maven.google.com/androidx/compose/runtime/runtime/1.6.4/runtime-1.6.4.jar,,,,,,,,
55185,androidx.compose.runtime.runtime,1.6.5,2024-04-03,https://maven.google.com/androidx/compose/runtime/runtime/1.6.5/runtime-1.6.5.jar,,,,,,,,
55186,androidx.compose.runtime.runtime,1.6.6,2024-04-17,https://maven.google.com/androidx/compose/runtime/runtime/1.6.6/runtime-1.6.6.jar,,,,,,,,
55187,androidx.compose.runtime.runtime,1.6.7,2024-05-01,https://maven.google.com/androidx/compose/runtime/runtime/1.6.7/runtime-1.6.7.jar,,,,,,,,
55188,androidx.compose.runtime.runtime,1.6.8,2024-06-12,https://maven.google.com/androidx/compose/runtime/runtime/1.6.8/runtime-1.6.8.jar,,,,,,,,
55189,androidx.compose.runtime.runtime,1.7.0,2024-09-04,https://maven.google.com/androidx/compose/runtime/runtime/1.7.0/runtime-1.7.0.jar,,,,,,,,
55190,androidx.compose.runtime.runtime,1.7.1,2024-09-10,https://maven.google.com/androidx/compose/runtime/runtime/1.7.1/runtime-1.7.1.jar,,,,,,,,
55191,androidx.compose.runtime.runtime,1.7.2,2024-09-18,https://maven.google.com/androidx/compose/runtime/runtime/1.7.2/runtime-1.7.2.jar,,,,,,,,
