,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
55127,androidx.compose.ui.ui,1.0.0,2021-07-28,https://maven.google.com/androidx/compose/ui/ui/1.0.0/ui-1.0.0.aar,,,,,,,,1.0.1
55128,androidx.compose.ui.ui,1.0.1,2021-08-04,https://maven.google.com/androidx/compose/ui/ui/1.0.1/ui-1.0.1.aar,,,,,,,,1.0.2
55130,androidx.compose.ui.ui,1.0.2,2021-09-01,https://maven.google.com/androidx/compose/ui/ui/1.0.2/ui-1.0.2.aar,,,,,,,,1.0.3
55140,androidx.compose.ui.ui,1.0.3,2021-09-29,https://maven.google.com/androidx/compose/ui/ui/1.0.3/ui-1.0.3.aar,,,,,,,,1.0.4
55131,androidx.compose.ui.ui,1.0.4,2021-10-13,https://maven.google.com/androidx/compose/ui/ui/1.0.4/ui-1.0.4.aar,,,,,,,,1.0.5
55132,androidx.compose.ui.ui,1.0.5,2021-11-03,https://maven.google.com/androidx/compose/ui/ui/1.0.5/ui-1.0.5.aar,,,,,,,,1.1.0
55133,androidx.compose.ui.ui,1.1.0,2022-02-09,https://maven.google.com/androidx/compose/ui/ui/1.1.0/ui-1.1.0.aar,,,,,,,,1.1.1
55134,androidx.compose.ui.ui,1.1.1,2022-02-23,https://maven.google.com/androidx/compose/ui/ui/1.1.1/ui-1.1.1.aar,,,,,,,,1.2.0
55135,androidx.compose.ui.ui,1.2.0,2022-07-27,https://maven.google.com/androidx/compose/ui/ui/1.2.0/ui-1.2.0.aar,,,,,,,,1.2.1
55136,androidx.compose.ui.ui,1.2.1,2022-08-10,https://maven.google.com/androidx/compose/ui/ui/1.2.1/ui-1.2.1.aar,,,,,,,,1.3.0
55137,androidx.compose.ui.ui,1.3.0,2022-10-24,https://maven.google.com/androidx/compose/ui/ui/1.3.0/ui-1.3.0.aar,,,,,,,,1.3.1
55138,androidx.compose.ui.ui,1.3.1,2022-11-09,https://maven.google.com/androidx/compose/ui/ui/1.3.1/ui-1.3.1.aar,,,,,,,,1.3.2
55139,androidx.compose.ui.ui,1.3.2,2022-12-07,https://maven.google.com/androidx/compose/ui/ui/1.3.2/ui-1.3.2.aar,,,,,,,,1.3.3
55122,androidx.compose.ui.ui,1.3.3,2023-01-11,https://maven.google.com/androidx/compose/ui/ui/1.3.3/ui-1.3.3.aar,,,,,,,,1.4.0
55129,androidx.compose.ui.ui,1.4.0,2023-03-22,https://maven.google.com/androidx/compose/ui/ui/1.4.0/ui-1.4.0.aar,,,,,,,,1.4.1
55121,androidx.compose.ui.ui,1.4.1,2023-04-05,https://maven.google.com/androidx/compose/ui/ui/1.4.1/ui-1.4.1.aar,,,,,,,,1.4.2
55108,androidx.compose.ui.ui,1.4.2,2023-04-19,https://maven.google.com/androidx/compose/ui/ui/1.4.2/ui-1.4.2.aar,,,,,,,,1.4.3
55099,androidx.compose.ui.ui,1.4.3,2023-05-03,https://maven.google.com/androidx/compose/ui/ui/1.4.3/ui-1.4.3.aar,,,,,,,,
55100,androidx.compose.ui.ui,1.5.0,2023-08-09,https://maven.google.com/androidx/compose/ui/ui/1.5.0/ui-1.5.0.jar,,,,,,,,
55101,androidx.compose.ui.ui,1.5.1,2023-09-06,https://maven.google.com/androidx/compose/ui/ui/1.5.1/ui-1.5.1.jar,,,,,,,,
55102,androidx.compose.ui.ui,1.5.2,2023-09-27,https://maven.google.com/androidx/compose/ui/ui/1.5.2/ui-1.5.2.jar,,,,,,,,
55103,androidx.compose.ui.ui,1.5.3,2023-10-04,https://maven.google.com/androidx/compose/ui/ui/1.5.3/ui-1.5.3.jar,,,,,,,,
55104,androidx.compose.ui.ui,1.5.4,2023-10-18,https://maven.google.com/androidx/compose/ui/ui/1.5.4/ui-1.5.4.jar,,,,,,,,
55105,androidx.compose.ui.ui,1.6.0,2024-01-24,https://maven.google.com/androidx/compose/ui/ui/1.6.0/ui-1.6.0.jar,,,,,,,,
55106,androidx.compose.ui.ui,1.6.1,2024-02-07,https://maven.google.com/androidx/compose/ui/ui/1.6.1/ui-1.6.1.jar,,,,,,,,
55107,androidx.compose.ui.ui,1.6.2,2024-02-21,https://maven.google.com/androidx/compose/ui/ui/1.6.2/ui-1.6.2.jar,,,,,,,,
55109,androidx.compose.ui.ui,1.6.3,2024-03-06,https://maven.google.com/androidx/compose/ui/ui/1.6.3/ui-1.6.3.jar,,,,,,,,
55119,androidx.compose.ui.ui,1.6.4,2024-03-20,https://maven.google.com/androidx/compose/ui/ui/1.6.4/ui-1.6.4.jar,,,,,,,,
55110,androidx.compose.ui.ui,1.6.5,2024-04-03,https://maven.google.com/androidx/compose/ui/ui/1.6.5/ui-1.6.5.jar,,,,,,,,
55111,androidx.compose.ui.ui,1.6.6,2024-04-17,https://maven.google.com/androidx/compose/ui/ui/1.6.6/ui-1.6.6.jar,,,,,,,,
55112,androidx.compose.ui.ui,1.6.7,2024-05-01,https://maven.google.com/androidx/compose/ui/ui/1.6.7/ui-1.6.7.jar,,,,,,,,
55113,androidx.compose.ui.ui,1.6.8,2024-06-12,https://maven.google.com/androidx/compose/ui/ui/1.6.8/ui-1.6.8.jar,,,,,,,,
55114,androidx.compose.ui.ui,1.7.0,2024-09-04,https://maven.google.com/androidx/compose/ui/ui/1.7.0/ui-1.7.0.jar,,,,,,,,
55115,androidx.compose.ui.ui,1.7.1,2024-09-10,https://maven.google.com/androidx/compose/ui/ui/1.7.1/ui-1.7.1.jar,,,,,,,,
55116,androidx.compose.ui.ui,1.7.2,2024-09-18,https://maven.google.com/androidx/compose/ui/ui/1.7.2/ui-1.7.2.jar,,,,,,,,
55117,androidx.compose.ui.ui,1.7.3,2024-10-02,https://maven.google.com/androidx/compose/ui/ui/1.7.3/ui-1.7.3.jar,,,,,,,,
55118,androidx.compose.ui.ui,1.7.4,2024-10-16,https://maven.google.com/androidx/compose/ui/ui/1.7.4/ui-1.7.4.jar,,,,,,,,
55120,androidx.compose.ui.ui,1.7.5,2024-10-30,https://maven.google.com/androidx/compose/ui/ui/1.7.5/ui-1.7.5.jar,,,,,,,,
55141,androidx.compose.ui.ui,1.7.6,2024-12-11,https://maven.google.com/androidx/compose/ui/ui/1.7.6/ui-1.7.6.jar,,,,,,,,
55142,androidx.compose.ui.ui,1.7.7,2025-01-29,https://maven.google.com/androidx/compose/ui/ui/1.7.7/ui-1.7.7.jar,,,,,,,,
55143,androidx.compose.ui.ui,1.7.8,2025-02-12,https://maven.google.com/androidx/compose/ui/ui/1.7.8/ui-1.7.8.jar,,,,,,,,
