,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
55217,androidx.core.core,1.0.0,2018-09-21,https://maven.google.com/androidx/core/core/1.0.0/core-1.0.0.aar,,,,,,,,1.0.1
55227,androidx.core.core,1.0.1,2018-11-07,https://maven.google.com/androidx/core/core/1.0.1/core-1.0.1.aar,,,,,,,,1.0.2
55218,androidx.core.core,1.0.2,2019-05-07,https://maven.google.com/androidx/core/core/1.0.2/core-1.0.2.aar,,,,,,,,1.1.0
55219,androidx.core.core,1.1.0,2019-09-05,https://maven.google.com/androidx/core/core/1.1.0/core-1.1.0.aar,,,,,,,,1.2.0
55220,androidx.core.core,1.2.0,2020-02-05,https://maven.google.com/androidx/core/core/1.2.0/core-1.2.0.aar,,,,,,,,1.3.0
55221,androidx.core.core,1.3.0,2020-05-27,https://maven.google.com/androidx/core/core/1.3.0/core-1.3.0.aar,,,,,,,,1.3.1
55222,androidx.core.core,1.3.1,2020-07-22,https://maven.google.com/androidx/core/core/1.3.1/core-1.3.1.aar,,,,,,,,1.3.2
55223,androidx.core.core,1.3.2,2020-10-01,https://maven.google.com/androidx/core/core/1.3.2/core-1.3.2.aar,,,,,,,,1.5.0
55224,androidx.core.core,1.5.0,2021-05-18,https://maven.google.com/androidx/core/core/1.5.0/core-1.5.0.aar,,,,,,,,1.6.0
55225,androidx.core.core,1.6.0,2021-06-30,https://maven.google.com/androidx/core/core/1.6.0/core-1.6.0.aar,,,,,,,,1.7.0
55226,androidx.core.core,1.7.0,2021-10-27,https://maven.google.com/androidx/core/core/1.7.0/core-1.7.0.aar,,,,,,,,1.8.0
55158,androidx.core.core,1.8.0,2022-06-01,https://maven.google.com/androidx/core/core/1.8.0/core-1.8.0.aar,,,,,,,,1.9.0
55157,androidx.core.core,1.9.0,2022-09-07,https://maven.google.com/androidx/core/core/1.9.0/core-1.9.0.aar,,,,,,,,1.10.0
55156,androidx.core.core,1.10.0,2023-04-05,https://maven.google.com/androidx/core/core/1.10.0/core-1.10.0.aar,,,,,,,,1.10.1
55155,androidx.core.core,1.10.1,2023-05-10,https://maven.google.com/androidx/core/core/1.10.1/core-1.10.1.aar,,,,,,,,1.12.0
55123,androidx.core.core,1.12.0,2023-09-06,https://maven.google.com/androidx/core/core/1.12.0/core-1.12.0.aar,,,,,,,,1.13.0
55124,androidx.core.core,1.13.0,2024-04-17,https://maven.google.com/androidx/core/core/1.13.0/core-1.13.0.aar,,,,,,,,1.13.1
55125,androidx.core.core,1.13.1,2024-05-01,https://maven.google.com/androidx/core/core/1.13.1/core-1.13.1.aar,,,,,,,,1.15.0
55126,androidx.core.core,1.15.0,2024-10-30,https://maven.google.com/androidx/core/core/1.15.0/core-1.15.0.aar,,,,,,,,24.2.0
102836,androidx.core.core,24.2.0,2017-05-11,https://maven.google.com/com/android/support/support-compat/24.2.0/support-compat-24.2.0.aar,,,,,,,,24.2.1
102837,androidx.core.core,24.2.1,2017-05-11,https://maven.google.com/com/android/support/support-compat/24.2.1/support-compat-24.2.1.aar,,,,,,,,25.0.0
102838,androidx.core.core,25.0.0,2017-05-11,https://maven.google.com/com/android/support/support-compat/25.0.0/support-compat-25.0.0.aar,,,,,,,,25.0.1
102839,androidx.core.core,25.0.1,2017-05-11,https://maven.google.com/com/android/support/support-compat/25.0.1/support-compat-25.0.1.aar,,,,,,,,25.1.0
102840,androidx.core.core,25.1.0,2017-05-11,https://maven.google.com/com/android/support/support-compat/25.1.0/support-compat-25.1.0.aar,,,,,,,,25.1.1
102794,androidx.core.core,25.1.1,2017-05-11,https://maven.google.com/com/android/support/support-compat/25.1.1/support-compat-25.1.1.aar,,,,,,,,25.2.0
102793,androidx.core.core,25.2.0,2017-05-11,https://maven.google.com/com/android/support/support-compat/25.2.0/support-compat-25.2.0.aar,,,,,,,,25.3.0
102792,androidx.core.core,25.3.0,2017-05-11,https://maven.google.com/com/android/support/support-compat/25.3.0/support-compat-25.3.0.aar,,,,,,,,25.3.1
102757,androidx.core.core,25.3.1,2017-05-11,https://maven.google.com/com/android/support/support-compat/25.3.1/support-compat-25.3.1.aar,,,,,,,,25.4.0
102744,androidx.core.core,25.4.0,2017-06-07,https://maven.google.com/com/android/support/support-compat/25.4.0/support-compat-25.4.0.aar,,,,,,,,26.0.0
102745,androidx.core.core,26.0.0,2017-07-24,https://maven.google.com/com/android/support/support-compat/26.0.0/support-compat-26.0.0.aar,,,,,,,,26.0.1
102746,androidx.core.core,26.0.1,2017-08-08,https://maven.google.com/com/android/support/support-compat/26.0.1/support-compat-26.0.1.aar,,,,,,,,26.0.2
102747,androidx.core.core,26.0.2,2017-08-30,https://maven.google.com/com/android/support/support-compat/26.0.2/support-compat-26.0.2.aar,,,,,,,,26.1.0
102748,androidx.core.core,26.1.0,2017-09-14,https://maven.google.com/com/android/support/support-compat/26.1.0/support-compat-26.1.0.aar,,,,,,,,27.0.0
102749,androidx.core.core,27.0.0,2017-10-25,https://maven.google.com/com/android/support/support-compat/27.0.0/support-compat-27.0.0.aar,,,,,,,,27.0.1
102750,androidx.core.core,27.0.1,2017-11-10,https://maven.google.com/com/android/support/support-compat/27.0.1/support-compat-27.0.1.aar,,,,,,,,27.0.2
102751,androidx.core.core,27.0.2,2017-11-28,https://maven.google.com/com/android/support/support-compat/27.0.2/support-compat-27.0.2.aar,,,,,,,,27.1.0
