,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
55565,androidx.fragment.fragment,1.0.0,2018-09-21,https://maven.google.com/androidx/fragment/fragment/1.0.0/fragment-1.0.0.aar,,,,,,,,1.1.0
55553,androidx.fragment.fragment,1.1.0,2019-09-05,https://maven.google.com/androidx/fragment/fragment/1.1.0/fragment-1.1.0.aar,,,,,,,,1.2.0
55544,androidx.fragment.fragment,1.2.0,2020-01-22,https://maven.google.com/androidx/fragment/fragment/1.2.0/fragment-1.2.0.aar,,,,,,,,1.2.1
55545,androidx.fragment.fragment,1.2.1,2020-02-05,https://maven.google.com/androidx/fragment/fragment/1.2.1/fragment-1.2.1.aar,,,,,,,,1.2.2
55546,androidx.fragment.fragment,1.2.2,2020-02-19,https://maven.google.com/androidx/fragment/fragment/1.2.2/fragment-1.2.2.aar,,,,,,,,1.2.3
55547,androidx.fragment.fragment,1.2.3,2020-03-18,https://maven.google.com/androidx/fragment/fragment/1.2.3/fragment-1.2.3.aar,,,,,,,,1.2.4
55548,androidx.fragment.fragment,1.2.4,2020-04-01,https://maven.google.com/androidx/fragment/fragment/1.2.4/fragment-1.2.4.aar,,,,,,,,1.2.5
55549,androidx.fragment.fragment,1.2.5,2020-06-10,https://maven.google.com/androidx/fragment/fragment/1.2.5/fragment-1.2.5.aar,,,,,,,,1.3.0
55550,androidx.fragment.fragment,1.3.0,2021-02-10,https://maven.google.com/androidx/fragment/fragment/1.3.0/fragment-1.3.0.aar,,,,,,,,1.3.1
55551,androidx.fragment.fragment,1.3.1,2021-03-10,https://maven.google.com/androidx/fragment/fragment/1.3.1/fragment-1.3.1.aar,,,,,,,,1.3.2
55552,androidx.fragment.fragment,1.3.2,2021-03-24,https://maven.google.com/androidx/fragment/fragment/1.3.2/fragment-1.3.2.aar,,,,,,,,1.3.3
55554,androidx.fragment.fragment,1.3.3,2021-04-21,https://maven.google.com/androidx/fragment/fragment/1.3.3/fragment-1.3.3.aar,,,,,,,,1.3.4
