,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
53112,androidx.legacy.legacy-support-core-ui,1.0.0,2018-09-21,https://maven.google.com/androidx/legacy/legacy-support-core-ui/1.0.0/legacy-support-core-ui-1.0.0.aar,,,,,,,,24.2.0
103101,androidx.legacy.legacy-support-core-ui,24.2.0,2017-05-11,https://maven.google.com/com/android/support/support-core-ui/24.2.0/support-core-ui-24.2.0.aar,,,,,,,,24.2.1
103099,androidx.legacy.legacy-support-core-ui,24.2.1,2017-05-11,https://maven.google.com/com/android/support/support-core-ui/24.2.1/support-core-ui-24.2.1.aar,,,,,,,,25.0.0
103084,androidx.legacy.legacy-support-core-ui,25.0.0,2017-05-11,https://maven.google.com/com/android/support/support-core-ui/25.0.0/support-core-ui-25.0.0.aar,,,,,,,,25.0.1
103085,androidx.legacy.legacy-support-core-ui,25.0.1,2017-05-11,https://maven.google.com/com/android/support/support-core-ui/25.0.1/support-core-ui-25.0.1.aar,,,,,,,,25.1.0
103086,androidx.legacy.legacy-support-core-ui,25.1.0,2017-05-11,https://maven.google.com/com/android/support/support-core-ui/25.1.0/support-core-ui-25.1.0.aar,,,,,,,,25.1.1
103087,androidx.legacy.legacy-support-core-ui,25.1.1,2017-05-11,https://maven.google.com/com/android/support/support-core-ui/25.1.1/support-core-ui-25.1.1.aar,,,,,,,,25.2.0
103088,androidx.legacy.legacy-support-core-ui,25.2.0,2017-05-11,https://maven.google.com/com/android/support/support-core-ui/25.2.0/support-core-ui-25.2.0.aar,,,,,,,,25.3.0
103089,androidx.legacy.legacy-support-core-ui,25.3.0,2017-05-11,https://maven.google.com/com/android/support/support-core-ui/25.3.0/support-core-ui-25.3.0.aar,,,,,,,,25.3.1
103090,androidx.legacy.legacy-support-core-ui,25.3.1,2017-05-11,https://maven.google.com/com/android/support/support-core-ui/25.3.1/support-core-ui-25.3.1.aar,,,,,,,,25.4.0
103091,androidx.legacy.legacy-support-core-ui,25.4.0,2017-06-07,https://maven.google.com/com/android/support/support-core-ui/25.4.0/support-core-ui-25.4.0.aar,,,,,,,,26.0.0
103092,androidx.legacy.legacy-support-core-ui,26.0.0,2017-07-24,https://maven.google.com/com/android/support/support-core-ui/26.0.0/support-core-ui-26.0.0.aar,,,,,,,,26.0.1
103093,androidx.legacy.legacy-support-core-ui,26.0.1,2017-08-08,https://maven.google.com/com/android/support/support-core-ui/26.0.1/support-core-ui-26.0.1.aar,,,,,,,,26.0.2
103094,androidx.legacy.legacy-support-core-ui,26.0.2,2017-08-30,https://maven.google.com/com/android/support/support-core-ui/26.0.2/support-core-ui-26.0.2.aar,,,,,,,,26.1.0
103095,androidx.legacy.legacy-support-core-ui,26.1.0,2017-09-14,https://maven.google.com/com/android/support/support-core-ui/26.1.0/support-core-ui-26.1.0.aar,,,,,,,,27.0.0
103096,androidx.legacy.legacy-support-core-ui,27.0.0,2017-10-25,https://maven.google.com/com/android/support/support-core-ui/27.0.0/support-core-ui-27.0.0.aar,,,,,,,,27.0.1
103097,androidx.legacy.legacy-support-core-ui,27.0.1,2017-11-10,https://maven.google.com/com/android/support/support-core-ui/27.0.1/support-core-ui-27.0.1.aar,,,,,,,,27.0.2
103098,androidx.legacy.legacy-support-core-ui,27.0.2,2017-11-28,https://maven.google.com/com/android/support/support-core-ui/27.0.2/support-core-ui-27.0.2.aar,,,,,,,,27.1.0
103051,androidx.legacy.legacy-support-core-ui,27.1.0,2018-02-27,https://maven.google.com/com/android/support/support-core-ui/27.1.0/support-core-ui-27.1.0.aar,,,,,,,,27.1.1
103050,androidx.legacy.legacy-support-core-ui,27.1.1,2018-04-05,https://maven.google.com/com/android/support/support-core-ui/27.1.1/support-core-ui-27.1.1.aar,,,,,,,,28.0.0
103013,androidx.legacy.legacy-support-core-ui,28.0.0,2018-09-21,https://maven.google.com/com/android/support/support-core-ui/28.0.0/support-core-ui-28.0.0.aar,,,,,,,,
