,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
55181,androidx.lifecycle.lifecycle-runtime-ktx,2.2.0,2020-01-22,https://maven.google.com/androidx/lifecycle/lifecycle-runtime-ktx/2.2.0/lifecycle-runtime-ktx-2.2.0.aar,,,,,,,,2.3.0
55180,androidx.lifecycle.lifecycle-runtime-ktx,2.3.0,2021-02-10,https://maven.google.com/androidx/lifecycle/lifecycle-runtime-ktx/2.3.0/lifecycle-runtime-ktx-2.3.0.aar,,,,,,,,2.3.1
55168,androidx.lifecycle.lifecycle-runtime-ktx,2.3.1,2021-03-24,https://maven.google.com/androidx/lifecycle/lifecycle-runtime-ktx/2.3.1/lifecycle-runtime-ktx-2.3.1.aar,,,,,,,,2.4.0
55159,androidx.lifecycle.lifecycle-runtime-ktx,2.4.0,2021-10-27,https://maven.google.com/androidx/lifecycle/lifecycle-runtime-ktx/2.4.0/lifecycle-runtime-ktx-2.4.0.aar,,,,,,,,2.4.1
55160,androidx.lifecycle.lifecycle-runtime-ktx,2.4.1,2022-02-09,https://maven.google.com/androidx/lifecycle/lifecycle-runtime-ktx/2.4.1/lifecycle-runtime-ktx-2.4.1.aar,,,,,,,,2.5.0
55161,androidx.lifecycle.lifecycle-runtime-ktx,2.5.0,2022-06-29,https://maven.google.com/androidx/lifecycle/lifecycle-runtime-ktx/2.5.0/lifecycle-runtime-ktx-2.5.0.aar,,,,,,,,2.5.1
55162,androidx.lifecycle.lifecycle-runtime-ktx,2.5.1,2022-07-27,https://maven.google.com/androidx/lifecycle/lifecycle-runtime-ktx/2.5.1/lifecycle-runtime-ktx-2.5.1.aar,,,,,,,,2.6.0
55163,androidx.lifecycle.lifecycle-runtime-ktx,2.6.0,2023-03-08,https://maven.google.com/androidx/lifecycle/lifecycle-runtime-ktx/2.6.0/lifecycle-runtime-ktx-2.6.0.aar,,,,,,,,2.6.1
55164,androidx.lifecycle.lifecycle-runtime-ktx,2.6.1,2023-03-22,https://maven.google.com/androidx/lifecycle/lifecycle-runtime-ktx/2.6.1/lifecycle-runtime-ktx-2.6.1.aar,,,,,,,,2.6.2
55165,androidx.lifecycle.lifecycle-runtime-ktx,2.6.2,2023-09-06,https://maven.google.com/androidx/lifecycle/lifecycle-runtime-ktx/2.6.2/lifecycle-runtime-ktx-2.6.2.aar,,,,,,,,2.7.0
55166,androidx.lifecycle.lifecycle-runtime-ktx,2.7.0,2024-01-10,https://maven.google.com/androidx/lifecycle/lifecycle-runtime-ktx/2.7.0/lifecycle-runtime-ktx-2.7.0.aar,,,,,,,,
55167,androidx.lifecycle.lifecycle-runtime-ktx,2.8.0,2024-05-14,https://maven.google.com/androidx/lifecycle/lifecycle-runtime-ktx/2.8.0/lifecycle-runtime-ktx-2.8.0.jar,,,,,,,,
55169,androidx.lifecycle.lifecycle-runtime-ktx,2.8.1,2024-05-29,https://maven.google.com/androidx/lifecycle/lifecycle-runtime-ktx/2.8.1/lifecycle-runtime-ktx-2.8.1.jar,,,,,,,,
55179,androidx.lifecycle.lifecycle-runtime-ktx,2.8.2,2024-06-12,https://maven.google.com/androidx/lifecycle/lifecycle-runtime-ktx/2.8.2/lifecycle-runtime-ktx-2.8.2.jar,,,,,,,,
55170,androidx.lifecycle.lifecycle-runtime-ktx,2.8.3,2024-07-01,https://maven.google.com/androidx/lifecycle/lifecycle-runtime-ktx/2.8.3/lifecycle-runtime-ktx-2.8.3.jar,,,,,,,,
55171,androidx.lifecycle.lifecycle-runtime-ktx,2.8.4,2024-07-24,https://maven.google.com/androidx/lifecycle/lifecycle-runtime-ktx/2.8.4/lifecycle-runtime-ktx-2.8.4.jar,,,,,,,,
55172,androidx.lifecycle.lifecycle-runtime-ktx,2.8.5,2024-09-04,https://maven.google.com/androidx/lifecycle/lifecycle-runtime-ktx/2.8.5/lifecycle-runtime-ktx-2.8.5.jar,,,,,,,,
55173,androidx.lifecycle.lifecycle-runtime-ktx,2.8.6,2024-09-18,https://maven.google.com/androidx/lifecycle/lifecycle-runtime-ktx/2.8.6/lifecycle-runtime-ktx-2.8.6.jar,,,,,,,,
55174,androidx.lifecycle.lifecycle-runtime-ktx,2.8.7,2024-10-30,https://maven.google.com/androidx/lifecycle/lifecycle-runtime-ktx/2.8.7/lifecycle-runtime-ktx-2.8.7.jar,,,,,,,,
