,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
53358,androidx.lifecycle.lifecycle-service,2.0.0,2018-09-21,https://maven.google.com/androidx/lifecycle/lifecycle-service/2.0.0/lifecycle-service-2.0.0.aar,,,,,,,,2.1.0
53357,androidx.lifecycle.lifecycle-service,2.1.0,2019-09-05,https://maven.google.com/androidx/lifecycle/lifecycle-service/2.1.0/lifecycle-service-2.1.0.aar,,,,,,,,2.2.0
53356,androidx.lifecycle.lifecycle-service,2.2.0,2020-01-22,https://maven.google.com/androidx/lifecycle/lifecycle-service/2.2.0/lifecycle-service-2.2.0.aar,,,,,,,,2.3.0
53355,androidx.lifecycle.lifecycle-service,2.3.0,2021-02-10,https://maven.google.com/androidx/lifecycle/lifecycle-service/2.3.0/lifecycle-service-2.3.0.aar,,,,,,,,2.3.1
53290,androidx.lifecycle.lifecycle-service,2.3.1,2021-03-24,https://maven.google.com/androidx/lifecycle/lifecycle-service/2.3.1/lifecycle-service-2.3.1.aar,,,,,,,,2.4.0
53291,androidx.lifecycle.lifecycle-service,2.4.0,2021-10-27,https://maven.google.com/androidx/lifecycle/lifecycle-service/2.4.0/lifecycle-service-2.4.0.aar,,,,,,,,2.4.1
53292,androidx.lifecycle.lifecycle-service,2.4.1,2022-02-09,https://maven.google.com/androidx/lifecycle/lifecycle-service/2.4.1/lifecycle-service-2.4.1.aar,,,,,,,,2.5.0
53293,androidx.lifecycle.lifecycle-service,2.5.0,2022-06-29,https://maven.google.com/androidx/lifecycle/lifecycle-service/2.5.0/lifecycle-service-2.5.0.aar,,,,,,,,2.5.1
53294,androidx.lifecycle.lifecycle-service,2.5.1,2022-07-27,https://maven.google.com/androidx/lifecycle/lifecycle-service/2.5.1/lifecycle-service-2.5.1.aar,,,,,,,,2.6.0
53295,androidx.lifecycle.lifecycle-service,2.6.0,2023-03-08,https://maven.google.com/androidx/lifecycle/lifecycle-service/2.6.0/lifecycle-service-2.6.0.aar,,,,,,,,2.6.1
53296,androidx.lifecycle.lifecycle-service,2.6.1,2023-03-22,https://maven.google.com/androidx/lifecycle/lifecycle-service/2.6.1/lifecycle-service-2.6.1.aar,,,,,,,,2.6.2
53297,androidx.lifecycle.lifecycle-service,2.6.2,2023-09-06,https://maven.google.com/androidx/lifecycle/lifecycle-service/2.6.2/lifecycle-service-2.6.2.aar,,,,,,,,2.7.0
53298,androidx.lifecycle.lifecycle-service,2.7.0,2024-01-10,https://maven.google.com/androidx/lifecycle/lifecycle-service/2.7.0/lifecycle-service-2.7.0.aar,,,,,,,,2.8.0
53300,androidx.lifecycle.lifecycle-service,2.8.0,2024-05-14,https://maven.google.com/androidx/lifecycle/lifecycle-service/2.8.0/lifecycle-service-2.8.0.aar,,,,,,,,2.8.1
53310,androidx.lifecycle.lifecycle-service,2.8.1,2024-05-29,https://maven.google.com/androidx/lifecycle/lifecycle-service/2.8.1/lifecycle-service-2.8.1.aar,,,,,,,,2.8.2
53301,androidx.lifecycle.lifecycle-service,2.8.2,2024-06-12,https://maven.google.com/androidx/lifecycle/lifecycle-service/2.8.2/lifecycle-service-2.8.2.aar,,,,,,,,2.8.3
53302,androidx.lifecycle.lifecycle-service,2.8.3,2024-07-01,https://maven.google.com/androidx/lifecycle/lifecycle-service/2.8.3/lifecycle-service-2.8.3.aar,,,,,,,,2.8.4
53303,androidx.lifecycle.lifecycle-service,2.8.4,2024-07-24,https://maven.google.com/androidx/lifecycle/lifecycle-service/2.8.4/lifecycle-service-2.8.4.aar,,,,,,,,2.8.5
53304,androidx.lifecycle.lifecycle-service,2.8.5,2024-09-04,https://maven.google.com/androidx/lifecycle/lifecycle-service/2.8.5/lifecycle-service-2.8.5.aar,,,,,,,,2.8.6
53305,androidx.lifecycle.lifecycle-service,2.8.6,2024-09-18,https://maven.google.com/androidx/lifecycle/lifecycle-service/2.8.6/lifecycle-service-2.8.6.aar,,,,,,,,2.8.7
53306,androidx.lifecycle.lifecycle-service,2.8.7,2024-10-30,https://maven.google.com/androidx/lifecycle/lifecycle-service/2.8.7/lifecycle-service-2.8.7.aar,,,,,,,,
