,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
50930,androidx.lifecycle.lifecycle-viewmodel-compose,2.4.0,2021-10-27,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-compose/2.4.0/lifecycle-viewmodel-compose-2.4.0.aar,,,,,,,,2.4.1
50931,androidx.lifecycle.lifecycle-viewmodel-compose,2.4.1,2022-02-09,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-compose/2.4.1/lifecycle-viewmodel-compose-2.4.1.aar,,,,,,,,2.5.0
50932,androidx.lifecycle.lifecycle-viewmodel-compose,2.5.0,2022-06-29,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-compose/2.5.0/lifecycle-viewmodel-compose-2.5.0.aar,,,,,,,,2.5.1
50933,androidx.lifecycle.lifecycle-viewmodel-compose,2.5.1,2022-07-27,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-compose/2.5.1/lifecycle-viewmodel-compose-2.5.1.aar,,,,,,,,2.6.0
50934,androidx.lifecycle.lifecycle-viewmodel-compose,2.6.0,2023-03-08,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-compose/2.6.0/lifecycle-viewmodel-compose-2.6.0.aar,,,,,,,,2.6.1
50936,androidx.lifecycle.lifecycle-viewmodel-compose,2.6.1,2023-03-22,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-compose/2.6.1/lifecycle-viewmodel-compose-2.6.1.aar,,,,,,,,2.6.2
50946,androidx.lifecycle.lifecycle-viewmodel-compose,2.6.2,2023-09-06,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-compose/2.6.2/lifecycle-viewmodel-compose-2.6.2.aar,,,,,,,,2.7.0
50937,androidx.lifecycle.lifecycle-viewmodel-compose,2.7.0,2024-01-10,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-compose/2.7.0/lifecycle-viewmodel-compose-2.7.0.aar,,,,,,,,
50938,androidx.lifecycle.lifecycle-viewmodel-compose,2.8.0,2024-05-14,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-compose/2.8.0/lifecycle-viewmodel-compose-2.8.0.jar,,,,,,,,
50939,androidx.lifecycle.lifecycle-viewmodel-compose,2.8.1,2024-05-29,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-compose/2.8.1/lifecycle-viewmodel-compose-2.8.1.jar,,,,,,,,
50940,androidx.lifecycle.lifecycle-viewmodel-compose,2.8.2,2024-06-12,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-compose/2.8.2/lifecycle-viewmodel-compose-2.8.2.jar,,,,,,,,
50941,androidx.lifecycle.lifecycle-viewmodel-compose,2.8.3,2024-07-01,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-compose/2.8.3/lifecycle-viewmodel-compose-2.8.3.jar,,,,,,,,
50942,androidx.lifecycle.lifecycle-viewmodel-compose,2.8.4,2024-07-24,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-compose/2.8.4/lifecycle-viewmodel-compose-2.8.4.jar,,,,,,,,
50943,androidx.lifecycle.lifecycle-viewmodel-compose,2.8.5,2024-09-04,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-compose/2.8.5/lifecycle-viewmodel-compose-2.8.5.jar,,,,,,,,
50944,androidx.lifecycle.lifecycle-viewmodel-compose,2.8.6,2024-09-18,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-compose/2.8.6/lifecycle-viewmodel-compose-2.8.6.jar,,,,,,,,
50945,androidx.lifecycle.lifecycle-viewmodel-compose,2.8.7,2024-10-30,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-compose/2.8.7/lifecycle-viewmodel-compose-2.8.7.jar,,,,,,,,
