,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
50675,androidx.lifecycle.lifecycle-viewmodel-savedstate,1.0.0,2020-01-22,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-savedstate/1.0.0/lifecycle-viewmodel-savedstate-1.0.0.aar,,,,,,,,2.2.0
50676,androidx.lifecycle.lifecycle-viewmodel-savedstate,2.2.0,2020-02-05,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-savedstate/2.2.0/lifecycle-viewmodel-savedstate-2.2.0.aar,,,,,,,,2.3.0
50677,androidx.lifecycle.lifecycle-viewmodel-savedstate,2.3.0,2021-02-10,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-savedstate/2.3.0/lifecycle-viewmodel-savedstate-2.3.0.aar,,,,,,,,2.3.1
50678,androidx.lifecycle.lifecycle-viewmodel-savedstate,2.3.1,2021-03-24,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-savedstate/2.3.1/lifecycle-viewmodel-savedstate-2.3.1.aar,,,,,,,,2.4.0
50679,androidx.lifecycle.lifecycle-viewmodel-savedstate,2.4.0,2021-10-27,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-savedstate/2.4.0/lifecycle-viewmodel-savedstate-2.4.0.aar,,,,,,,,2.4.1
50680,androidx.lifecycle.lifecycle-viewmodel-savedstate,2.4.1,2022-02-09,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-savedstate/2.4.1/lifecycle-viewmodel-savedstate-2.4.1.aar,,,,,,,,2.5.0
50681,androidx.lifecycle.lifecycle-viewmodel-savedstate,2.5.0,2022-06-29,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-savedstate/2.5.0/lifecycle-viewmodel-savedstate-2.5.0.aar,,,,,,,,2.5.1
50661,androidx.lifecycle.lifecycle-viewmodel-savedstate,2.5.1,2022-07-27,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-savedstate/2.5.1/lifecycle-viewmodel-savedstate-2.5.1.aar,,,,,,,,2.6.0
50660,androidx.lifecycle.lifecycle-viewmodel-savedstate,2.6.0,2023-03-08,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-savedstate/2.6.0/lifecycle-viewmodel-savedstate-2.6.0.aar,,,,,,,,2.6.1
50659,androidx.lifecycle.lifecycle-viewmodel-savedstate,2.6.1,2023-03-22,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-savedstate/2.6.1/lifecycle-viewmodel-savedstate-2.6.1.aar,,,,,,,,2.6.2
50650,androidx.lifecycle.lifecycle-viewmodel-savedstate,2.6.2,2023-09-06,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-savedstate/2.6.2/lifecycle-viewmodel-savedstate-2.6.2.aar,,,,,,,,2.7.0
50641,androidx.lifecycle.lifecycle-viewmodel-savedstate,2.7.0,2024-01-10,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-savedstate/2.7.0/lifecycle-viewmodel-savedstate-2.7.0.aar,,,,,,,,2.8.0
50642,androidx.lifecycle.lifecycle-viewmodel-savedstate,2.8.0,2024-05-14,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-savedstate/2.8.0/lifecycle-viewmodel-savedstate-2.8.0.aar,,,,,,,,2.8.1
50643,androidx.lifecycle.lifecycle-viewmodel-savedstate,2.8.1,2024-05-29,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-savedstate/2.8.1/lifecycle-viewmodel-savedstate-2.8.1.aar,,,,,,,,2.8.2
50644,androidx.lifecycle.lifecycle-viewmodel-savedstate,2.8.2,2024-06-12,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-savedstate/2.8.2/lifecycle-viewmodel-savedstate-2.8.2.aar,,,,,,,,2.8.3
50645,androidx.lifecycle.lifecycle-viewmodel-savedstate,2.8.3,2024-07-01,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-savedstate/2.8.3/lifecycle-viewmodel-savedstate-2.8.3.aar,,,,,,,,2.8.4
50646,androidx.lifecycle.lifecycle-viewmodel-savedstate,2.8.4,2024-07-24,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-savedstate/2.8.4/lifecycle-viewmodel-savedstate-2.8.4.aar,,,,,,,,2.8.5
50647,androidx.lifecycle.lifecycle-viewmodel-savedstate,2.8.5,2024-09-04,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-savedstate/2.8.5/lifecycle-viewmodel-savedstate-2.8.5.aar,,,,,,,,2.8.6
50648,androidx.lifecycle.lifecycle-viewmodel-savedstate,2.8.6,2024-09-18,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-savedstate/2.8.6/lifecycle-viewmodel-savedstate-2.8.6.aar,,,,,,,,2.8.7
50649,androidx.lifecycle.lifecycle-viewmodel-savedstate,2.8.7,2024-10-30,https://maven.google.com/androidx/lifecycle/lifecycle-viewmodel-savedstate/2.8.7/lifecycle-viewmodel-savedstate-2.8.7.aar,,,,,,,,
