,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
103464,androidx.sqlite.sqlite,1.0.0,2017-11-06,https://maven.google.com/android/arch/persistence/db/1.0.0/db-1.0.0.aar,,,,,,,,1.1.0
103465,androidx.sqlite.sqlite,1.1.0,2018-05-06,https://maven.google.com/android/arch/persistence/db/1.1.0/db-1.1.0.aar,,,,,,,,1.1.1
103466,androidx.sqlite.sqlite,1.1.1,2018-06-19,https://maven.google.com/android/arch/persistence/db/1.1.1/db-1.1.1.aar,,,,,,,,2.0.0
53144,androidx.sqlite.sqlite,2.0.0,2018-10-01,https://maven.google.com/androidx/sqlite/sqlite/2.0.0/sqlite-2.0.0.aar,,,,,,,,2.0.1
53143,androidx.sqlite.sqlite,2.0.1,2019-03-13,https://maven.google.com/androidx/sqlite/sqlite/2.0.1/sqlite-2.0.1.aar,,,,,,,,2.1.0
53132,androidx.sqlite.sqlite,2.1.0,2020-01-22,https://maven.google.com/androidx/sqlite/sqlite/2.1.0/sqlite-2.1.0.aar,,,,,,,,2.2.0
53123,androidx.sqlite.sqlite,2.2.0,2021-12-15,https://maven.google.com/androidx/sqlite/sqlite/2.2.0/sqlite-2.2.0.aar,,,,,,,,2.3.0
53124,androidx.sqlite.sqlite,2.3.0,2023-01-11,https://maven.google.com/androidx/sqlite/sqlite/2.3.0/sqlite-2.3.0.aar,,,,,,,,2.3.1
53125,androidx.sqlite.sqlite,2.3.1,2023-03-22,https://maven.google.com/androidx/sqlite/sqlite/2.3.1/sqlite-2.3.1.aar,,,,,,,,2.4.0
53126,androidx.sqlite.sqlite,2.4.0,2023-10-18,https://maven.google.com/androidx/sqlite/sqlite/2.4.0/sqlite-2.4.0.aar,,,,,,,,
