,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
28511,aws.smithy.kotlin.serde-jvm,0.7.5,2022-01-06,https://repo1.maven.org/maven2/aws/smithy/kotlin/serde-jvm/0.7.5/serde-jvm-0.7.5.jar,,,,,,,,0.7.6
28512,aws.smithy.kotlin.serde-jvm,0.7.6,2022-01-13,https://repo1.maven.org/maven2/aws/smithy/kotlin/serde-jvm/0.7.6/serde-jvm-0.7.6.jar,,,,,,,,0.7.7
28513,aws.smithy.kotlin.serde-jvm,0.7.7,2022-02-04,https://repo1.maven.org/maven2/aws/smithy/kotlin/serde-jvm/0.7.7/serde-jvm-0.7.7.jar,,,,,,,,0.7.8
28514,aws.smithy.kotlin.serde-jvm,0.7.8,2022-02-17,https://repo1.maven.org/maven2/aws/smithy/kotlin/serde-jvm/0.7.8/serde-jvm-0.7.8.jar,,,,,,,,0.8.0
28515,aws.smithy.kotlin.serde-jvm,0.8.0,2022-03-24,https://repo1.maven.org/maven2/aws/smithy/kotlin/serde-jvm/0.8.0/serde-jvm-0.8.0.jar,,,,,,,,0.8.1
28494,aws.smithy.kotlin.serde-jvm,0.8.1,2022-04-02,https://repo1.maven.org/maven2/aws/smithy/kotlin/serde-jvm/0.8.1/serde-jvm-0.8.1.jar,,,,,,,,0.8.2
28516,aws.smithy.kotlin.serde-jvm,0.8.2,2022-04-07,https://repo1.maven.org/maven2/aws/smithy/kotlin/serde-jvm/0.8.2/serde-jvm-0.8.2.jar,,,,,,,,0.8.3
28493,aws.smithy.kotlin.serde-jvm,0.8.3,2022-04-14,https://repo1.maven.org/maven2/aws/smithy/kotlin/serde-jvm/0.8.3/serde-jvm-0.8.3.jar,,,,,,,,0.8.4
28491,aws.smithy.kotlin.serde-jvm,0.8.4,2022-04-21,https://repo1.maven.org/maven2/aws/smithy/kotlin/serde-jvm/0.8.4/serde-jvm-0.8.4.jar,,,,,,,,0.8.5
28468,aws.smithy.kotlin.serde-jvm,0.8.5,2022-04-21,https://repo1.maven.org/maven2/aws/smithy/kotlin/serde-jvm/0.8.5/serde-jvm-0.8.5.jar,,,,,,,,0.9.0
