,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
56530,cglib.cglib-nodep,2.1,2005-11-08,https://repo1.maven.org/maven2/cglib/cglib-nodep/2.1/cglib-nodep-2.1.jar,2,,,,,,,2.1.2
56531,cglib.cglib-nodep,2.1.2,2005-11-08,https://repo1.maven.org/maven2/cglib/cglib-nodep/2.1_2/cglib-nodep-2.1_2.jar,2,0,0,0,0,0,0,2.1.3
56532,cglib.cglib-nodep,2.1.3,2005-11-08,https://repo1.maven.org/maven2/cglib/cglib-nodep/2.1_3/cglib-nodep-2.1_3.jar,2,0,0,0,0,0,0,2.2
56512,cglib.cglib-nodep,2.2,2008-12-01,https://repo1.maven.org/maven2/cglib/cglib-nodep/2.2/cglib-nodep-2.2.jar,2,0,0,0,0,0,0,2.2.2
56511,cglib.cglib-nodep,2.2.2,2011-05-10,https://repo1.maven.org/maven2/cglib/cglib-nodep/2.2.2/cglib-nodep-2.2.2.jar,2,0,0,0,0,0,0,3.0
56510,cglib.cglib-nodep,3.0,2013-04-09,https://repo1.maven.org/maven2/cglib/cglib-nodep/3.0/cglib-nodep-3.0.jar,2,0,0,0,0,0,0,3.1
56499,cglib.cglib-nodep,3.1,2013-12-09,https://repo1.maven.org/maven2/cglib/cglib-nodep/3.1/cglib-nodep-3.1.jar,2,0,0,0,0,0,0,3.2.0
56490,cglib.cglib-nodep,3.2.0,2015-10-28,https://repo1.maven.org/maven2/cglib/cglib-nodep/3.2.0/cglib-nodep-3.2.0.jar,2,0,0,0,0,0,0,3.2.1
56491,cglib.cglib-nodep,3.2.1,2016-02-23,https://repo1.maven.org/maven2/cglib/cglib-nodep/3.2.1/cglib-nodep-3.2.1.jar,2,0,0,0,0,0,0,3.2.2
56492,cglib.cglib-nodep,3.2.2,2016-04-09,https://repo1.maven.org/maven2/cglib/cglib-nodep/3.2.2/cglib-nodep-3.2.2.jar,2,0,0,0,0,0,0,3.2.3
56493,cglib.cglib-nodep,3.2.3,2016-06-13,https://repo1.maven.org/maven2/cglib/cglib-nodep/3.2.3/cglib-nodep-3.2.3.jar,2,0,0,0,0,0,0,3.2.4
56494,cglib.cglib-nodep,3.2.4,2016-06-24,https://repo1.maven.org/maven2/cglib/cglib-nodep/3.2.4/cglib-nodep-3.2.4.jar,2,0,0,0,0,0,0,3.2.5
56495,cglib.cglib-nodep,3.2.5,2017-03-06,https://repo1.maven.org/maven2/cglib/cglib-nodep/3.2.5/cglib-nodep-3.2.5.jar,2,0,0,0,0,0,0,3.2.6
56496,cglib.cglib-nodep,3.2.6,2018-01-19,https://repo1.maven.org/maven2/cglib/cglib-nodep/3.2.6/cglib-nodep-3.2.6.jar,2,0,0,0,0,0,0,3.2.7
56497,cglib.cglib-nodep,3.2.7,2018-07-03,https://repo1.maven.org/maven2/cglib/cglib-nodep/3.2.7/cglib-nodep-3.2.7.jar,2,0,0,0,0,0,0,3.2.8
56498,cglib.cglib-nodep,3.2.8,2018-09-10,https://repo1.maven.org/maven2/cglib/cglib-nodep/3.2.8/cglib-nodep-3.2.8.jar,2,0,0,0,0,0,0,3.2.9
56500,cglib.cglib-nodep,3.2.9,2018-10-28,https://repo1.maven.org/maven2/cglib/cglib-nodep/3.2.9/cglib-nodep-3.2.9.jar,2,0,0,0,0,0,0,3.2.10
56509,cglib.cglib-nodep,3.2.10,2018-12-11,https://repo1.maven.org/maven2/cglib/cglib-nodep/3.2.10/cglib-nodep-3.2.10.jar,2,0,0,0,0,0,0,3.2.11
56501,cglib.cglib-nodep,3.2.11,2019-04-26,https://repo1.maven.org/maven2/cglib/cglib-nodep/3.2.11/cglib-nodep-3.2.11.jar,2,0,0,0,0,0,0,3.2.12
56502,cglib.cglib-nodep,3.2.12,2019-05-03,https://repo1.maven.org/maven2/cglib/cglib-nodep/3.2.12/cglib-nodep-3.2.12.jar,2,0,0,0,0,0,0,3.3.0
56503,cglib.cglib-nodep,3.3.0,2019-08-12,https://repo1.maven.org/maven2/cglib/cglib-nodep/3.3.0/cglib-nodep-3.3.0.jar,: 2,0,0,0,0,0,0,
