,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
19430,com.alibaba.easyexcel,1.0.0,2018-02-07,https://repo1.maven.org/maven2/com/alibaba/easyexcel/1.0.0-RELEASE/easyexcel-1.0.0-RELEASE.jar,,,,,,,,1.0.1
19431,com.alibaba.easyexcel,1.0.1,2018-03-10,https://repo1.maven.org/maven2/com/alibaba/easyexcel/1.0.1/easyexcel-1.0.1.jar,,,,,,,,1.0.2
19432,com.alibaba.easyexcel,1.0.2,2018-07-21,https://repo1.maven.org/maven2/com/alibaba/easyexcel/1.0.2/easyexcel-1.0.2.jar,,,,,,,,1.0.3
19433,com.alibaba.easyexcel,1.0.3,2018-07-23,https://repo1.maven.org/maven2/com/alibaba/easyexcel/1.0.3/easyexcel-1.0.3.jar,,,,,,,,1.0.4
19434,com.alibaba.easyexcel,1.0.4,2018-08-13,https://repo1.maven.org/maven2/com/alibaba/easyexcel/1.0.4/easyexcel-1.0.4.jar,,,,,,,,1.1.0
19435,com.alibaba.easyexcel,1.1.0,2018-10-15,https://repo1.maven.org/maven2/com/alibaba/easyexcel/1.1.0/easyexcel-1.1.0.jar,,,,,,,,1.1.1
19436,com.alibaba.easyexcel,1.1.1,2018-11-05,https://repo1.maven.org/maven2/com/alibaba/easyexcel/1.1.1/easyexcel-1.1.1.jar,,,,,,,,2.0.0
19437,com.alibaba.easyexcel,2.0.0,2019-09-17,https://repo1.maven.org/maven2/com/alibaba/easyexcel/2.0.0/easyexcel-2.0.0.jar,,,,,,,,2.0.1
19438,com.alibaba.easyexcel,2.0.1,2019-09-20,https://repo1.maven.org/maven2/com/alibaba/easyexcel/2.0.1/easyexcel-2.0.1.jar,,,,,,,,2.0.2
19439,com.alibaba.easyexcel,2.0.2,2019-09-24,https://repo1.maven.org/maven2/com/alibaba/easyexcel/2.0.2/easyexcel-2.0.2.jar,,,,,,,,2.0.3
19440,com.alibaba.easyexcel,2.0.3,2019-09-27,https://repo1.maven.org/maven2/com/alibaba/easyexcel/2.0.3/easyexcel-2.0.3.jar,,,,,,,,2.0.4
19441,com.alibaba.easyexcel,2.0.4,2019-09-25,https://repo1.maven.org/maven2/com/alibaba/easyexcel/2.0.4/easyexcel-2.0.4.jar,,,,,,,,2.0.5
19442,com.alibaba.easyexcel,2.0.5,2019-09-27,https://repo1.maven.org/maven2/com/alibaba/easyexcel/2.0.5/easyexcel-2.0.5.jar,,,,,,,,2.1.1
19443,com.alibaba.easyexcel,2.1.1,2019-11-04,https://repo1.maven.org/maven2/com/alibaba/easyexcel/2.1.1/easyexcel-2.1.1.jar,,,,,,,,2.1.2
19444,com.alibaba.easyexcel,2.1.2,2019-11-07,https://repo1.maven.org/maven2/com/alibaba/easyexcel/2.1.2/easyexcel-2.1.2.jar,,,,,,,,2.1.3
19445,com.alibaba.easyexcel,2.1.3,2019-11-14,https://repo1.maven.org/maven2/com/alibaba/easyexcel/2.1.3/easyexcel-2.1.3.jar,,,,,,,,2.1.4
19446,com.alibaba.easyexcel,2.1.4,2019-12-04,https://repo1.maven.org/maven2/com/alibaba/easyexcel/2.1.4/easyexcel-2.1.4.jar,,,,,,,,2.1.5
