,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
84497,com.aliyun.aliyun-java-sdk-core,2.1.0,2015-05-26,https://repo1.maven.org/maven2/com/aliyun/aliyun-java-sdk-core/2.1.0/aliyun-java-sdk-core-2.1.0.jar,,,,,,,,2.1.1
84482,com.aliyun.aliyun-java-sdk-core,2.1.1,2015-05-26,https://repo1.maven.org/maven2/com/aliyun/aliyun-java-sdk-core/2.1.1/aliyun-java-sdk-core-2.1.1.jar,,,,,,,,2.1.2
84483,com.aliyun.aliyun-java-sdk-core,2.1.2,2015-06-25,https://repo1.maven.org/maven2/com/aliyun/aliyun-java-sdk-core/2.1.2/aliyun-java-sdk-core-2.1.2.jar,,,,,,,,2.1.3
84484,com.aliyun.aliyun-java-sdk-core,2.1.3,2015-06-29,https://repo1.maven.org/maven2/com/aliyun/aliyun-java-sdk-core/2.1.3/aliyun-java-sdk-core-2.1.3.jar,,,,,,,,2.1.4
84485,com.aliyun.aliyun-java-sdk-core,2.1.4,2015-07-02,https://repo1.maven.org/maven2/com/aliyun/aliyun-java-sdk-core/2.1.4/aliyun-java-sdk-core-2.1.4.jar,,,,,,,,2.1.5
84486,com.aliyun.aliyun-java-sdk-core,2.1.5,2015-07-03,https://repo1.maven.org/maven2/com/aliyun/aliyun-java-sdk-core/2.1.5/aliyun-java-sdk-core-2.1.5.jar,,,,,,,,2.1.6
84487,com.aliyun.aliyun-java-sdk-core,2.1.6,2015-07-15,https://repo1.maven.org/maven2/com/aliyun/aliyun-java-sdk-core/2.1.6/aliyun-java-sdk-core-2.1.6.jar,,,,,,,,2.1.7
84488,com.aliyun.aliyun-java-sdk-core,2.1.7,2015-08-21,https://repo1.maven.org/maven2/com/aliyun/aliyun-java-sdk-core/2.1.7/aliyun-java-sdk-core-2.1.7.jar,,,,,,,,2.1.8
84489,com.aliyun.aliyun-java-sdk-core,2.1.8,2015-09-01,https://repo1.maven.org/maven2/com/aliyun/aliyun-java-sdk-core/2.1.8/aliyun-java-sdk-core-2.1.8.jar,,,,,,,,2.1.9
84490,com.aliyun.aliyun-java-sdk-core,2.1.9,2015-09-05,https://repo1.maven.org/maven2/com/aliyun/aliyun-java-sdk-core/2.1.9/aliyun-java-sdk-core-2.1.9.jar,,,,,,,,2.2.0
84491,com.aliyun.aliyun-java-sdk-core,2.2.0,2015-10-23,https://repo1.maven.org/maven2/com/aliyun/aliyun-java-sdk-core/2.2.0/aliyun-java-sdk-core-2.2.0.jar,,,,,,,,2.2.1
84492,com.aliyun.aliyun-java-sdk-core,2.2.1,2015-11-30,https://repo1.maven.org/maven2/com/aliyun/aliyun-java-sdk-core/2.2.1/aliyun-java-sdk-core-2.2.1.jar,,,,,,,,2.2.2
84493,com.aliyun.aliyun-java-sdk-core,2.2.2,2015-12-08,https://repo1.maven.org/maven2/com/aliyun/aliyun-java-sdk-core/2.2.2/aliyun-java-sdk-core-2.2.2.jar,,,,,,,,2.2.3
84494,com.aliyun.aliyun-java-sdk-core,2.2.3,2015-12-14,https://repo1.maven.org/maven2/com/aliyun/aliyun-java-sdk-core/2.2.3/aliyun-java-sdk-core-2.2.3.jar,,,,,,,,2.2.4
84495,com.aliyun.aliyun-java-sdk-core,2.2.4,2015-12-16,https://repo1.maven.org/maven2/com/aliyun/aliyun-java-sdk-core/2.2.4/aliyun-java-sdk-core-2.2.4.jar,,,,,,,,2.2.5
84496,com.aliyun.aliyun-java-sdk-core,2.2.5,2015-12-21,https://repo1.maven.org/maven2/com/aliyun/aliyun-java-sdk-core/2.2.5/aliyun-java-sdk-core-2.2.5.jar,,,,,,,,2.2.6
84507,com.aliyun.aliyun-java-sdk-core,2.2.6,2015-12-22,https://repo1.maven.org/maven2/com/aliyun/aliyun-java-sdk-core/2.2.6/aliyun-java-sdk-core-2.2.6.jar,,,,,,,,2.2.8
84518,com.aliyun.aliyun-java-sdk-core,2.2.8,2015-12-29,https://repo1.maven.org/maven2/com/aliyun/aliyun-java-sdk-core/2.2.8/aliyun-java-sdk-core-2.2.8.jar,,,,,,,,2.2.9
84546,com.aliyun.aliyun-java-sdk-core,2.2.9,2015-12-29,https://repo1.maven.org/maven2/com/aliyun/aliyun-java-sdk-core/2.2.9/aliyun-java-sdk-core-2.2.9.jar,,,,,,,,2.3.0
84519,com.aliyun.aliyun-java-sdk-core,2.3.0,2015-12-29,https://repo1.maven.org/maven2/com/aliyun/aliyun-java-sdk-core/2.3.0/aliyun-java-sdk-core-2.3.0.jar,,,,,,,,2.3.1
84539,com.aliyun.aliyun-java-sdk-core,2.3.1,2015-12-31,https://repo1.maven.org/maven2/com/aliyun/aliyun-java-sdk-core/2.3.1/aliyun-java-sdk-core-2.3.1.jar,,,,,,,,2.3.2
