,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
55782,com.atlassian.cache.atlassian-cache-api,0.1,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/cache/atlassian-cache-api/0.1/atlassian-cache-api-0.1.jar,,,,,,,,0.1.1
55783,com.atlassian.cache.atlassian-cache-api,0.1.1,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/cache/atlassian-cache-api/0.1.1/atlassian-cache-api-0.1.1.jar,,,,,,,,1.0
55784,com.atlassian.cache.atlassian-cache-api,1.0,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/cache/atlassian-cache-api/1.0/atlassian-cache-api-1.0.jar,,,,,,,,1.0.1
55764,com.atlassian.cache.atlassian-cache-api,1.0.1,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/cache/atlassian-cache-api/1.0.1/atlassian-cache-api-1.0.1.jar,,,,,,,,2.0
55755,com.atlassian.cache.atlassian-cache-api,2.0,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/cache/atlassian-cache-api/2.0/atlassian-cache-api-2.0.jar,,,,,,,,2.0.1
55756,com.atlassian.cache.atlassian-cache-api,2.0.1,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/cache/atlassian-cache-api/2.0.1/atlassian-cache-api-2.0.1.jar,,,,,,,,2.0.2
55757,com.atlassian.cache.atlassian-cache-api,2.0.2,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/cache/atlassian-cache-api/2.0.2/atlassian-cache-api-2.0.2.jar,,,,,,,,2.0.3
55758,com.atlassian.cache.atlassian-cache-api,2.0.3,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/cache/atlassian-cache-api/2.0.3/atlassian-cache-api-2.0.3.jar,,,,,,,,2.0.4
55759,com.atlassian.cache.atlassian-cache-api,2.0.4,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/cache/atlassian-cache-api/2.0.4/atlassian-cache-api-2.0.4.jar,,,,,,,,2.0.6
55760,com.atlassian.cache.atlassian-cache-api,2.0.6,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/cache/atlassian-cache-api/2.0.6/atlassian-cache-api-2.0.6.jar,,,,,,,,2.0.7
