,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
26663,com.atomikos.transactions-jta,3.2.3,2008-07-10,https://repo1.maven.org/maven2/com/atomikos/transactions-jta/3.2.3/transactions-jta-3.2.3.jar,16,,,,,,,3.6.4
26664,com.atomikos.transactions-jta,3.6.4,2010-03-22,https://repo1.maven.org/maven2/com/atomikos/transactions-jta/3.6.4/transactions-jta-3.6.4.jar,7,0,0,0,0,0,9,3.7.0
26665,com.atomikos.transactions-jta,3.7.0,2011-02-26,https://repo1.maven.org/maven2/com/atomikos/transactions-jta/3.7.0/transactions-jta-3.7.0.jar,7,0,0,0,0,0,0,3.7.1
26674,com.atomikos.transactions-jta,3.7.1,2012-03-15,https://repo1.maven.org/maven2/com/atomikos/transactions-jta/3.7.1/transactions-jta-3.7.1.jar,7,0,0,0,0,0,0,3.8.0
26666,com.atomikos.transactions-jta,3.8.0,2012-05-28,https://repo1.maven.org/maven2/com/atomikos/transactions-jta/3.8.0/transactions-jta-3.8.0.jar,7,0,0,0,0,0,0,3.9.0
26667,com.atomikos.transactions-jta,3.9.0,2013-10-24,https://repo1.maven.org/maven2/com/atomikos/transactions-jta/3.9.0/transactions-jta-3.9.0.jar,7,0,0,0,0,0,0,3.9.1
26668,com.atomikos.transactions-jta,3.9.1,2013-11-10,https://repo1.maven.org/maven2/com/atomikos/transactions-jta/3.9.1/transactions-jta-3.9.1.jar,7,0,0,0,0,0,0,3.9.2
26669,com.atomikos.transactions-jta,3.9.2,2013-12-18,https://repo1.maven.org/maven2/com/atomikos/transactions-jta/3.9.2/transactions-jta-3.9.2.jar,7,0,0,0,0,0,0,3.9.3
26670,com.atomikos.transactions-jta,3.9.3,2014-02-19,https://repo1.maven.org/maven2/com/atomikos/transactions-jta/3.9.3/transactions-jta-3.9.3.jar,7,0,0,0,0,0,0,4.0.0
26671,com.atomikos.transactions-jta,4.0.0,2016-03-11,https://repo1.maven.org/maven2/com/atomikos/transactions-jta/4.0.0/transactions-jta-4.0.0.jar,6,0,0,0,0,0,1,4.0.1
26672,com.atomikos.transactions-jta,4.0.1,2016-03-18,https://repo1.maven.org/maven2/com/atomikos/transactions-jta/4.0.1/transactions-jta-4.0.1.jar,6,0,0,0,0,0,0,4.0.2
26673,com.atomikos.transactions-jta,4.0.2,2016-03-26,https://repo1.maven.org/maven2/com/atomikos/transactions-jta/4.0.2/transactions-jta-4.0.2.jar,6,0,0,0,0,0,0,4.0.3
26654,com.atomikos.transactions-jta,4.0.3,2016-05-13,https://repo1.maven.org/maven2/com/atomikos/transactions-jta/4.0.3/transactions-jta-4.0.3.jar,6,0,0,0,0,0,0,4.0.4
26653,com.atomikos.transactions-jta,4.0.4,2016-07-08,https://repo1.maven.org/maven2/com/atomikos/transactions-jta/4.0.4/transactions-jta-4.0.4.jar,6,0,0,0,0,0,0,4.0.5
26652,com.atomikos.transactions-jta,4.0.5,2017-11-25,https://repo1.maven.org/maven2/com/atomikos/transactions-jta/4.0.5/transactions-jta-4.0.5.jar,6,0,0,0,0,0,0,4.0.6
26651,com.atomikos.transactions-jta,4.0.6,2018-01-11,https://repo1.maven.org/maven2/com/atomikos/transactions-jta/4.0.6/transactions-jta-4.0.6.jar,6,0,0,0,0,0,0,5.0.0
26631,com.atomikos.transactions-jta,5.0.0,2019-06-02,https://repo1.maven.org/maven2/com/atomikos/transactions-jta/5.0.0/transactions-jta-5.0.0.jar,6,0,0,0,0,0,0,5.0.1
26632,com.atomikos.transactions-jta,5.0.1,2019-06-27,https://repo1.maven.org/maven2/com/atomikos/transactions-jta/5.0.1/transactions-jta-5.0.1.jar,6,0,0,0,0,0,0,5.0.2
26633,com.atomikos.transactions-jta,5.0.2,2019-10-04,https://repo1.maven.org/maven2/com/atomikos/transactions-jta/5.0.2/transactions-jta-5.0.2.jar,6,0,0,0,0,0,0,5.0.3
26634,com.atomikos.transactions-jta,5.0.3,2019-10-04,https://repo1.maven.org/maven2/com/atomikos/transactions-jta/5.0.3/transactions-jta-5.0.3.jar,6,0,0,0,0,0,0,5.0.4
26635,com.atomikos.transactions-jta,5.0.4,2019-11-29,https://repo1.maven.org/maven2/com/atomikos/transactions-jta/5.0.4/transactions-jta-5.0.4.jar,6,0,0,0,0,0,0,5.0.5
26636,com.atomikos.transactions-jta,5.0.5,2019-12-06,https://repo1.maven.org/maven2/com/atomikos/transactions-jta/5.0.5/transactions-jta-5.0.5.jar,6,0,0,0,0,0,0,5.0.6
26637,com.atomikos.transactions-jta,5.0.6,2019-12-11,https://repo1.maven.org/maven2/com/atomikos/transactions-jta/5.0.6/transactions-jta-5.0.6.jar,6,0,0,0,0,0,0,5.0.7
26638,com.atomikos.transactions-jta,5.0.7,2020-06-29,https://repo1.maven.org/maven2/com/atomikos/transactions-jta/5.0.7/transactions-jta-5.0.7.jar,6,0,0,0,0,0,0,5.0.8
26639,com.atomikos.transactions-jta,5.0.8,2020-07-07,https://repo1.maven.org/maven2/com/atomikos/transactions-jta/5.0.8/transactions-jta-5.0.8.jar,6,0,0,0,0,0,0,5.0.9
26640,com.atomikos.transactions-jta,5.0.9,2022-02-18,https://repo1.maven.org/maven2/com/atomikos/transactions-jta/5.0.9/transactions-jta-5.0.9.jar,6,0,0,0,0,0,0,6.0.0
26641,com.atomikos.transactions-jta,6.0.0,2023-05-05,https://repo1.maven.org/maven2/com/atomikos/transactions-jta/6.0.0/transactions-jta-6.0.0.jar,: 7,0,0,0,0,1,0,
