,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
10689,com.auth0.java-jwt,0.1,2014-03-07,https://repo1.maven.org/maven2/com/auth0/java-jwt/0.1/java-jwt-0.1.jar,,,,,,,,0.2
10690,com.auth0.java-jwt,0.2,2014-03-08,https://repo1.maven.org/maven2/com/auth0/java-jwt/0.2/java-jwt-0.2.jar,,,,,,,,0.3
10691,com.auth0.java-jwt,0.3,2014-06-23,https://repo1.maven.org/maven2/com/auth0/java-jwt/0.3/java-jwt-0.3.jar,,,,,,,,0.4
10692,com.auth0.java-jwt,0.4,2014-09-05,https://repo1.maven.org/maven2/com/auth0/java-jwt/0.4/java-jwt-0.4.jar,,,,,,,,0.5
10693,com.auth0.java-jwt,0.5,2014-09-30,https://repo1.maven.org/maven2/com/auth0/java-jwt/0.5/java-jwt-0.5.jar,2,,,,,,,1.0.0
10694,com.auth0.java-jwt,1.0.0,2014-10-31,https://repo1.maven.org/maven2/com/auth0/java-jwt/1.0.0/java-jwt-1.0.0.jar,2,0,0,0,0,0,0,2.0.0
10695,com.auth0.java-jwt,2.0.0,2014-12-22,https://repo1.maven.org/maven2/com/auth0/java-jwt/2.0.0/java-jwt-2.0.0.jar,2,0,0,0,0,0,0,2.0.1
10696,com.auth0.java-jwt,2.0.1,2015-01-15,https://repo1.maven.org/maven2/com/auth0/java-jwt/2.0.1/java-jwt-2.0.1.jar,2,0,0,0,0,0,0,2.1.0
10697,com.auth0.java-jwt,2.1.0,2015-03-01,https://repo1.maven.org/maven2/com/auth0/java-jwt/2.1.0/java-jwt-2.1.0.jar,2,0,0,0,0,0,0,2.2.0
10698,com.auth0.java-jwt,2.2.0,2016-07-13,https://repo1.maven.org/maven2/com/auth0/java-jwt/2.2.0/java-jwt-2.2.0.jar,51,0,0,0,0,49,0,2.2.1
