,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
84566,com.azure.azure-core,1.0.0,2019-10-29,https://repo1.maven.org/maven2/com/azure/azure-core/1.0.0/azure-core-1.0.0.jar,1,,,,,,,1.1.0
84567,com.azure.azure-core,1.1.0,2019-11-26,https://repo1.maven.org/maven2/com/azure/azure-core/1.1.0/azure-core-1.1.0.jar,1,0,0,0,0,1,1,1.2.0
84568,com.azure.azure-core,1.2.0,2020-01-06,https://repo1.maven.org/maven2/com/azure/azure-core/1.2.0/azure-core-1.2.0.jar,1,0,0,0,0,0,0,1.3.0
84569,com.azure.azure-core,1.3.0,2020-03-07,https://repo1.maven.org/maven2/com/azure/azure-core/1.3.0/azure-core-1.3.0.jar,1,0,0,0,0,0,0,1.4.0
84570,com.azure.azure-core,1.4.0,2020-04-04,https://repo1.maven.org/maven2/com/azure/azure-core/1.4.0/azure-core-1.4.0.jar,,0,0,0,0,0,0,1.5.0
84571,com.azure.azure-core,1.5.0,2020-05-04,https://repo1.maven.org/maven2/com/azure/azure-core/1.5.0/azure-core-1.5.0.jar,,,,,,,,1.5.1
84583,com.azure.azure-core,1.5.1,2020-06-09,https://repo1.maven.org/maven2/com/azure/azure-core/1.5.1/azure-core-1.5.1.jar,,,,,,,,1.6.0
84594,com.azure.azure-core,1.6.0,2020-07-02,https://repo1.maven.org/maven2/com/azure/azure-core/1.6.0/azure-core-1.6.0.jar,,,,,,,,1.7.0
84622,com.azure.azure-core,1.7.0,2020-08-08,https://repo1.maven.org/maven2/com/azure/azure-core/1.7.0/azure-core-1.7.0.jar,,,,,,,,1.8.0
84595,com.azure.azure-core,1.8.0,2020-09-04,https://repo1.maven.org/maven2/com/azure/azure-core/1.8.0/azure-core-1.8.0.jar,,,,,,,,1.8.1
84615,com.azure.azure-core,1.8.1,2020-09-09,https://repo1.maven.org/maven2/com/azure/azure-core/1.8.1/azure-core-1.8.1.jar,,,,,,,,1.9.0
84616,com.azure.azure-core,1.9.0,2020-10-02,https://repo1.maven.org/maven2/com/azure/azure-core/1.9.0/azure-core-1.9.0.jar,,,,,,,,1.10.0
84617,com.azure.azure-core,1.10.0,2020-10-30,https://repo1.maven.org/maven2/com/azure/azure-core/1.10.0/azure-core-1.10.0.jar,2,,,,,,,1.11.0
84618,com.azure.azure-core,1.11.0,2020-11-26,https://repo1.maven.org/maven2/com/azure/azure-core/1.11.0/azure-core-1.11.0.jar,2,0,0,0,0,0,0,1.12.0
84619,com.azure.azure-core,1.12.0,2021-01-11,https://repo1.maven.org/maven2/com/azure/azure-core/1.12.0/azure-core-1.12.0.jar,2,0,0,0,0,0,0,1.13.0
84620,com.azure.azure-core,1.13.0,2021-02-06,https://repo1.maven.org/maven2/com/azure/azure-core/1.13.0/azure-core-1.13.0.jar,2,0,0,0,0,0,0,1.14.0
84621,com.azure.azure-core,1.14.0,2021-03-09,https://repo1.maven.org/maven2/com/azure/azure-core/1.14.0/azure-core-1.14.0.jar,2,0,0,0,0,0,0,1.14.1
84623,com.azure.azure-core,1.14.1,2021-03-19,https://repo1.maven.org/maven2/com/azure/azure-core/1.14.1/azure-core-1.14.1.jar,2,0,0,0,0,0,0,1.15.0
84631,com.azure.azure-core,1.15.0,2021-04-02,https://repo1.maven.org/maven2/com/azure/azure-core/1.15.0/azure-core-1.15.0.jar,2,0,0,0,0,0,0,1.16.0
84624,com.azure.azure-core,1.16.0,2021-05-07,https://repo1.maven.org/maven2/com/azure/azure-core/1.16.0/azure-core-1.16.0.jar,2,0,0,0,0,0,0,1.17.0
84625,com.azure.azure-core,1.17.0,2021-06-07,https://repo1.maven.org/maven2/com/azure/azure-core/1.17.0/azure-core-1.17.0.jar,2,0,0,0,0,0,0,1.18.0
84626,com.azure.azure-core,1.18.0,2021-07-01,https://repo1.maven.org/maven2/com/azure/azure-core/1.18.0/azure-core-1.18.0.jar,2,0,0,0,0,0,0,1.19.0
84627,com.azure.azure-core,1.19.0,2021-08-06,https://repo1.maven.org/maven2/com/azure/azure-core/1.19.0/azure-core-1.19.0.jar,2,0,0,0,0,0,0,1.20.0
84628,com.azure.azure-core,1.20.0,2021-09-07,https://repo1.maven.org/maven2/com/azure/azure-core/1.20.0/azure-core-1.20.0.jar,2,0,0,0,0,0,0,1.21.0
84629,com.azure.azure-core,1.21.0,2021-10-02,https://repo1.maven.org/maven2/com/azure/azure-core/1.21.0/azure-core-1.21.0.jar,2,0,0,0,0,2,2,1.22.0
84630,com.azure.azure-core,1.22.0,2021-11-06,https://repo1.maven.org/maven2/com/azure/azure-core/1.22.0/azure-core-1.22.0.jar,2,0,0,0,0,0,0,1.23.0
84614,com.azure.azure-core,1.23.0,2021-11-23,https://repo1.maven.org/maven2/com/azure/azure-core/1.23.0/azure-core-1.23.0.jar,2,0,0,0,0,0,0,1.23.1
84613,com.azure.azure-core,1.23.1,2021-12-08,https://repo1.maven.org/maven2/com/azure/azure-core/1.23.1/azure-core-1.23.1.jar,2,0,0,0,0,0,0,1.24.0
84612,com.azure.azure-core,1.24.0,2022-01-06,https://repo1.maven.org/maven2/com/azure/azure-core/1.24.0/azure-core-1.24.0.jar,2,0,0,0,0,0,0,1.24.1
84611,com.azure.azure-core,1.24.1,2022-01-11,https://repo1.maven.org/maven2/com/azure/azure-core/1.24.1/azure-core-1.24.1.jar,2,0,0,0,0,0,0,1.25.0
84596,com.azure.azure-core,1.25.0,2022-02-04,https://repo1.maven.org/maven2/com/azure/azure-core/1.25.0/azure-core-1.25.0.jar,2,0,0,0,0,0,0,1.26.0
84597,com.azure.azure-core,1.26.0,2022-03-05,https://repo1.maven.org/maven2/com/azure/azure-core/1.26.0/azure-core-1.26.0.jar,2,0,0,0,0,0,0,1.27.0
84598,com.azure.azure-core,1.27.0,2022-04-02,https://repo1.maven.org/maven2/com/azure/azure-core/1.27.0/azure-core-1.27.0.jar,2,0,0,0,0,0,0,1.28.0
84599,com.azure.azure-core,1.28.0,2022-05-06,https://repo1.maven.org/maven2/com/azure/azure-core/1.28.0/azure-core-1.28.0.jar,2,0,0,0,0,0,0,1.29.0
84600,com.azure.azure-core,1.29.0,2022-06-03,https://repo1.maven.org/maven2/com/azure/azure-core/1.29.0/azure-core-1.29.0.jar,2,0,0,0,0,0,0,1.29.1
84601,com.azure.azure-core,1.29.1,2022-06-04,https://repo1.maven.org/maven2/com/azure/azure-core/1.29.1/azure-core-1.29.1.jar,2,0,0,0,0,0,0,1.30.0
84602,com.azure.azure-core,1.30.0,2022-06-30,https://repo1.maven.org/maven2/com/azure/azure-core/1.30.0/azure-core-1.30.0.jar,2,0,0,0,0,0,0,1.31.0
84603,com.azure.azure-core,1.31.0,2022-08-05,https://repo1.maven.org/maven2/com/azure/azure-core/1.31.0/azure-core-1.31.0.jar,2,0,0,0,0,0,0,1.32.0
84604,com.azure.azure-core,1.32.0,2022-09-02,https://repo1.maven.org/maven2/com/azure/azure-core/1.32.0/azure-core-1.32.0.jar,2,0,0,0,0,0,0,1.33.0
84605,com.azure.azure-core,1.33.0,2022-10-07,https://repo1.maven.org/maven2/com/azure/azure-core/1.33.0/azure-core-1.33.0.jar,2,0,0,0,0,0,0,1.34.0
84606,com.azure.azure-core,1.34.0,2022-11-04,https://repo1.maven.org/maven2/com/azure/azure-core/1.34.0/azure-core-1.34.0.jar,2,0,0,0,0,0,0,1.35.0
84607,com.azure.azure-core,1.35.0,2023-01-06,https://repo1.maven.org/maven2/com/azure/azure-core/1.35.0/azure-core-1.35.0.jar,2,0,0,0,0,0,0,1.36.0
84608,com.azure.azure-core,1.36.0,2023-02-02,https://repo1.maven.org/maven2/com/azure/azure-core/1.36.0/azure-core-1.36.0.jar,2,0,0,0,0,0,0,1.37.0
84609,com.azure.azure-core,1.37.0,2023-03-04,https://repo1.maven.org/maven2/com/azure/azure-core/1.37.0/azure-core-1.37.0.jar,2,0,0,0,0,0,0,1.38.0
84610,com.azure.azure-core,1.38.0,2023-04-08,https://repo1.maven.org/maven2/com/azure/azure-core/1.38.0/azure-core-1.38.0.jar,2,0,0,0,0,0,0,1.39.0
84557,com.azure.azure-core,1.39.0,2023-05-05,https://repo1.maven.org/maven2/com/azure/azure-core/1.39.0/azure-core-1.39.0.jar,2,0,0,0,0,0,0,1.40.0
84593,com.azure.azure-core,1.40.0,2023-06-02,https://repo1.maven.org/maven2/com/azure/azure-core/1.40.0/azure-core-1.40.0.jar,2,0,0,0,0,0,0,1.41.0
84556,com.azure.azure-core,1.41.0,2023-07-08,https://repo1.maven.org/maven2/com/azure/azure-core/1.41.0/azure-core-1.41.0.jar,2,0,0,0,0,0,0,1.42.0
