,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
18542,com.chuusai.shapeless,1.2.0,2012-04-15,https://repo1.maven.org/maven2/com/chuusai/shapeless_2.9.2/1.2.0/shapeless_2.9.2-1.2.0.jar,,,,,,,,1.2.1
18543,com.chuusai.shapeless,1.2.1,2012-05-02,https://repo1.maven.org/maven2/com/chuusai/shapeless_2.9.2/1.2.1/shapeless_2.9.2-1.2.1.jar,,,,,,,,1.2.2
18544,com.chuusai.shapeless,1.2.2,2012-05-14,https://repo1.maven.org/maven2/com/chuusai/shapeless_2.9.2/1.2.2/shapeless_2.9.2-1.2.2.jar,,,,,,,,1.2.3
18545,com.chuusai.shapeless,1.2.3,2012-12-26,https://repo1.maven.org/maven2/com/chuusai/shapeless_2.10/1.2.3/shapeless_2.10-1.2.3.jar,,,,,,,,1.2.4
18547,com.chuusai.shapeless,1.2.4,2014-04-17,https://repo1.maven.org/maven2/com/chuusai/shapeless_2.11/1.2.4/shapeless_2.11-1.2.4.jar,,,,,,,,2.0.0
18571,com.chuusai.shapeless,2.0.0,2014-04-17,https://repo1.maven.org/maven2/com/chuusai/shapeless_2.11/2.0.0/shapeless_2.11-2.0.0.jar,,,,,,,,2.1.0
18553,com.chuusai.shapeless,2.1.0,2015-02-09,https://repo1.maven.org/maven2/com/chuusai/shapeless_2.11/2.1.0/shapeless_2.11-2.1.0.jar,,,,,,,,2.2.0
18574,com.chuusai.shapeless,2.2.0,2015-05-28,https://repo1.maven.org/maven2/com/chuusai/shapeless_2.11/2.2.0/shapeless_2.11-2.2.0.jar,,,,,,,,2.2.1
18575,com.chuusai.shapeless,2.2.1,2015-06-07,https://repo1.maven.org/maven2/com/chuusai/shapeless_2.11/2.2.1/shapeless_2.11-2.2.1.jar,,,,,,,,2.2.2
18576,com.chuusai.shapeless,2.2.2,2015-06-14,https://repo1.maven.org/maven2/com/chuusai/shapeless_2.11/2.2.2/shapeless_2.11-2.2.2.jar,,,,,,,,2.2.3
18577,com.chuusai.shapeless,2.2.3,2015-06-21,https://repo1.maven.org/maven2/com/chuusai/shapeless_2.11/2.2.3/shapeless_2.11-2.2.3.jar,,,,,,,,2.2.4
18578,com.chuusai.shapeless,2.2.4,2015-07-08,https://repo1.maven.org/maven2/com/chuusai/shapeless_2.11/2.2.4/shapeless_2.11-2.2.4.jar,,,,,,,,2.2.5
18579,com.chuusai.shapeless,2.2.5,2015-07-22,https://repo1.maven.org/maven2/com/chuusai/shapeless_2.11/2.2.5/shapeless_2.11-2.2.5.jar,,,,,,,,2.3.0
18580,com.chuusai.shapeless,2.3.0,2016-02-25,https://repo1.maven.org/maven2/com/chuusai/shapeless_2.11/2.3.0/shapeless_2.11-2.3.0.jar,,,,,,,,2.3.1
18581,com.chuusai.shapeless,2.3.1,2016-05-13,https://repo1.maven.org/maven2/com/chuusai/shapeless_2.11/2.3.1/shapeless_2.11-2.3.1.jar,,,,,,,,2.3.2
18582,com.chuusai.shapeless,2.3.2,2016-11-02,https://repo1.maven.org/maven2/com/chuusai/shapeless_2.12/2.3.2/shapeless_2.12-2.3.2.jar,,,,,,,,2.3.3
18583,com.chuusai.shapeless,2.3.3,2019-06-08,https://repo1.maven.org/maven2/com/chuusai/shapeless_2.13/2.3.3/shapeless_2.13-2.3.3.jar,1565,,,,,,,2.3.4
18584,com.chuusai.shapeless,2.3.4,2021-04-09,https://repo1.maven.org/maven2/com/chuusai/shapeless_2.13/2.3.4/shapeless_2.13-2.3.4.jar,1564,0,0,0,0,89,90,2.3.5
18585,com.chuusai.shapeless,2.3.5,2021-05-05,https://repo1.maven.org/maven2/com/chuusai/shapeless_2.13/2.3.5/shapeless_2.13-2.3.5.jar,1597,0,0,0,0,177,144,2.3.6
18586,com.chuusai.shapeless,2.3.6,2021-05-09,https://repo1.maven.org/maven2/com/chuusai/shapeless_2.13/2.3.6/shapeless_2.13-2.3.6.jar,1439,0,0,0,0,25,183,2.3.7
18587,com.chuusai.shapeless,2.3.7,2021-05-17,https://repo1.maven.org/maven2/com/chuusai/shapeless_2.13/2.3.7/shapeless_2.13-2.3.7.jar,1439,0,0,0,0,0,0,2.3.8
18588,com.chuusai.shapeless,2.3.8,2022-02-13,https://repo1.maven.org/maven2/com/chuusai/shapeless_2.13/2.3.8/shapeless_2.13-2.3.8.jar,1440,0,0,0,0,1,0,2.3.9
18589,com.chuusai.shapeless,2.3.9,2022-03-27,https://repo1.maven.org/maven2/com/chuusai/shapeless_2.13/2.3.9/shapeless_2.13-2.3.9.jar,1442,0,0,0,0,3,1,2.3.10
18590,com.chuusai.shapeless,2.3.10,2022-09-13,https://repo1.maven.org/maven2/com/chuusai/shapeless_2.13/2.3.10/shapeless_2.13-2.3.10.jar,1442,0,0,0,0,0,0,2.3.11
18591,com.chuusai.shapeless,2.3.11,2024-05-16,https://repo1.maven.org/maven2/com/chuusai/shapeless_2.13/2.3.11/shapeless_2.13-2.3.11.jar,1442,0,0,0,0,0,0,2.3.12
18592,com.chuusai.shapeless,2.3.12,2024-05-18,https://repo1.maven.org/maven2/com/chuusai/shapeless_2.13/2.3.12/shapeless_2.13-2.3.12.jar,: 1442,0,0,0,0,0,0,
