,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
103914,com.clickhouse.clickhouse-jdbc,0.1.0,2016-07-19,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.0/clickhouse-jdbc-0.1.0.jar,,,,,,,,0.1.1
103929,com.clickhouse.clickhouse-jdbc,0.1.1,2016-07-19,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.1/clickhouse-jdbc-0.1.1.jar,,,,,,,,0.1.2
103928,com.clickhouse.clickhouse-jdbc,0.1.2,2016-07-26,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.2/clickhouse-jdbc-0.1.2.jar,,,,,,,,0.1.3
103927,com.clickhouse.clickhouse-jdbc,0.1.3,2016-08-10,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.3/clickhouse-jdbc-0.1.3.jar,,,,,,,,0.1.4
103926,com.clickhouse.clickhouse-jdbc,0.1.4,2016-08-15,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.4/clickhouse-jdbc-0.1.4.jar,,,,,,,,0.1.5
103925,com.clickhouse.clickhouse-jdbc,0.1.5,2016-08-17,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.5/clickhouse-jdbc-0.1.5.jar,,,,,,,,0.1.6
103924,com.clickhouse.clickhouse-jdbc,0.1.6,2016-08-22,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.6/clickhouse-jdbc-0.1.6.jar,,,,,,,,0.1.7
103923,com.clickhouse.clickhouse-jdbc,0.1.7,2016-08-27,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.7/clickhouse-jdbc-0.1.7.jar,,,,,,,,0.1.8
103922,com.clickhouse.clickhouse-jdbc,0.1.8,2016-08-30,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.8/clickhouse-jdbc-0.1.8.jar,,,,,,,,0.1.9
103921,com.clickhouse.clickhouse-jdbc,0.1.9,2016-09-28,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.9/clickhouse-jdbc-0.1.9.jar,,,,,,,,0.1.10
103920,com.clickhouse.clickhouse-jdbc,0.1.10,2016-10-05,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.10/clickhouse-jdbc-0.1.10.jar,,,,,,,,0.1.11
103919,com.clickhouse.clickhouse-jdbc,0.1.11,2016-10-06,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.11/clickhouse-jdbc-0.1.11.jar,,,,,,,,0.1.12
103918,com.clickhouse.clickhouse-jdbc,0.1.12,2016-10-23,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.12/clickhouse-jdbc-0.1.12.jar,,,,,,,,0.1.13
103917,com.clickhouse.clickhouse-jdbc,0.1.13,2016-11-05,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.13/clickhouse-jdbc-0.1.13.jar,,,,,,,,0.1.14
103916,com.clickhouse.clickhouse-jdbc,0.1.14,2016-11-24,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.14/clickhouse-jdbc-0.1.14.jar,,,,,,,,0.1.15
103915,com.clickhouse.clickhouse-jdbc,0.1.15,2017-01-17,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.15/clickhouse-jdbc-0.1.15.jar,,,,,,,,0.1.16
104545,com.clickhouse.clickhouse-jdbc,0.1.16,2017-01-22,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.16/clickhouse-jdbc-0.1.16.jar,,,,,,,,0.1.17
106700,com.clickhouse.clickhouse-jdbc,0.1.17,2017-02-17,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.17/clickhouse-jdbc-0.1.17.jar,,,,,,,,0.1.18
107711,com.clickhouse.clickhouse-jdbc,0.1.18,2017-03-21,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.18/clickhouse-jdbc-0.1.18.jar,,,,,,,,0.1.19
106702,com.clickhouse.clickhouse-jdbc,0.1.19,2017-03-21,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.19/clickhouse-jdbc-0.1.19.jar,,,,,,,,0.1.20
109660,com.clickhouse.clickhouse-jdbc,0.1.20,2017-04-18,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.20/clickhouse-jdbc-0.1.20.jar,,,,,,,,0.1.21
109659,com.clickhouse.clickhouse-jdbc,0.1.21,2017-05-17,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.21/clickhouse-jdbc-0.1.21.jar,,,,,,,,0.1.22
109658,com.clickhouse.clickhouse-jdbc,0.1.22,2017-05-20,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.22/clickhouse-jdbc-0.1.22.jar,,,,,,,,0.1.23
109657,com.clickhouse.clickhouse-jdbc,0.1.23,2017-05-29,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.23/clickhouse-jdbc-0.1.23.jar,,,,,,,,0.1.24
109656,com.clickhouse.clickhouse-jdbc,0.1.24,2017-06-04,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.24/clickhouse-jdbc-0.1.24.jar,,,,,,,,0.1.25
109655,com.clickhouse.clickhouse-jdbc,0.1.25,2017-06-27,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.25/clickhouse-jdbc-0.1.25.jar,,,,,,,,0.1.26
109654,com.clickhouse.clickhouse-jdbc,0.1.26,2017-08-11,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.26/clickhouse-jdbc-0.1.26.jar,,,,,,,,0.1.27
109653,com.clickhouse.clickhouse-jdbc,0.1.27,2017-09-07,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.27/clickhouse-jdbc-0.1.27.jar,,,,,,,,0.1.28
109652,com.clickhouse.clickhouse-jdbc,0.1.28,2017-09-19,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.28/clickhouse-jdbc-0.1.28.jar,,,,,,,,0.1.29
109651,com.clickhouse.clickhouse-jdbc,0.1.29,2017-10-09,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.29/clickhouse-jdbc-0.1.29.jar,,,,,,,,0.1.30
109650,com.clickhouse.clickhouse-jdbc,0.1.30,2017-10-13,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.30/clickhouse-jdbc-0.1.30.jar,,,,,,,,0.1.31
109649,com.clickhouse.clickhouse-jdbc,0.1.31,2017-10-22,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.31/clickhouse-jdbc-0.1.31.jar,,,,,,,,0.1.32
109648,com.clickhouse.clickhouse-jdbc,0.1.32,2017-10-23,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.32/clickhouse-jdbc-0.1.32.jar,,,,,,,,0.1.33
109647,com.clickhouse.clickhouse-jdbc,0.1.33,2017-11-02,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.33/clickhouse-jdbc-0.1.33.jar,,,,,,,,0.1.34
109646,com.clickhouse.clickhouse-jdbc,0.1.34,2017-11-10,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.34/clickhouse-jdbc-0.1.34.jar,,,,,,,,0.1.35
109661,com.clickhouse.clickhouse-jdbc,0.1.35,2018-01-10,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.35/clickhouse-jdbc-0.1.35.jar,,,,,,,,0.1.36
109662,com.clickhouse.clickhouse-jdbc,0.1.36,2018-01-31,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.36/clickhouse-jdbc-0.1.36.jar,,,,,,,,0.1.37
109663,com.clickhouse.clickhouse-jdbc,0.1.37,2018-03-05,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.37/clickhouse-jdbc-0.1.37.jar,,,,,,,,0.1.38
109664,com.clickhouse.clickhouse-jdbc,0.1.38,2018-03-11,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.38/clickhouse-jdbc-0.1.38.jar,,,,,,,,0.1.39
109680,com.clickhouse.clickhouse-jdbc,0.1.39,2018-03-15,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.39/clickhouse-jdbc-0.1.39.jar,,,,,,,,0.1.40
109679,com.clickhouse.clickhouse-jdbc,0.1.40,2018-06-09,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.40/clickhouse-jdbc-0.1.40.jar,,,,,,,,0.1.41
109678,com.clickhouse.clickhouse-jdbc,0.1.41,2018-08-17,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.41/clickhouse-jdbc-0.1.41.jar,,,,,,,,0.1.42
109677,com.clickhouse.clickhouse-jdbc,0.1.42,2018-10-03,https://repo1.maven.org/maven2/ru/yandex/clickhouse/clickhouse-jdbc/0.1.42/clickhouse-jdbc-0.1.42.jar,,,,,,,,0.1.43
