,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
90979,com.esotericsoftware.kryo,2.10,2015-12-28,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/kryo/2.10/kryo-2.10.jar,,,,,,,,2.12
90980,com.esotericsoftware.kryo,2.12,2015-12-28,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/kryo/2.12/kryo-2.12.jar,,,,,,,,2.14
90981,com.esotericsoftware.kryo,2.14,2015-12-28,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/kryo/2.14/kryo-2.14.jar,,,,,,,,2.16
90982,com.esotericsoftware.kryo,2.16,2015-12-28,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/kryo/2.16/kryo-2.16.jar,,,,,,,,2.17
90983,com.esotericsoftware.kryo,2.17,2015-12-28,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/kryo/2.17/kryo-2.17.jar,,,,,,,,2.19
90984,com.esotericsoftware.kryo,2.19,2015-12-28,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/kryo/2.19/kryo-2.19.jar,,,,,,,,2.20
90985,com.esotericsoftware.kryo,2.20,2015-12-28,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/kryo/2.20/kryo-2.20.jar,,,,,,,,2.21
90986,com.esotericsoftware.kryo,2.21,2015-12-28,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/kryo/2.21/kryo-2.21.jar,,,,,,,,2.21.1
90993,com.esotericsoftware.kryo,2.21.1,2016-02-03,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/kryo/2.21.1/kryo-2.21.1.jar,,,,,,,,2.22
90987,com.esotericsoftware.kryo,2.22,2015-12-28,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/kryo/2.22/kryo-2.22.jar,,,,,,,,2.23.0
90988,com.esotericsoftware.kryo,2.23.0,2015-12-28,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/kryo/2.23.0/kryo-2.23.0.jar,,,,,,,,2.23.1
90989,com.esotericsoftware.kryo,2.23.1,2015-12-28,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/kryo/2.23.1/kryo-2.23.1.jar,,,,,,,,2.24.0
90990,com.esotericsoftware.kryo,2.24.0,2015-12-28,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/kryo/2.24.0/kryo-2.24.0.jar,,,,,,,,3.0.0
45446,com.esotericsoftware.kryo,3.0.0,2015-12-28,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/3.0.0/kryo-3.0.0.jar,,,,,,,,3.0.1
45447,com.esotericsoftware.kryo,3.0.1,2015-12-28,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/3.0.1/kryo-3.0.1.jar,,,,,,,,3.0.2
45448,com.esotericsoftware.kryo,3.0.2,2015-12-28,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/3.0.2/kryo-3.0.2.jar,,,,,,,,3.0.3
45526,com.esotericsoftware.kryo,3.0.3,2015-12-28,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/3.0.3/kryo-3.0.3.jar,,,,,,,,4.0.0
45527,com.esotericsoftware.kryo,4.0.0,2016-07-05,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/4.0.0/kryo-4.0.0.jar,,,,,,,,4.0.1
45528,com.esotericsoftware.kryo,4.0.1,2017-07-23,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/4.0.1/kryo-4.0.1.jar,,,,,,,,4.0.2
45610,com.esotericsoftware.kryo,4.0.2,2018-03-20,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/4.0.2/kryo-4.0.2.jar,,,,,,,,4.0.3
45611,com.esotericsoftware.kryo,4.0.3,2023-05-19,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/4.0.3/kryo-4.0.3.jar,,,,,,,,5.0.0
45612,com.esotericsoftware.kryo,5.0.0,2020-10-18,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/5.0.0/kryo-5.0.0.jar,,,,,,,,5.0.1
45613,com.esotericsoftware.kryo,5.0.1,2020-11-22,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/5.0.1/kryo-5.0.1.jar,,,,,,,,5.0.2
45614,com.esotericsoftware.kryo,5.0.2,2020-12-01,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/5.0.2/kryo-5.0.2.jar,,,,,,,,5.0.3
45615,com.esotericsoftware.kryo,5.0.3,2020-12-15,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/5.0.3/kryo-5.0.3.jar,,,,,,,,5.0.4
45616,com.esotericsoftware.kryo,5.0.4,2021-03-12,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/5.0.4/kryo-5.0.4.jar,,,,,,,,5.1.0
45617,com.esotericsoftware.kryo,5.1.0,2021-04-08,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/5.1.0/kryo-5.1.0.jar,,,,,,,,5.1.1
45618,com.esotericsoftware.kryo,5.1.1,2021-05-02,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/5.1.1/kryo-5.1.1.jar,,,,,,,,5.2.0
45619,com.esotericsoftware.kryo,5.2.0,2021-07-31,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/5.2.0/kryo-5.2.0.jar,,,,,,,,5.2.1
45620,com.esotericsoftware.kryo,5.2.1,2021-12-11,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/5.2.1/kryo-5.2.1.jar,,,,,,,,5.3.0
45621,com.esotericsoftware.kryo,5.3.0,2022-02-11,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/5.3.0/kryo-5.3.0.jar,,,,,,,,5.4.0
45622,com.esotericsoftware.kryo,5.4.0,2022-12-30,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/5.4.0/kryo-5.4.0.jar,,,,,,,,5.5.0
45623,com.esotericsoftware.kryo,5.5.0,2023-04-20,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/5.5.0/kryo-5.5.0.jar,,,,,,,,5.6.0
45624,com.esotericsoftware.kryo,5.6.0,2024-01-08,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/5.6.0/kryo-5.6.0.jar,,,,,,,,5.6.1
45625,com.esotericsoftware.kryo,5.6.1,2024-10-07,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/5.6.1/kryo-5.6.1.jar,,,,,,,,5.6.2
45626,com.esotericsoftware.kryo,5.6.2,2024-10-10,https://repo1.maven.org/maven2/com/esotericsoftware/kryo/5.6.2/kryo-5.6.2.jar,,,,,,,,
