,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
29174,com.esotericsoftware.reflectasm,1.10.0,2015-12-28,https://repo1.maven.org/maven2/com/esotericsoftware/reflectasm/1.10.0/reflectasm-1.10.0.jar,,,,,,,,1.10.1
29175,com.esotericsoftware.reflectasm,1.10.1,2015-12-28,https://repo1.maven.org/maven2/com/esotericsoftware/reflectasm/1.10.1/reflectasm-1.10.1.jar,,,,,,,,1.11.0
29176,com.esotericsoftware.reflectasm,1.11.0,2015-12-28,https://repo1.maven.org/maven2/com/esotericsoftware/reflectasm/1.11.0/reflectasm-1.11.0.jar,,,,,,,,1.11.1
29178,com.esotericsoftware.reflectasm,1.11.1,2016-02-03,https://repo1.maven.org/maven2/com/esotericsoftware/reflectasm/1.11.1/reflectasm-1.11.1.jar,,,,,,,,1.11.2
29204,com.esotericsoftware.reflectasm,1.11.2,2016-05-08,https://repo1.maven.org/maven2/com/esotericsoftware/reflectasm/1.11.2/reflectasm-1.11.2.jar,,,,,,,,1.11.3
29229,com.esotericsoftware.reflectasm,1.11.3,2016-05-09,https://repo1.maven.org/maven2/com/esotericsoftware/reflectasm/1.11.3/reflectasm-1.11.3.jar,,,,,,,,1.11.6
29205,com.esotericsoftware.reflectasm,1.11.6,2018-06-12,https://repo1.maven.org/maven2/com/esotericsoftware/reflectasm/1.11.6/reflectasm-1.11.6.jar,,,,,,,,1.11.7
29232,com.esotericsoftware.reflectasm,1.11.7,2018-06-15,https://repo1.maven.org/maven2/com/esotericsoftware/reflectasm/1.11.7/reflectasm-1.11.7.jar,,,,,,,,1.11.8
29233,com.esotericsoftware.reflectasm,1.11.8,2018-12-29,https://repo1.maven.org/maven2/com/esotericsoftware/reflectasm/1.11.8/reflectasm-1.11.8.jar,,,,,,,,1.11.9
29234,com.esotericsoftware.reflectasm,1.11.9,2019-03-19,https://repo1.maven.org/maven2/com/esotericsoftware/reflectasm/1.11.9/reflectasm-1.11.9.jar,,,,,,,,
