,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
92790,com.fasterxml.jackson.core.jackson-databind,0.9.6,1/15/2009,https://repo1.maven.org/maven2/org/codehaus/jackson/jackson-mapper-asl/0.9.6/jackson-mapper-asl-0.9.6.jar,,,,,,,,0.9.7
92791,com.fasterxml.jackson.core.jackson-databind,0.9.7,2/4/2009,https://repo1.maven.org/maven2/org/codehaus/jackson/jackson-mapper-asl/0.9.7/jackson-mapper-asl-0.9.7.jar,,,,,,,,0.9.8
92792,com.fasterxml.jackson.core.jackson-databind,0.9.8,2/17/2009,https://repo1.maven.org/maven2/org/codehaus/jackson/jackson-mapper-asl/0.9.8/jackson-mapper-asl-0.9.8.jar,,,,,,,,0.9.9
92793,com.fasterxml.jackson.core.jackson-databind,0.9.9,3/3/2009,https://repo1.maven.org/maven2/org/codehaus/jackson/jackson-mapper-asl/0.9.9/jackson-mapper-asl-0.9.9.jar,,,,,,,,0.9.9.2
92794,com.fasterxml.jackson.core.jackson-databind,0.9.9.2,3/20/2009,https://repo1.maven.org/maven2/org/codehaus/jackson/jackson-mapper-asl/0.9.9-2/jackson-mapper-asl-0.9.9-2.jar,,,,,,,,0.9.9.3
92795,com.fasterxml.jackson.core.jackson-databind,0.9.9.3,4/3/2009,https://repo1.maven.org/maven2/org/codehaus/jackson/jackson-mapper-asl/0.9.9-3/jackson-mapper-asl-0.9.9-3.jar,,,,,,,,0.9.9.4
92796,com.fasterxml.jackson.core.jackson-databind,0.9.9.4,4/15/2009,https://repo1.maven.org/maven2/org/codehaus/jackson/jackson-mapper-asl/0.9.9-4/jackson-mapper-asl-0.9.9-4.jar,,,,,,,,0.9.9.5
92797,com.fasterxml.jackson.core.jackson-databind,0.9.9.5,4/21/2009,https://repo1.maven.org/maven2/org/codehaus/jackson/jackson-mapper-asl/0.9.9-5/jackson-mapper-asl-0.9.9-5.jar,,,,,,,,0.9.9.6
92798,com.fasterxml.jackson.core.jackson-databind,0.9.9.6,4/28/2009,https://repo1.maven.org/maven2/org/codehaus/jackson/jackson-mapper-asl/0.9.9-6/jackson-mapper-asl-0.9.9-6.jar,,,,,,,,1.0.0
92799,com.fasterxml.jackson.core.jackson-databind,1.0.0,5/10/2009,https://repo1.maven.org/maven2/org/codehaus/jackson/jackson-mapper-asl/1.0.0/jackson-mapper-asl-1.0.0.jar,,,,,,,,1.0.1
92780,com.fasterxml.jackson.core.jackson-databind,1.0.1,6/5/2009,https://repo1.maven.org/maven2/org/codehaus/jackson/jackson-mapper-asl/1.0.1/jackson-mapper-asl-1.0.1.jar,,,,,,,,1.1.0
92779,com.fasterxml.jackson.core.jackson-databind,1.1.0,6/23/2009,https://repo1.maven.org/maven2/org/codehaus/jackson/jackson-mapper-asl/1.1.0/jackson-mapper-asl-1.1.0.jar,,,,,,,,1.1.1
92778,com.fasterxml.jackson.core.jackson-databind,1.1.1,7/19/2009,https://repo1.maven.org/maven2/org/codehaus/jackson/jackson-mapper-asl/1.1.1/jackson-mapper-asl-1.1.1.jar,,,,,,,,1.1.2
92767,com.fasterxml.jackson.core.jackson-databind,1.1.2,8/1/2009,https://repo1.maven.org/maven2/org/codehaus/jackson/jackson-mapper-asl/1.1.2/jackson-mapper-asl-1.1.2.jar,,,,,,,,1.2.0
92759,com.fasterxml.jackson.core.jackson-databind,1.2.0,8/3/2009,https://repo1.maven.org/maven2/org/codehaus/jackson/jackson-mapper-asl/1.2.0/jackson-mapper-asl-1.2.0.jar,,,,,,,,1.2.1
92760,com.fasterxml.jackson.core.jackson-databind,1.2.1,10/4/2009,https://repo1.maven.org/maven2/org/codehaus/jackson/jackson-mapper-asl/1.2.1/jackson-mapper-asl-1.2.1.jar,,,,,,,,1.3.0
92761,com.fasterxml.jackson.core.jackson-databind,1.3.0,10/31/2009,https://repo1.maven.org/maven2/org/codehaus/jackson/jackson-mapper-asl/1.3.0/jackson-mapper-asl-1.3.0.jar,,,,,,,,1.3.1
92762,com.fasterxml.jackson.core.jackson-databind,1.3.1,11/24/2009,https://repo1.maven.org/maven2/org/codehaus/jackson/jackson-mapper-asl/1.3.1/jackson-mapper-asl-1.3.1.jar,,,,,,,,1.3.2
92763,com.fasterxml.jackson.core.jackson-databind,1.3.2,12/3/2009,https://repo1.maven.org/maven2/org/codehaus/jackson/jackson-mapper-asl/1.3.2/jackson-mapper-asl-1.3.2.jar,,,,,,,,1.3.3
