,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
50390,com.fasterxml.jackson.module.jackson-module-jakarta-xmlbind-annotations,2.13.0,2021-10-01,https://repo1.maven.org/maven2/com/fasterxml/jackson/module/jackson-module-jakarta-xmlbind-annotations/2.13.0/jackson-module-jakarta-xmlbind-annotations-2.13.0.jar,,,,,,,,2.13.1
50391,com.fasterxml.jackson.module.jackson-module-jakarta-xmlbind-annotations,2.13.1,2021-12-21,https://repo1.maven.org/maven2/com/fasterxml/jackson/module/jackson-module-jakarta-xmlbind-annotations/2.13.1/jackson-module-jakarta-xmlbind-annotations-2.13.1.jar,,,,,,,,2.13.2
50392,com.fasterxml.jackson.module.jackson-module-jakarta-xmlbind-annotations,2.13.2,2022-03-06,https://repo1.maven.org/maven2/com/fasterxml/jackson/module/jackson-module-jakarta-xmlbind-annotations/2.13.2/jackson-module-jakarta-xmlbind-annotations-2.13.2.jar,,,,,,,,2.13.3
50393,com.fasterxml.jackson.module.jackson-module-jakarta-xmlbind-annotations,2.13.3,2022-05-14,https://repo1.maven.org/maven2/com/fasterxml/jackson/module/jackson-module-jakarta-xmlbind-annotations/2.13.3/jackson-module-jakarta-xmlbind-annotations-2.13.3.jar,,,,,,,,2.13.4
50394,com.fasterxml.jackson.module.jackson-module-jakarta-xmlbind-annotations,2.13.4,2022-09-04,https://repo1.maven.org/maven2/com/fasterxml/jackson/module/jackson-module-jakarta-xmlbind-annotations/2.13.4/jackson-module-jakarta-xmlbind-annotations-2.13.4.jar,,,,,,,,2.13.5
50395,com.fasterxml.jackson.module.jackson-module-jakarta-xmlbind-annotations,2.13.5,2023-01-23,https://repo1.maven.org/maven2/com/fasterxml/jackson/module/jackson-module-jakarta-xmlbind-annotations/2.13.5/jackson-module-jakarta-xmlbind-annotations-2.13.5.jar,,,,,,,,2.14.0
50396,com.fasterxml.jackson.module.jackson-module-jakarta-xmlbind-annotations,2.14.0,2022-11-06,https://repo1.maven.org/maven2/com/fasterxml/jackson/module/jackson-module-jakarta-xmlbind-annotations/2.14.0/jackson-module-jakarta-xmlbind-annotations-2.14.0.jar,,,,,,,,2.14.1
50397,com.fasterxml.jackson.module.jackson-module-jakarta-xmlbind-annotations,2.14.1,2022-11-22,https://repo1.maven.org/maven2/com/fasterxml/jackson/module/jackson-module-jakarta-xmlbind-annotations/2.14.1/jackson-module-jakarta-xmlbind-annotations-2.14.1.jar,,,,,,,,2.14.2
50398,com.fasterxml.jackson.module.jackson-module-jakarta-xmlbind-annotations,2.14.2,2023-01-29,https://repo1.maven.org/maven2/com/fasterxml/jackson/module/jackson-module-jakarta-xmlbind-annotations/2.14.2/jackson-module-jakarta-xmlbind-annotations-2.14.2.jar,,,,,,,,2.14.3
50382,com.fasterxml.jackson.module.jackson-module-jakarta-xmlbind-annotations,2.14.3,2023-05-05,https://repo1.maven.org/maven2/com/fasterxml/jackson/module/jackson-module-jakarta-xmlbind-annotations/2.14.3/jackson-module-jakarta-xmlbind-annotations-2.14.3.jar,,,,,,,,2.15.0
50388,com.fasterxml.jackson.module.jackson-module-jakarta-xmlbind-annotations,2.15.0,2023-04-24,https://repo1.maven.org/maven2/com/fasterxml/jackson/module/jackson-module-jakarta-xmlbind-annotations/2.15.0/jackson-module-jakarta-xmlbind-annotations-2.15.0.jar,,,,,,,,2.15.1
50381,com.fasterxml.jackson.module.jackson-module-jakarta-xmlbind-annotations,2.15.1,2023-05-17,https://repo1.maven.org/maven2/com/fasterxml/jackson/module/jackson-module-jakarta-xmlbind-annotations/2.15.1/jackson-module-jakarta-xmlbind-annotations-2.15.1.jar,,,,,,,,2.15.2
50369,com.fasterxml.jackson.module.jackson-module-jakarta-xmlbind-annotations,2.15.2,2023-05-31,https://repo1.maven.org/maven2/com/fasterxml/jackson/module/jackson-module-jakarta-xmlbind-annotations/2.15.2/jackson-module-jakarta-xmlbind-annotations-2.15.2.jar,,,,,,,,2.15.3
50360,com.fasterxml.jackson.module.jackson-module-jakarta-xmlbind-annotations,2.15.3,2023-10-13,https://repo1.maven.org/maven2/com/fasterxml/jackson/module/jackson-module-jakarta-xmlbind-annotations/2.15.3/jackson-module-jakarta-xmlbind-annotations-2.15.3.jar,,,,,,,,2.15.4
50361,com.fasterxml.jackson.module.jackson-module-jakarta-xmlbind-annotations,2.15.4,2024-02-15,https://repo1.maven.org/maven2/com/fasterxml/jackson/module/jackson-module-jakarta-xmlbind-annotations/2.15.4/jackson-module-jakarta-xmlbind-annotations-2.15.4.jar,,,,,,,,2.16.0
50362,com.fasterxml.jackson.module.jackson-module-jakarta-xmlbind-annotations,2.16.0,2023-11-16,https://repo1.maven.org/maven2/com/fasterxml/jackson/module/jackson-module-jakarta-xmlbind-annotations/2.16.0/jackson-module-jakarta-xmlbind-annotations-2.16.0.jar,,,,,,,,2.16.1
50363,com.fasterxml.jackson.module.jackson-module-jakarta-xmlbind-annotations,2.16.1,2023-12-24,https://repo1.maven.org/maven2/com/fasterxml/jackson/module/jackson-module-jakarta-xmlbind-annotations/2.16.1/jackson-module-jakarta-xmlbind-annotations-2.16.1.jar,,,,,,,,2.16.2
50364,com.fasterxml.jackson.module.jackson-module-jakarta-xmlbind-annotations,2.16.2,2024-03-09,https://repo1.maven.org/maven2/com/fasterxml/jackson/module/jackson-module-jakarta-xmlbind-annotations/2.16.2/jackson-module-jakarta-xmlbind-annotations-2.16.2.jar,,,,,,,,2.17.0
50365,com.fasterxml.jackson.module.jackson-module-jakarta-xmlbind-annotations,2.17.0,2024-03-13,https://repo1.maven.org/maven2/com/fasterxml/jackson/module/jackson-module-jakarta-xmlbind-annotations/2.17.0/jackson-module-jakarta-xmlbind-annotations-2.17.0.jar,,,,,,,,2.17.1
50366,com.fasterxml.jackson.module.jackson-module-jakarta-xmlbind-annotations,2.17.1,2024-05-05,https://repo1.maven.org/maven2/com/fasterxml/jackson/module/jackson-module-jakarta-xmlbind-annotations/2.17.1/jackson-module-jakarta-xmlbind-annotations-2.17.1.jar,,,,,,,,2.17.2
50367,com.fasterxml.jackson.module.jackson-module-jakarta-xmlbind-annotations,2.17.2,2024-07-05,https://repo1.maven.org/maven2/com/fasterxml/jackson/module/jackson-module-jakarta-xmlbind-annotations/2.17.2/jackson-module-jakarta-xmlbind-annotations-2.17.2.jar,,,,,,,,2.17.3
50368,com.fasterxml.jackson.module.jackson-module-jakarta-xmlbind-annotations,2.17.3,2024-11-01,https://repo1.maven.org/maven2/com/fasterxml/jackson/module/jackson-module-jakarta-xmlbind-annotations/2.17.3/jackson-module-jakarta-xmlbind-annotations-2.17.3.jar,,,,,,,,2.18.0
50370,com.fasterxml.jackson.module.jackson-module-jakarta-xmlbind-annotations,2.18.0,2024-09-27,https://repo1.maven.org/maven2/com/fasterxml/jackson/module/jackson-module-jakarta-xmlbind-annotations/2.18.0/jackson-module-jakarta-xmlbind-annotations-2.18.0.jar,,,,,,,,2.18.1
50379,com.fasterxml.jackson.module.jackson-module-jakarta-xmlbind-annotations,2.18.1,2024-10-29,https://repo1.maven.org/maven2/com/fasterxml/jackson/module/jackson-module-jakarta-xmlbind-annotations/2.18.1/jackson-module-jakarta-xmlbind-annotations-2.18.1.jar,,,,,,,,2.18.2
50371,com.fasterxml.jackson.module.jackson-module-jakarta-xmlbind-annotations,2.18.2,2024-11-28,https://repo1.maven.org/maven2/com/fasterxml/jackson/module/jackson-module-jakarta-xmlbind-annotations/2.18.2/jackson-module-jakarta-xmlbind-annotations-2.18.2.jar,,,,,,,,
