,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
111086,com.fasterxml.woodstox.woodstox-core,1.8.2,2005-11-08,https://repo1.maven.org/maven2/woodstox/wstx-asl/1.8.2/wstx-asl-1.8.2.jar,,,,,,,,1.9
111087,com.fasterxml.woodstox.woodstox-core,1.9,2005-11-08,https://repo1.maven.org/maven2/woodstox/wstx-asl/1.9/wstx-asl-1.9.jar,,,,,,,,2.0
111088,com.fasterxml.woodstox.woodstox-core,2.0,2005-11-08,https://repo1.maven.org/maven2/woodstox/wstx-asl/2.0/wstx-asl-2.0.jar,,,,,,,,2.0.1
111089,com.fasterxml.woodstox.woodstox-core,2.0.1,2005-11-08,https://repo1.maven.org/maven2/woodstox/wstx-asl/2.0.1/wstx-asl-2.0.1.jar,,,,,,,,2.0.2
111090,com.fasterxml.woodstox.woodstox-core,2.0.2,2005-11-08,https://repo1.maven.org/maven2/woodstox/wstx-asl/2.0.2/wstx-asl-2.0.2.jar,,,,,,,,2.0.3
111091,com.fasterxml.woodstox.woodstox-core,2.0.3,2005-11-08,https://repo1.maven.org/maven2/woodstox/wstx-asl/2.0.3/wstx-asl-2.0.3.jar,,,,,,,,2.0.4
111092,com.fasterxml.woodstox.woodstox-core,2.0.4,2005-12-17,https://repo1.maven.org/maven2/woodstox/wstx-asl/2.0.4/wstx-asl-2.0.4.jar,,,,,,,,2.0.5
111093,com.fasterxml.woodstox.woodstox-core,2.0.5,2006-01-23,https://repo1.maven.org/maven2/woodstox/wstx-asl/2.0.5/wstx-asl-2.0.5.jar,,,,,,,,2.0.6
111094,com.fasterxml.woodstox.woodstox-core,2.0.6,2006-07-18,https://repo1.maven.org/maven2/woodstox/wstx-asl/2.0.6/wstx-asl-2.0.6.jar,,,,,,,,2.6
111095,com.fasterxml.woodstox.woodstox-core,2.6,2005-11-08,https://repo1.maven.org/maven2/woodstox/wstx-asl/2.6/wstx-asl-2.6.jar,,,,,,,,2.7
111096,com.fasterxml.woodstox.woodstox-core,2.7,2005-11-08,https://repo1.maven.org/maven2/woodstox/wstx-asl/2.7/wstx-asl-2.7.jar,,,,,,,,2.8
111084,com.fasterxml.woodstox.woodstox-core,2.8,2005-11-08,https://repo1.maven.org/maven2/woodstox/wstx-asl/2.8/wstx-asl-2.8.jar,,,,,,,,2.8.2
111097,com.fasterxml.woodstox.woodstox-core,2.8.2,2006-01-01,https://repo1.maven.org/maven2/woodstox/wstx-asl/2.8.2/wstx-asl-2.8.2.jar,,,,,,,,2.9
111083,com.fasterxml.woodstox.woodstox-core,2.9,2006-01-23,https://repo1.maven.org/maven2/woodstox/wstx-asl/2.9/wstx-asl-2.9.jar,,,,,,,,2.9.1
111081,com.fasterxml.woodstox.woodstox-core,2.9.1,2006-03-06,https://repo1.maven.org/maven2/woodstox/wstx-asl/2.9.1/wstx-asl-2.9.1.jar,,,,,,,,2.9.2
111078,com.fasterxml.woodstox.woodstox-core,2.9.2,2006-04-01,https://repo1.maven.org/maven2/woodstox/wstx-asl/2.9.2/wstx-asl-2.9.2.jar,,,,,,,,2.9.3
