,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
80466,com.github.alexarchambault.case-app,0.1.0,2014-10-23,https://repo1.maven.org/maven2/com/github/alexarchambault/case-app_2.11/0.1.0/case-app_2.11-0.1.0.jar,,,,,,,,0.2.0
80465,com.github.alexarchambault.case-app,0.2.0,2015-01-26,https://repo1.maven.org/maven2/com/github/alexarchambault/case-app_2.11/0.2.0/case-app_2.11-0.2.0.jar,,,,,,,,0.2.1
80464,com.github.alexarchambault.case-app,0.2.1,2015-01-27,https://repo1.maven.org/maven2/com/github/alexarchambault/case-app_2.11/0.2.1/case-app_2.11-0.2.1.jar,,,,,,,,0.2.2
80463,com.github.alexarchambault.case-app,0.2.2,2015-02-21,https://repo1.maven.org/maven2/com/github/alexarchambault/case-app_2.11/0.2.2/case-app_2.11-0.2.2.jar,,,,,,,,0.3.0
80438,com.github.alexarchambault.case-app,0.3.0,2015-07-04,https://repo1.maven.org/maven2/com/github/alexarchambault/case-app_2.11/0.3.0/case-app_2.11-0.3.0.jar,,,,,,,,1.0.0
80439,com.github.alexarchambault.case-app,1.0.0,2016-09-27,https://repo1.maven.org/maven2/com/github/alexarchambault/case-app_2.11/1.0.0/case-app_2.11-1.0.0.jar,,,,,,,,1.1.0
80440,com.github.alexarchambault.case-app,1.1.0,2016-09-27,https://repo1.maven.org/maven2/com/github/alexarchambault/case-app_2.11/1.1.0/case-app_2.11-1.1.0.jar,,,,,,,,1.1.1
80441,com.github.alexarchambault.case-app,1.1.1,2016-09-27,https://repo1.maven.org/maven2/com/github/alexarchambault/case-app_2.11/1.1.1/case-app_2.11-1.1.1.jar,,,,,,,,1.1.2
80442,com.github.alexarchambault.case-app,1.1.2,2016-10-20,https://repo1.maven.org/maven2/com/github/alexarchambault/case-app_2.11/1.1.2/case-app_2.11-1.1.2.jar,,,,,,,,1.1.3
80443,com.github.alexarchambault.case-app,1.1.3,2016-11-02,https://repo1.maven.org/maven2/com/github/alexarchambault/case-app_2.12/1.1.3/case-app_2.12-1.1.3.jar,,,,,,,,1.2.0
80444,com.github.alexarchambault.case-app,1.2.0,2017-08-12,https://repo1.maven.org/maven2/com/github/alexarchambault/case-app_2.12/1.2.0/case-app_2.12-1.2.0.jar,,,,,,,,2.0.0
80431,com.github.alexarchambault.case-app,2.0.0,2020-05-28,https://repo1.maven.org/maven2/com/github/alexarchambault/case-app_2.13/2.0.0/case-app_2.13-2.0.0.jar,95,,,,,,,2.0.1
80437,com.github.alexarchambault.case-app,2.0.1,2020-06-16,https://repo1.maven.org/maven2/com/github/alexarchambault/case-app_2.13/2.0.1/case-app_2.13-2.0.1.jar,95,0,0,0,0,0,0,2.0.2
80432,com.github.alexarchambault.case-app,2.0.2,2020-06-24,https://repo1.maven.org/maven2/com/github/alexarchambault/case-app_2.13/2.0.2/case-app_2.13-2.0.2.jar,95,0,0,0,0,0,0,2.0.3
80433,com.github.alexarchambault.case-app,2.0.3,2020-06-25,https://repo1.maven.org/maven2/com/github/alexarchambault/case-app_2.13/2.0.3/case-app_2.13-2.0.3.jar,95,0,0,0,0,0,0,2.0.4
80434,com.github.alexarchambault.case-app,2.0.4,2020-08-13,https://repo1.maven.org/maven2/com/github/alexarchambault/case-app_2.13/2.0.4/case-app_2.13-2.0.4.jar,95,0,0,0,0,0,0,2.0.5
80435,com.github.alexarchambault.case-app,2.0.5,2021-04-15,https://repo1.maven.org/maven2/com/github/alexarchambault/case-app_2.13/2.0.5/case-app_2.13-2.0.5.jar,97,0,0,0,0,2,0,2.0.6
80436,com.github.alexarchambault.case-app,2.0.6,2021-04-19,https://repo1.maven.org/maven2/com/github/alexarchambault/case-app_2.13/2.0.6/case-app_2.13-2.0.6.jar,: 97,0,0,0,0,2,2,
