,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
52894,com.github.bumptech.glide.gifdecoder,4.0.0,2017-08-01,https://repo1.maven.org/maven2/com/github/bumptech/glide/gifdecoder/4.0.0/gifdecoder-4.0.0.jar,,,,,,,,4.1.0
52885,com.github.bumptech.glide.gifdecoder,4.1.0,2017-09-01,https://repo1.maven.org/maven2/com/github/bumptech/glide/gifdecoder/4.1.0/gifdecoder-4.1.0.jar,,,,,,,,4.1.1
52886,com.github.bumptech.glide.gifdecoder,4.1.1,2017-09-05,https://repo1.maven.org/maven2/com/github/bumptech/glide/gifdecoder/4.1.1/gifdecoder-4.1.1.jar,,,,,,,,4.2.0
52887,com.github.bumptech.glide.gifdecoder,4.2.0,2017-10-03,https://repo1.maven.org/maven2/com/github/bumptech/glide/gifdecoder/4.2.0/gifdecoder-4.2.0.jar,,,,,,,,4.3.0
52888,com.github.bumptech.glide.gifdecoder,4.3.0,2017-10-31,https://repo1.maven.org/maven2/com/github/bumptech/glide/gifdecoder/4.3.0/gifdecoder-4.3.0.jar,,,,,,,,4.3.1
52889,com.github.bumptech.glide.gifdecoder,4.3.1,2017-11-06,https://repo1.maven.org/maven2/com/github/bumptech/glide/gifdecoder/4.3.1/gifdecoder-4.3.1.jar,,,,,,,,4.4.0
52890,com.github.bumptech.glide.gifdecoder,4.4.0,2017-12-04,https://repo1.maven.org/maven2/com/github/bumptech/glide/gifdecoder/4.4.0/gifdecoder-4.4.0.jar,,,,,,,,4.5.0
52931,com.github.bumptech.glide.gifdecoder,4.5.0,2018-01-05,https://repo1.maven.org/maven2/com/github/bumptech/glide/gifdecoder/4.5.0/gifdecoder-4.5.0.aar,,,,,,,,4.6.0
52956,com.github.bumptech.glide.gifdecoder,4.6.0,2018-02-01,https://repo1.maven.org/maven2/com/github/bumptech/glide/gifdecoder/4.6.0/gifdecoder-4.6.0.aar,,,,,,,,4.6.1
52957,com.github.bumptech.glide.gifdecoder,4.6.1,2018-02-02,https://repo1.maven.org/maven2/com/github/bumptech/glide/gifdecoder/4.6.1/gifdecoder-4.6.1.aar,,,,,,,,4.7.0
52958,com.github.bumptech.glide.gifdecoder,4.7.0,2018-04-10,https://repo1.maven.org/maven2/com/github/bumptech/glide/gifdecoder/4.7.0/gifdecoder-4.7.0.aar,,,,,,,,4.7.1
52959,com.github.bumptech.glide.gifdecoder,4.7.1,2018-04-13,https://repo1.maven.org/maven2/com/github/bumptech/glide/gifdecoder/4.7.1/gifdecoder-4.7.1.aar,,,,,,,,4.8.0
52960,com.github.bumptech.glide.gifdecoder,4.8.0,2018-08-16,https://repo1.maven.org/maven2/com/github/bumptech/glide/gifdecoder/4.8.0/gifdecoder-4.8.0.aar,,,,,,,,4.9.0
52961,com.github.bumptech.glide.gifdecoder,4.9.0,2019-02-15,https://repo1.maven.org/maven2/com/github/bumptech/glide/gifdecoder/4.9.0/gifdecoder-4.9.0.aar,,,,,,,,4.10.0
52962,com.github.bumptech.glide.gifdecoder,4.10.0,2019-09-24,https://repo1.maven.org/maven2/com/github/bumptech/glide/gifdecoder/4.10.0/gifdecoder-4.10.0.jar,,,,,,,,4.11.0
52963,com.github.bumptech.glide.gifdecoder,4.11.0,2020-01-08,https://repo1.maven.org/maven2/com/github/bumptech/glide/gifdecoder/4.11.0/gifdecoder-4.11.0.jar,,,,,,,,4.12.0
52964,com.github.bumptech.glide.gifdecoder,4.12.0,2021-01-30,https://repo1.maven.org/maven2/com/github/bumptech/glide/gifdecoder/4.12.0/gifdecoder-4.12.0.jar,,,,,,,,4.13.0
52965,com.github.bumptech.glide.gifdecoder,4.13.0,2022-02-08,https://repo1.maven.org/maven2/com/github/bumptech/glide/gifdecoder/4.13.0/gifdecoder-4.13.0.jar,,,,,,,,4.13.1
52966,com.github.bumptech.glide.gifdecoder,4.13.1,2022-02-24,https://repo1.maven.org/maven2/com/github/bumptech/glide/gifdecoder/4.13.1/gifdecoder-4.13.1.jar,,,,,,,,4.13.2
52967,com.github.bumptech.glide.gifdecoder,4.13.2,2022-05-04,https://repo1.maven.org/maven2/com/github/bumptech/glide/gifdecoder/4.13.2/gifdecoder-4.13.2.jar,,,,,,,,4.14.0
52968,com.github.bumptech.glide.gifdecoder,4.14.0,2022-09-28,https://repo1.maven.org/maven2/com/github/bumptech/glide/gifdecoder/4.14.0/gifdecoder-4.14.0.jar,,,,,,,,4.14.1
52969,com.github.bumptech.glide.gifdecoder,4.14.1,2022-09-30,https://repo1.maven.org/maven2/com/github/bumptech/glide/gifdecoder/4.14.1/gifdecoder-4.14.1.jar,,,,,,,,4.14.2
52970,com.github.bumptech.glide.gifdecoder,4.14.2,2022-10-07,https://repo1.maven.org/maven2/com/github/bumptech/glide/gifdecoder/4.14.2/gifdecoder-4.14.2.jar,,,,,,,,4.15.0
52971,com.github.bumptech.glide.gifdecoder,4.15.0,2023-02-24,https://repo1.maven.org/maven2/com/github/bumptech/glide/gifdecoder/4.15.0/gifdecoder-4.15.0.jar,,,,,,,,4.15.1
52972,com.github.bumptech.glide.gifdecoder,4.15.1,2023-03-13,https://repo1.maven.org/maven2/com/github/bumptech/glide/gifdecoder/4.15.1/gifdecoder-4.15.1.jar,,,,,,,,4.16.0
52973,com.github.bumptech.glide.gifdecoder,4.16.0,2023-08-21,https://repo1.maven.org/maven2/com/github/bumptech/glide/gifdecoder/4.16.0/gifdecoder-4.16.0.jar,,,,,,,,
