,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
44287,com.github.jnr.jnr-ffi,0.6.0,2011-08-06,https://repo1.maven.org/maven2/com/github/jnr/jnr-ffi/0.6.0/jnr-ffi-0.6.0.jar,,,,,,,,0.6.1
44288,com.github.jnr.jnr-ffi,0.6.1,2012-03-16,https://repo1.maven.org/maven2/com/github/jnr/jnr-ffi/0.6.1/jnr-ffi-0.6.1.jar,,,,,,,,0.7.1
44289,com.github.jnr.jnr-ffi,0.7.1,2012-04-01,https://repo1.maven.org/maven2/com/github/jnr/jnr-ffi/0.7.1/jnr-ffi-0.7.1.jar,,,,,,,,0.7.2
44290,com.github.jnr.jnr-ffi,0.7.2,2012-04-13,https://repo1.maven.org/maven2/com/github/jnr/jnr-ffi/0.7.2/jnr-ffi-0.7.2.jar,,,,,,,,0.7.3
44291,com.github.jnr.jnr-ffi,0.7.3,2012-04-13,https://repo1.maven.org/maven2/com/github/jnr/jnr-ffi/0.7.3/jnr-ffi-0.7.3.jar,,,,,,,,0.7.4
44292,com.github.jnr.jnr-ffi,0.7.4,2012-05-17,https://repo1.maven.org/maven2/com/github/jnr/jnr-ffi/0.7.4/jnr-ffi-0.7.4.jar,,,,,,,,0.7.5
44270,com.github.jnr.jnr-ffi,0.7.5,2012-08-03,https://repo1.maven.org/maven2/com/github/jnr/jnr-ffi/0.7.5/jnr-ffi-0.7.5.jar,,,,,,,,0.7.6
44293,com.github.jnr.jnr-ffi,0.7.6,2012-08-05,https://repo1.maven.org/maven2/com/github/jnr/jnr-ffi/0.7.6/jnr-ffi-0.7.6.jar,,,,,,,,0.7.7
44269,com.github.jnr.jnr-ffi,0.7.7,2012-09-15,https://repo1.maven.org/maven2/com/github/jnr/jnr-ffi/0.7.7/jnr-ffi-0.7.7.jar,,,,,,,,0.7.8
44267,com.github.jnr.jnr-ffi,0.7.8,2012-10-07,https://repo1.maven.org/maven2/com/github/jnr/jnr-ffi/0.7.8/jnr-ffi-0.7.8.jar,,,,,,,,0.7.9
44244,com.github.jnr.jnr-ffi,0.7.9,2012-10-14,https://repo1.maven.org/maven2/com/github/jnr/jnr-ffi/0.7.9/jnr-ffi-0.7.9.jar,,,,,,,,0.7.10
44245,com.github.jnr.jnr-ffi,0.7.10,2012-11-09,https://repo1.maven.org/maven2/com/github/jnr/jnr-ffi/0.7.10/jnr-ffi-0.7.10.jar,,,,,,,,0.7.11
44246,com.github.jnr.jnr-ffi,0.7.11,2013-03-19,https://repo1.maven.org/maven2/com/github/jnr/jnr-ffi/0.7.11/jnr-ffi-0.7.11.jar,,,,,,,,1.0.0
44247,com.github.jnr.jnr-ffi,1.0.0,2013-02-17,https://repo1.maven.org/maven2/com/github/jnr/jnr-ffi/1.0.0/jnr-ffi-1.0.0.jar,,,,,,,,1.0.1
