,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
17987,com.github.nscala-time.nscala-time,0.2.0,2012-12-20,https://repo1.maven.org/maven2/com/github/nscala-time/nscala-time_2.10.0/0.2.0/nscala-time_2.10.0-0.2.0.jar,,,,,,,,0.4.0
17977,com.github.nscala-time.nscala-time,0.4.0,2013-04-03,https://repo1.maven.org/maven2/com/github/nscala-time/nscala-time_2.10/0.4.0/nscala-time_2.10-0.4.0.jar,,,,,,,,0.4.2
17990,com.github.nscala-time.nscala-time,0.4.2,2013-06-05,https://repo1.maven.org/maven2/com/github/nscala-time/nscala-time_2.10/0.4.2/nscala-time_2.10-0.4.2.jar,,,,,,,,0.6.0
17991,com.github.nscala-time.nscala-time,0.6.0,2013-08-24,https://repo1.maven.org/maven2/com/github/nscala-time/nscala-time_2.10/0.6.0/nscala-time_2.10-0.6.0.jar,,,,,,,,0.8.0
17992,com.github.nscala-time.nscala-time,0.8.0,2014-01-28,https://repo1.maven.org/maven2/com/github/nscala-time/nscala-time_2.10/0.8.0/nscala-time_2.10-0.8.0.jar,,,,,,,,1.0.0
17993,com.github.nscala-time.nscala-time,1.0.0,2014-04-17,https://repo1.maven.org/maven2/com/github/nscala-time/nscala-time_2.11/1.0.0/nscala-time_2.11-1.0.0.jar,,,,,,,,1.2.0
17994,com.github.nscala-time.nscala-time,1.2.0,2014-05-25,https://repo1.maven.org/maven2/com/github/nscala-time/nscala-time_2.11/1.2.0/nscala-time_2.11-1.2.0.jar,,,,,,,,1.4.0
17995,com.github.nscala-time.nscala-time,1.4.0,2014-08-24,https://repo1.maven.org/maven2/com/github/nscala-time/nscala-time_2.11/1.4.0/nscala-time_2.11-1.4.0.jar,,,,,,,,1.6.0
17996,com.github.nscala-time.nscala-time,1.6.0,2014-11-20,https://repo1.maven.org/maven2/com/github/nscala-time/nscala-time_2.11/1.6.0/nscala-time_2.11-1.6.0.jar,,,,,,,,1.8.0
17997,com.github.nscala-time.nscala-time,1.8.0,2015-02-05,https://repo1.maven.org/maven2/com/github/nscala-time/nscala-time_2.11/1.8.0/nscala-time_2.11-1.8.0.jar,,,,,,,,2.0.0
17998,com.github.nscala-time.nscala-time,2.0.0,2015-04-28,https://repo1.maven.org/maven2/com/github/nscala-time/nscala-time_2.11/2.0.0/nscala-time_2.11-2.0.0.jar,,,,,,,,2.2.0
