,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
80624,com.github.scopt.scopt,1.0.0,2011-06-07,https://repo1.maven.org/maven2/com/github/scopt/scopt_2.9.0-1/1.0.0/scopt_2.9.0-1-1.0.0.jar,,,,,,,,1.1.0
80623,com.github.scopt.scopt,1.1.0,2011-06-08,https://repo1.maven.org/maven2/com/github/scopt/scopt_2.9.0-1/1.1.0/scopt_2.9.0-1-1.1.0.jar,,,,,,,,1.1.1
80600,com.github.scopt.scopt,1.1.1,2011-06-08,https://repo1.maven.org/maven2/com/github/scopt/scopt_2.9.0-1/1.1.1/scopt_2.9.0-1-1.1.1.jar,,,,,,,,1.1.2
80560,com.github.scopt.scopt,1.1.2,2011-09-01,https://repo1.maven.org/maven2/com/github/scopt/scopt_2.9.1/1.1.2/scopt_2.9.1-1.1.2.jar,,,,,,,,1.1.3
80561,com.github.scopt.scopt,1.1.3,2011-12-24,https://repo1.maven.org/maven2/com/github/scopt/scopt_2.9.1/1.1.3/scopt_2.9.1-1.1.3.jar,,,,,,,,2.0.0
80562,com.github.scopt.scopt,2.0.0,2012-03-19,https://repo1.maven.org/maven2/com/github/scopt/scopt_2.9.1/2.0.0/scopt_2.9.1-2.0.0.jar,,,,,,,,2.0.1
80563,com.github.scopt.scopt,2.0.1,2012-03-26,https://repo1.maven.org/maven2/com/github/scopt/scopt_2.9.1/2.0.1/scopt_2.9.1-2.0.1.jar,,,,,,,,2.1.0
80564,com.github.scopt.scopt,2.1.0,2012-12-20,https://repo1.maven.org/maven2/com/github/scopt/scopt_2.10/2.1.0/scopt_2.10-2.1.0.jar,,,,,,,,3.0.0
80565,com.github.scopt.scopt,3.0.0,2013-06-08,https://repo1.maven.org/maven2/com/github/scopt/scopt_2.10/3.0.0/scopt_2.10-3.0.0.jar,,,,,,,,3.1.0
80566,com.github.scopt.scopt,3.1.0,2013-07-07,https://repo1.maven.org/maven2/com/github/scopt/scopt_2.10/3.1.0/scopt_2.10-3.1.0.jar,,,,,,,,3.2.0
80567,com.github.scopt.scopt,3.2.0,2014-04-18,https://repo1.maven.org/maven2/com/github/scopt/scopt_2.11/3.2.0/scopt_2.11-3.2.0.jar,,,,,,,,3.3.0
80568,com.github.scopt.scopt,3.3.0,2014-12-15,https://repo1.maven.org/maven2/com/github/scopt/scopt_2.11/3.3.0/scopt_2.11-3.3.0.jar,,,,,,,,3.4.0
80569,com.github.scopt.scopt,3.4.0,2016-02-15,https://repo1.maven.org/maven2/com/github/scopt/scopt_2.11/3.4.0/scopt_2.11-3.4.0.jar,,,,,,,,3.5.0
80570,com.github.scopt.scopt,3.5.0,2016-11-02,https://repo1.maven.org/maven2/com/github/scopt/scopt_2.12/3.5.0/scopt_2.12-3.5.0.jar,,,,,,,,3.6.0
80571,com.github.scopt.scopt,3.6.0,2017-06-01,https://repo1.maven.org/maven2/com/github/scopt/scopt_2.12/3.6.0/scopt_2.12-3.6.0.jar,,,,,,,,3.7.0
80572,com.github.scopt.scopt,3.7.0,2017-08-25,https://repo1.maven.org/maven2/com/github/scopt/scopt_2.12/3.7.0/scopt_2.12-3.7.0.jar,,,,,,,,3.7.1
80573,com.github.scopt.scopt,3.7.1,2019-06-13,https://repo1.maven.org/maven2/com/github/scopt/scopt_2.13/3.7.1/scopt_2.13-3.7.1.jar,,,,,,,,3.7.2
80574,com.github.scopt.scopt,3.7.2,2020-04-15,https://repo1.maven.org/maven2/com/github/scopt/scopt_native0.4.0-M2_2.11/3.7.2/scopt_native0.4.0-M2_2.11-3.7.2.jar,,,,,,,,4.0.0
80575,com.github.scopt.scopt,4.0.0,2020-11-29,https://repo1.maven.org/maven2/com/github/scopt/scopt_2.13/4.0.0/scopt_2.13-4.0.0.jar,23,,,,,,,4.0.1
80576,com.github.scopt.scopt,4.0.1,2021-05-13,https://repo1.maven.org/maven2/com/github/scopt/scopt_3/4.0.1/scopt_3-4.0.1.jar,32,10,0,0,0,1,2,4.1.0
80577,com.github.scopt.scopt,4.1.0,2022-07-02,https://repo1.maven.org/maven2/com/github/scopt/scopt_3/4.1.0/scopt_3-4.1.0.jar,: 32,0,0,0,0,0,0,
