,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
84434,com.google.appengine.appengine-api-1.0-sdk,1.2.0,2009-10-07,https://repo1.maven.org/maven2/com/google/appengine/appengine-api-1.0-sdk/1.2.0/appengine-api-1.0-sdk-1.2.0.jar,407,,,,,,,1.2.1
84435,com.google.appengine.appengine-api-1.0-sdk,1.2.1,2009-10-07,https://repo1.maven.org/maven2/com/google/appengine/appengine-api-1.0-sdk/1.2.1/appengine-api-1.0-sdk-1.2.1.jar,438,1,0,0,0,46,16,1.2.8
84436,com.google.appengine.appengine-api-1.0-sdk,1.2.8,2010-01-27,https://repo1.maven.org/maven2/com/google/appengine/appengine-api-1.0-sdk/1.2.8/appengine-api-1.0-sdk-1.2.8.jar,478,5,1,0,25,115,54,1.3.0
84437,com.google.appengine.appengine-api-1.0-sdk,1.3.0,2010-01-28,https://repo1.maven.org/maven2/com/google/appengine/appengine-api-1.0-sdk/1.3.0/appengine-api-1.0-sdk-1.3.0.jar,487,0,0,0,0,9,0,1.3.1
84438,com.google.appengine.appengine-api-1.0-sdk,1.3.1,2010-03-09,https://repo1.maven.org/maven2/com/google/appengine/appengine-api-1.0-sdk/1.3.1/appengine-api-1.0-sdk-1.3.1.jar,509,0,0,0,0,26,4,1.3.6
84439,com.google.appengine.appengine-api-1.0-sdk,1.3.6,2010-09-01,https://repo1.maven.org/maven2/com/google/appengine/appengine-api-1.0-sdk/1.3.6/appengine-api-1.0-sdk-1.3.6.jar,603,3,0,47,2,86,40,1.3.7
84429,com.google.appengine.appengine-api-1.0-sdk,1.3.7,2010-09-01,https://repo1.maven.org/maven2/com/google/appengine/appengine-api-1.0-sdk/1.3.7/appengine-api-1.0-sdk-1.3.7.jar,603,0,0,0,0,0,0,1.3.8
84428,com.google.appengine.appengine-api-1.0-sdk,1.3.8,2010-10-13,https://repo1.maven.org/maven2/com/google/appengine/appengine-api-1.0-sdk/1.3.8/appengine-api-1.0-sdk-1.3.8.jar,597,0,0,0,0,10,16,1.4.0
84427,com.google.appengine.appengine-api-1.0-sdk,1.4.0,2010-12-02,https://repo1.maven.org/maven2/com/google/appengine/appengine-api-1.0-sdk/1.4.0/appengine-api-1.0-sdk-1.4.0.jar,683,0,0,0,0,86,0,1.4.2
84426,com.google.appengine.appengine-api-1.0-sdk,1.4.2,2011-02-09,https://repo1.maven.org/maven2/com/google/appengine/appengine-api-1.0-sdk/1.4.2/appengine-api-1.0-sdk-1.4.2.jar,733,0,0,0,1,54,3,1.4.3
