,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
57369,com.google.cloud.google-cloud-storage,0.3.0,8/31/2016,https://repo1.maven.org/maven2/com/google/cloud/google-cloud-storage/0.3.0/google-cloud-storage-0.3.0.jar,40,,,,,,,0.4.0
57370,com.google.cloud.google-cloud-storage,0.4.0,9/29/2016,https://repo1.maven.org/maven2/com/google/cloud/google-cloud-storage/0.4.0/google-cloud-storage-0.4.0.jar,41,0,0,0,0,1,0,0.5.0
57371,com.google.cloud.google-cloud-storage,0.5.0,10/29/2016,https://repo1.maven.org/maven2/com/google/cloud/google-cloud-storage/0.5.0/google-cloud-storage-0.5.0.jar,41,0,0,0,0,0,0,0.5.1
57372,com.google.cloud.google-cloud-storage,0.5.1,11/4/2016,https://repo1.maven.org/maven2/com/google/cloud/google-cloud-storage/0.5.1/google-cloud-storage-0.5.1.jar,41,0,0,0,0,0,0,0.6.0
57373,com.google.cloud.google-cloud-storage,0.6.0,11/15/2016,https://repo1.maven.org/maven2/com/google/cloud/google-cloud-storage/0.6.0/google-cloud-storage-0.6.0.jar,41,0,0,0,0,0,0,0.7.0
57374,com.google.cloud.google-cloud-storage,0.7.0,11/24/2016,https://repo1.maven.org/maven2/com/google/cloud/google-cloud-storage/0.7.0/google-cloud-storage-0.7.0.jar,41,0,0,0,0,0,0,1.0.0
57375,com.google.cloud.google-cloud-storage,1.0.0,4/26/2017,https://repo1.maven.org/maven2/com/google/cloud/google-cloud-storage/1.0.0/google-cloud-storage-1.0.0.jar,41,0,0,0,0,0,0,1.0.1
57376,com.google.cloud.google-cloud-storage,1.0.1,5/4/2017,https://repo1.maven.org/maven2/com/google/cloud/google-cloud-storage/1.0.1/google-cloud-storage-1.0.1.jar,41,0,0,0,0,0,0,1.0.2
57377,com.google.cloud.google-cloud-storage,1.0.2,5/18/2017,https://repo1.maven.org/maven2/com/google/cloud/google-cloud-storage/1.0.2/google-cloud-storage-1.0.2.jar,41,0,0,0,0,0,0,1.1.0
57357,com.google.cloud.google-cloud-storage,1.1.0,6/5/2017,https://repo1.maven.org/maven2/com/google/cloud/google-cloud-storage/1.1.0/google-cloud-storage-1.1.0.jar,41,0,0,0,0,0,0,1.2.0
57367,com.google.cloud.google-cloud-storage,1.2.0,6/15/2017,https://repo1.maven.org/maven2/com/google/cloud/google-cloud-storage/1.2.0/google-cloud-storage-1.2.0.jar,41,0,0,0,0,0,0,1.2.1
57356,com.google.cloud.google-cloud-storage,1.2.1,6/27/2017,https://repo1.maven.org/maven2/com/google/cloud/google-cloud-storage/1.2.1/google-cloud-storage-1.2.1.jar,41,0,0,0,0,0,0,1.2.2
57343,com.google.cloud.google-cloud-storage,1.2.2,7/17/2017,https://repo1.maven.org/maven2/com/google/cloud/google-cloud-storage/1.2.2/google-cloud-storage-1.2.2.jar,41,0,0,0,0,0,0,1.2.3
57334,com.google.cloud.google-cloud-storage,1.2.3,7/19/2017,https://repo1.maven.org/maven2/com/google/cloud/google-cloud-storage/1.2.3/google-cloud-storage-1.2.3.jar,41,0,0,0,0,0,0,1.3.0
57335,com.google.cloud.google-cloud-storage,1.3.0,7/27/2017,https://repo1.maven.org/maven2/com/google/cloud/google-cloud-storage/1.3.0/google-cloud-storage-1.3.0.jar,41,0,0,0,0,0,0,1.3.1
57336,com.google.cloud.google-cloud-storage,1.3.1,7/31/2017,https://repo1.maven.org/maven2/com/google/cloud/google-cloud-storage/1.3.1/google-cloud-storage-1.3.1.jar,41,0,0,0,0,0,0,1.4.0
57337,com.google.cloud.google-cloud-storage,1.4.0,8/21/2017,https://repo1.maven.org/maven2/com/google/cloud/google-cloud-storage/1.4.0/google-cloud-storage-1.4.0.jar,41,0,0,0,0,0,0,1.5.0
57338,com.google.cloud.google-cloud-storage,1.5.0,9/11/2017,https://repo1.maven.org/maven2/com/google/cloud/google-cloud-storage/1.5.0/google-cloud-storage-1.5.0.jar,41,0,0,0,0,0,0,1.5.1
57339,com.google.cloud.google-cloud-storage,1.5.1,9/13/2017,https://repo1.maven.org/maven2/com/google/cloud/google-cloud-storage/1.5.1/google-cloud-storage-1.5.1.jar,41,0,0,0,0,0,0,1.6.0
57340,com.google.cloud.google-cloud-storage,1.6.0,9/18/2017,https://repo1.maven.org/maven2/com/google/cloud/google-cloud-storage/1.6.0/google-cloud-storage-1.6.0.jar,41,0,0,0,0,0,0,1.7.0
57341,com.google.cloud.google-cloud-storage,1.7.0,10/3/2017,https://repo1.maven.org/maven2/com/google/cloud/google-cloud-storage/1.7.0/google-cloud-storage-1.7.0.jar,41,0,0,0,0,0,0,1.8.0
57342,com.google.cloud.google-cloud-storage,1.8.0,10/14/2017,https://repo1.maven.org/maven2/com/google/cloud/google-cloud-storage/1.8.0/google-cloud-storage-1.8.0.jar,41,0,0,0,0,0,0,1.9.0
57344,com.google.cloud.google-cloud-storage,1.9.0,11/8/2017,https://repo1.maven.org/maven2/com/google/cloud/google-cloud-storage/1.9.0/google-cloud-storage-1.9.0.jar,41,0,0,0,0,0,0,1.10.0
