,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
60191,com.google.firebase.firebase-auth,9.0.0,2017-08-11,https://maven.google.com/com/google/firebase/firebase-auth/9.0.0/firebase-auth-9.0.0.aar,,,,,,,,9.0.1
60192,com.google.firebase.firebase-auth,9.0.1,2017-08-11,https://maven.google.com/com/google/firebase/firebase-auth/9.0.1/firebase-auth-9.0.1.aar,,,,,,,,9.0.2
60193,com.google.firebase.firebase-auth,9.0.2,2017-08-11,https://maven.google.com/com/google/firebase/firebase-auth/9.0.2/firebase-auth-9.0.2.aar,,,,,,,,9.2.0
60194,com.google.firebase.firebase-auth,9.2.0,2017-08-11,https://maven.google.com/com/google/firebase/firebase-auth/9.2.0/firebase-auth-9.2.0.aar,,,,,,,,9.2.1
60195,com.google.firebase.firebase-auth,9.2.1,2017-08-11,https://maven.google.com/com/google/firebase/firebase-auth/9.2.1/firebase-auth-9.2.1.aar,,,,,,,,9.4.0
60196,com.google.firebase.firebase-auth,9.4.0,2017-08-11,https://maven.google.com/com/google/firebase/firebase-auth/9.4.0/firebase-auth-9.4.0.aar,,,,,,,,9.6.0
60197,com.google.firebase.firebase-auth,9.6.0,2017-08-11,https://maven.google.com/com/google/firebase/firebase-auth/9.6.0/firebase-auth-9.6.0.aar,,,,,,,,9.6.1
60198,com.google.firebase.firebase-auth,9.6.1,2017-08-11,https://maven.google.com/com/google/firebase/firebase-auth/9.6.1/firebase-auth-9.6.1.aar,,,,,,,,9.8.0
60189,com.google.firebase.firebase-auth,9.8.0,2017-08-11,https://maven.google.com/com/google/firebase/firebase-auth/9.8.0/firebase-auth-9.8.0.aar,,,,,,,,10.0.0
60190,com.google.firebase.firebase-auth,10.0.0,2017-08-11,https://maven.google.com/com/google/firebase/firebase-auth/10.0.0/firebase-auth-10.0.0.aar,4,,,,,,,10.0.1
60188,com.google.firebase.firebase-auth,10.0.1,2017-08-11,https://maven.google.com/com/google/firebase/firebase-auth/10.0.1/firebase-auth-10.0.1.aar,4,0,0,0,0,0,0,10.2.0
60175,com.google.firebase.firebase-auth,10.2.0,2017-08-11,https://maven.google.com/com/google/firebase/firebase-auth/10.2.0/firebase-auth-10.2.0.aar,4,0,0,0,0,4,4,10.2.1
60166,com.google.firebase.firebase-auth,10.2.1,2017-08-11,https://maven.google.com/com/google/firebase/firebase-auth/10.2.1/firebase-auth-10.2.1.aar,4,0,0,0,0,0,0,10.2.4
60167,com.google.firebase.firebase-auth,10.2.4,2017-08-11,https://maven.google.com/com/google/firebase/firebase-auth/10.2.4/firebase-auth-10.2.4.aar,4,0,0,0,0,0,0,10.2.6
60168,com.google.firebase.firebase-auth,10.2.6,2017-08-11,https://maven.google.com/com/google/firebase/firebase-auth/10.2.6/firebase-auth-10.2.6.aar,,2,1,0,0,2,3,11.0.0
60169,com.google.firebase.firebase-auth,11.0.0,2017-08-11,https://maven.google.com/com/google/firebase/firebase-auth/11.0.0/firebase-auth-11.0.0.aar,,,,,,,,11.0.1
