,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
3534,com.google.javascript.closure-compiler,0.606,2010-12-09,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/r606/closure-compiler-r606.jar,151,,,,,,,0.706
3545,com.google.javascript.closure-compiler,0.706,2011-01-20,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/r706/closure-compiler-r706.jar,150,0,0,0,0,0,1,0.916
3535,com.google.javascript.closure-compiler,0.916,2011-03-23,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/r916/closure-compiler-r916.jar,149,0,0,0,0,1,2,0.946
3536,com.google.javascript.closure-compiler,0.946,2011-04-07,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/r946/closure-compiler-r946.jar,151,0,0,0,0,2,0,0.1043
3537,com.google.javascript.closure-compiler,0.1043,2011-05-08,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/r1043/closure-compiler-r1043.jar,151,0,0,0,0,0,0,0.1352
3538,com.google.javascript.closure-compiler,0.1352,2011-08-15,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/r1352/closure-compiler-r1352.jar,142,6,1,8,0,5,26,0.1459
3539,com.google.javascript.closure-compiler,0.1459,2011-10-04,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/r1459/closure-compiler-r1459.jar,144,1,0,2,0,1,2,0.1592
3540,com.google.javascript.closure-compiler,0.1592,2011-11-17,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/r1592/closure-compiler-r1592.jar,139,0,0,0,0,2,7,0.1741
3541,com.google.javascript.closure-compiler,0.1741,2012-03-07,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/r1741/closure-compiler-r1741.jar,158,0,0,0,0,80,61,0.1810
3542,com.google.javascript.closure-compiler,0.1810,2012-03-07,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/r1810/closure-compiler-r1810.jar,159,0,0,0,0,1,0,0.1918
3543,com.google.javascript.closure-compiler,0.1918,2012-05-01,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/r1918/closure-compiler-r1918.jar,160,1,0,0,0,0,0,0.2079
3544,com.google.javascript.closure-compiler,0.2079,2012-08-06,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/r2079/closure-compiler-r2079.jar,161,0,0,0,0,1,0,0.2180
3523,com.google.javascript.closure-compiler,0.2180,2012-09-18,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/r2180/closure-compiler-r2180.jar,161,0,0,0,0,0,0,0.2388
3522,com.google.javascript.closure-compiler,0.2388,2012-12-13,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/r2388/closure-compiler-r2388.jar,162,0,0,0,0,2,1,20130227
3521,com.google.javascript.closure-compiler,20130227,2013-03-04,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20130227/closure-compiler-v20130227.jar,162,0,0,0,0,2,2,20130411
3498,com.google.javascript.closure-compiler,20130411,2013-04-14,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20130411/closure-compiler-v20130411.jar,168,0,0,4,0,2,0,20130603
3499,com.google.javascript.closure-compiler,20130603,2013-06-04,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20130603/closure-compiler-v20130603.jar,168,0,0,0,0,0,0,20130722
3500,com.google.javascript.closure-compiler,20130722,2013-07-23,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20130722/closure-compiler-v20130722.jar,168,0,0,0,0,0,0,20130823
3501,com.google.javascript.closure-compiler,20130823,2013-08-28,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20130823/closure-compiler-v20130823.jar,168,0,0,0,0,1,1,20131014
3502,com.google.javascript.closure-compiler,20131014,2013-10-17,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20131014/closure-compiler-v20131014.jar,168,0,0,0,0,0,0,20140407
3503,com.google.javascript.closure-compiler,20140407,2014-04-08,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20140407/closure-compiler-v20140407.jar,146,0,0,0,0,0,23,20140508
3504,com.google.javascript.closure-compiler,20140508,2014-05-12,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20140508/closure-compiler-v20140508.jar,146,0,0,0,0,0,0,20140625
3505,com.google.javascript.closure-compiler,20140625,2014-06-27,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20140625/closure-compiler-v20140625.jar,88,0,0,0,0,0,58,20140730
3506,com.google.javascript.closure-compiler,20140730,2014-08-04,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20140730/closure-compiler-v20140730.jar,88,0,0,0,0,0,0,20140814
3507,com.google.javascript.closure-compiler,20140814,2014-08-15,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20140814/closure-compiler-v20140814.jar,88,0,0,0,0,0,0,20141023
3508,com.google.javascript.closure-compiler,20141023,2014-10-28,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20141023/closure-compiler-v20141023.jar,90,0,0,0,0,2,0,20141120
3509,com.google.javascript.closure-compiler,20141120,2014-11-24,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20141120/closure-compiler-v20141120.jar,90,0,0,0,0,0,0,20141215
3510,com.google.javascript.closure-compiler,20141215,2014-12-17,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20141215/closure-compiler-v20141215.jar,90,0,0,0,0,0,0,20150126
3511,com.google.javascript.closure-compiler,20150126,2015-02-20,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20150126/closure-compiler-v20150126.jar,91,0,0,0,0,1,0,20150315
3512,com.google.javascript.closure-compiler,20150315,2015-03-18,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20150315/closure-compiler-v20150315.jar,90,0,0,0,0,0,1,20150505
3513,com.google.javascript.closure-compiler,20150505,2015-05-07,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20150505/closure-compiler-v20150505.jar,90,0,0,0,0,0,0,20150609
3514,com.google.javascript.closure-compiler,20150609,2015-06-11,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20150609/closure-compiler-v20150609.jar,90,0,0,0,0,0,0,20150729
3515,com.google.javascript.closure-compiler,20150729,2015-08-03,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20150729/closure-compiler-v20150729.jar,90,0,0,0,0,0,0,20150901
3516,com.google.javascript.closure-compiler,20150901,2015-09-02,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20150901/closure-compiler-v20150901.jar,90,0,0,0,0,0,0,20150920
3517,com.google.javascript.closure-compiler,20150920,2015-09-24,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20150920/closure-compiler-v20150920.jar,88,0,3,0,0,1,0,20151015
3518,com.google.javascript.closure-compiler,20151015,2015-10-17,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20151015/closure-compiler-v20151015.jar,450,0,0,11,0,356,0,20151216
3519,com.google.javascript.closure-compiler,20151216,2015-12-20,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20151216/closure-compiler-v20151216.jar,450,0,0,0,0,0,0,20160208
3520,com.google.javascript.closure-compiler,20160208,2016-02-27,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20160208/closure-compiler-v20160208.jar,444,2,0,1,5,14,18,20160315
3443,com.google.javascript.closure-compiler,20160315,2016-03-28,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20160315/closure-compiler-v20160315.jar,444,0,0,0,0,0,0,20160517
3442,com.google.javascript.closure-compiler,20160517,2016-05-25,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20160517/closure-compiler-v20160517.jar,445,0,0,0,0,2,1,20160619
3441,com.google.javascript.closure-compiler,20160619,2016-06-23,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20160619/closure-compiler-v20160619.jar,373,0,0,0,0,0,72,20160713
3388,com.google.javascript.closure-compiler,20160713,2016-07-14,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20160713/closure-compiler-v20160713.jar,371,0,0,0,0,0,2,20160822
3364,com.google.javascript.closure-compiler,20160822,2016-08-23,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20160822/closure-compiler-v20160822.jar,371,0,0,0,0,0,0,20160911
3365,com.google.javascript.closure-compiler,20160911,2016-09-13,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20160911/closure-compiler-v20160911.jar,372,0,0,0,0,1,0,20161024
3366,com.google.javascript.closure-compiler,20161024,2016-10-25,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20161024/closure-compiler-v20161024.jar,382,1,1,1,1,10,0,20161201
3367,com.google.javascript.closure-compiler,20161201,2016-12-02,https://repo1.maven.org/maven2/com/google/javascript/closure-compiler/v20161201/closure-compiler-v20161201.jar,396,0,0,0,0,21,8,20170124
