,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
74292,com.google.protobuf.protobuf-java,2.0.1,2009-10-07,https://repo1.maven.org/maven2/com/google/protobuf/protobuf-java/2.0.1/protobuf-java-2.0.1.jar,,,,,,,,2.0.3
74291,com.google.protobuf.protobuf-java,2.0.3,2010-02-10,https://repo1.maven.org/maven2/com/google/protobuf/protobuf-java/2.0.3/protobuf-java-2.0.3.jar,,,,,,,,2.1.0
74290,com.google.protobuf.protobuf-java,2.1.0,2009-10-07,https://repo1.maven.org/maven2/com/google/protobuf/protobuf-java/2.1.0/protobuf-java-2.1.0.jar,,,,,,,,2.2.0
74289,com.google.protobuf.protobuf-java,2.2.0,2009-10-07,https://repo1.maven.org/maven2/com/google/protobuf/protobuf-java/2.2.0/protobuf-java-2.2.0.jar,,,,,,,,2.3.0
74288,com.google.protobuf.protobuf-java,2.3.0,2010-02-11,https://repo1.maven.org/maven2/com/google/protobuf/protobuf-java/2.3.0/protobuf-java-2.3.0.jar,,,,,,,,2.4.1
74287,com.google.protobuf.protobuf-java,2.4.1,2011-07-06,https://repo1.maven.org/maven2/com/google/protobuf/protobuf-java/2.4.1/protobuf-java-2.4.1.jar,25,,,,,,,2.5.0
74286,com.google.protobuf.protobuf-java,2.5.0,2013-03-08,https://repo1.maven.org/maven2/com/google/protobuf/protobuf-java/2.5.0/protobuf-java-2.5.0.jar,25,0,0,0,0,0,0,2.6.0
74285,com.google.protobuf.protobuf-java,2.6.0,2014-09-03,https://repo1.maven.org/maven2/com/google/protobuf/protobuf-java/2.6.0/protobuf-java-2.6.0.jar,26,0,0,0,0,1,0,2.6.1
74284,com.google.protobuf.protobuf-java,2.6.1,2014-10-23,https://repo1.maven.org/maven2/com/google/protobuf/protobuf-java/2.6.1/protobuf-java-2.6.1.jar,26,0,0,0,0,0,0,3.0.0
74604,com.google.protobuf.protobuf-java,3.0.0,2016-07-28,https://repo1.maven.org/maven2/com/google/protobuf/protobuf-java/3.0.0/protobuf-java-3.0.0.jar,65,1,1,1,1,39,0,3.0.2
74439,com.google.protobuf.protobuf-java,3.0.2,2016-09-06,https://repo1.maven.org/maven2/com/google/protobuf/protobuf-java/3.0.2/protobuf-java-3.0.2.jar,65,0,0,0,0,0,0,3.1.0
74653,com.google.protobuf.protobuf-java,3.1.0,2016-09-27,https://repo1.maven.org/maven2/com/google/protobuf/protobuf-java/3.1.0/protobuf-java-3.1.0.jar,65,0,0,0,0,0,0,3.2.0
74652,com.google.protobuf.protobuf-java,3.2.0,2017-01-28,https://repo1.maven.org/maven2/com/google/protobuf/protobuf-java/3.2.0/protobuf-java-3.2.0.jar,66,0,0,0,0,1,0,3.3.0
74651,com.google.protobuf.protobuf-java,3.3.0,2017-05-01,https://repo1.maven.org/maven2/com/google/protobuf/protobuf-java/3.3.0/protobuf-java-3.3.0.jar,66,0,0,0,0,0,0,3.3.1
74650,com.google.protobuf.protobuf-java,3.3.1,2017-05-15,https://repo1.maven.org/maven2/com/google/protobuf/protobuf-java/3.3.1/protobuf-java-3.3.1.jar,66,0,0,0,0,0,0,3.4.0
74649,com.google.protobuf.protobuf-java,3.4.0,2017-08-15,https://repo1.maven.org/maven2/com/google/protobuf/protobuf-java/3.4.0/protobuf-java-3.4.0.jar,67,0,0,0,0,1,0,3.5.0
74648,com.google.protobuf.protobuf-java,3.5.0,2017-11-13,https://repo1.maven.org/maven2/com/google/protobuf/protobuf-java/3.5.0/protobuf-java-3.5.0.jar,68,0,0,0,0,1,0,3.5.1
