,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
72146,com.h2database.h2,1.0.57,2007-08-26,https://repo1.maven.org/maven2/com/h2database/h2/1.0.57/h2-1.0.57.jar,1,,,,,,,1.0.58
72147,com.h2database.h2,1.0.58,2007-09-16,https://repo1.maven.org/maven2/com/h2database/h2/1.0.58/h2-1.0.58.jar,1,0,0,0,0,0,0,1.0.59
72148,com.h2database.h2,1.0.59,2007-10-03,https://repo1.maven.org/maven2/com/h2database/h2/1.0.59/h2-1.0.59.jar,1,0,0,0,0,0,0,1.0.60
72149,com.h2database.h2,1.0.60,2007-10-20,https://repo1.maven.org/maven2/com/h2database/h2/1.0.60/h2-1.0.60.jar,1,0,0,0,0,0,0,1.0.61
72150,com.h2database.h2,1.0.61,2007-11-10,https://repo1.maven.org/maven2/com/h2database/h2/1.0.61/h2-1.0.61.jar,1,0,0,0,0,0,0,1.0.62
72152,com.h2database.h2,1.0.62,2007-11-25,https://repo1.maven.org/maven2/com/h2database/h2/1.0.62/h2-1.0.62.jar,1,0,0,0,0,0,0,1.0.63
72162,com.h2database.h2,1.0.63,2007-12-02,https://repo1.maven.org/maven2/com/h2database/h2/1.0.63/h2-1.0.63.jar,1,0,0,0,0,0,0,1.0.64
72153,com.h2database.h2,1.0.64,2007-12-27,https://repo1.maven.org/maven2/com/h2database/h2/1.0.64/h2-1.0.64.jar,1,0,0,0,0,0,0,1.0.65
72154,com.h2database.h2,1.0.65,2008-01-18,https://repo1.maven.org/maven2/com/h2database/h2/1.0.65/h2-1.0.65.jar,1,0,0,0,0,0,0,1.0.66
72155,com.h2database.h2,1.0.66,2008-02-02,https://repo1.maven.org/maven2/com/h2database/h2/1.0.66/h2-1.0.66.jar,1,0,0,0,0,0,0,1.0.67
72156,com.h2database.h2,1.0.67,2008-02-22,https://repo1.maven.org/maven2/com/h2database/h2/1.0.67/h2-1.0.67.jar,1,0,0,0,0,0,0,1.0.68
72157,com.h2database.h2,1.0.68,2008-03-15,https://repo1.maven.org/maven2/com/h2database/h2/1.0.68/h2-1.0.68.jar,1,0,0,0,0,0,0,1.0.69
72158,com.h2database.h2,1.0.69,2008-03-29,https://repo1.maven.org/maven2/com/h2database/h2/1.0.69/h2-1.0.69.jar,1,0,0,0,0,0,0,1.0.70
72159,com.h2database.h2,1.0.70,2008-04-20,https://repo1.maven.org/maven2/com/h2database/h2/1.0.70/h2-1.0.70.jar,1,0,0,0,0,0,0,1.0.71
72160,com.h2database.h2,1.0.71,2008-04-25,https://repo1.maven.org/maven2/com/h2database/h2/1.0.71/h2-1.0.71.jar,1,0,0,0,0,0,0,1.0.72
72161,com.h2database.h2,1.0.72,2008-05-10,https://repo1.maven.org/maven2/com/h2database/h2/1.0.72/h2-1.0.72.jar,1,0,0,0,0,0,0,1.0.73
72144,com.h2database.h2,1.0.73,2008-05-31,https://repo1.maven.org/maven2/com/h2database/h2/1.0.73/h2-1.0.73.jar,1,0,0,0,0,0,0,1.0.74
72151,com.h2database.h2,1.0.74,2008-06-21,https://repo1.maven.org/maven2/com/h2database/h2/1.0.74/h2-1.0.74.jar,1,0,0,0,0,0,0,1.0.75
72143,com.h2database.h2,1.0.75,2008-07-14,https://repo1.maven.org/maven2/com/h2database/h2/1.0.75/h2-1.0.75.jar,1,0,0,0,0,0,0,1.0.76
72130,com.h2database.h2,1.0.76,2008-07-28,https://repo1.maven.org/maven2/com/h2database/h2/1.0.76/h2-1.0.76.jar,1,0,0,0,0,0,0,1.0.77
72125,com.h2database.h2,1.0.77,2008-08-16,https://repo1.maven.org/maven2/com/h2database/h2/1.0.77/h2-1.0.77.jar,1,0,0,0,0,0,0,1.0.78
72126,com.h2database.h2,1.0.78,2008-08-28,https://repo1.maven.org/maven2/com/h2database/h2/1.0.78/h2-1.0.78.jar,1,0,0,0,0,0,0,1.0.79
72127,com.h2database.h2,1.0.79,2008-09-26,https://repo1.maven.org/maven2/com/h2database/h2/1.0.79/h2-1.0.79.jar,1,0,0,0,0,0,0,1.1.100
72128,com.h2database.h2,1.1.100,2008-10-04,https://repo1.maven.org/maven2/com/h2database/h2/1.1.100/h2-1.1.100.jar,1,0,0,0,0,0,0,1.1.101
72129,com.h2database.h2,1.1.101,2008-10-17,https://repo1.maven.org/maven2/com/h2database/h2/1.1.101/h2-1.1.101.jar,1,0,0,0,0,0,0,1.1.102
72131,com.h2database.h2,1.1.102,2008-10-24,https://repo1.maven.org/maven2/com/h2database/h2/1.1.102/h2-1.1.102.jar,1,0,0,0,0,0,0,1.1.103
72141,com.h2database.h2,1.1.103,2008-11-07,https://repo1.maven.org/maven2/com/h2database/h2/1.1.103/h2-1.1.103.jar,1,0,0,0,0,0,0,1.1.104
72132,com.h2database.h2,1.1.104,2008-11-28,https://repo1.maven.org/maven2/com/h2database/h2/1.1.104/h2-1.1.104.jar,1,0,0,0,0,0,0,1.1.105
72133,com.h2database.h2,1.1.105,2008-12-19,https://repo1.maven.org/maven2/com/h2database/h2/1.1.105/h2-1.1.105.jar,1,0,0,0,0,0,0,1.1.106
72134,com.h2database.h2,1.1.106,2009-01-04,https://repo1.maven.org/maven2/com/h2database/h2/1.1.106/h2-1.1.106.jar,1,0,0,0,0,0,0,1.1.107
72135,com.h2database.h2,1.1.107,2009-01-24,https://repo1.maven.org/maven2/com/h2database/h2/1.1.107/h2-1.1.107.jar,1,0,0,0,0,0,0,1.1.108
72136,com.h2database.h2,1.1.108,2009-02-28,https://repo1.maven.org/maven2/com/h2database/h2/1.1.108/h2-1.1.108.jar,1,0,0,0,0,0,0,1.1.109
72137,com.h2database.h2,1.1.109,2009-03-14,https://repo1.maven.org/maven2/com/h2database/h2/1.1.109/h2-1.1.109.jar,1,0,0,0,0,0,0,1.1.110
72138,com.h2database.h2,1.1.110,2009-04-03,https://repo1.maven.org/maven2/com/h2database/h2/1.1.110/h2-1.1.110.jar,1,0,0,0,0,0,0,1.1.111
72139,com.h2database.h2,1.1.111,2009-04-10,https://repo1.maven.org/maven2/com/h2database/h2/1.1.111/h2-1.1.111.jar,1,0,0,0,0,0,0,1.1.112
72140,com.h2database.h2,1.1.112,2009-05-01,https://repo1.maven.org/maven2/com/h2database/h2/1.1.112/h2-1.1.112.jar,1,0,0,0,0,0,0,1.1.113
72142,com.h2database.h2,1.1.113,2009-05-21,https://repo1.maven.org/maven2/com/h2database/h2/1.1.113/h2-1.1.113.jar,1,0,0,0,0,0,0,1.1.114
72163,com.h2database.h2,1.1.114,2009-06-01,https://repo1.maven.org/maven2/com/h2database/h2/1.1.114/h2-1.1.114.jar,1,0,0,0,0,0,0,1.1.115
72164,com.h2database.h2,1.1.115,2009-06-27,https://repo1.maven.org/maven2/com/h2database/h2/1.1.115/h2-1.1.115.jar,1,0,0,0,0,0,0,1.1.116
72165,com.h2database.h2,1.1.116,2009-07-18,https://repo1.maven.org/maven2/com/h2database/h2/1.1.116/h2-1.1.116.jar,1,0,0,0,0,0,0,1.1.117
72190,com.h2database.h2,1.1.117,2009-08-09,https://repo1.maven.org/maven2/com/h2database/h2/1.1.117/h2-1.1.117.jar,1,0,0,0,0,0,0,1.1.118
72191,com.h2database.h2,1.1.118,2009-09-04,https://repo1.maven.org/maven2/com/h2database/h2/1.1.118/h2-1.1.118.jar,1,0,0,0,0,0,0,1.1.119
72192,com.h2database.h2,1.1.119,2009-09-26,https://repo1.maven.org/maven2/com/h2database/h2/1.1.119/h2-1.1.119.jar,1,0,0,0,0,0,0,1.2.120
72193,com.h2database.h2,1.2.120,2009-10-04,https://repo1.maven.org/maven2/com/h2database/h2/1.2.120/h2-1.2.120.jar,1,0,0,0,0,0,0,1.2.121
72194,com.h2database.h2,1.2.121,2009-10-11,https://repo1.maven.org/maven2/com/h2database/h2/1.2.121/h2-1.2.121.jar,1,0,0,0,0,0,0,1.2.122
