,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
27805,com.j256.ormlite.ormlite-android,3.2,2010-09-14,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/3.2/ormlite-android-3.2.jar,,,,,,,,3.3
27806,com.j256.ormlite.ormlite-android,3.3,2010-09-22,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/3.3/ormlite-android-3.3.jar,,,,,,,,3.4
27807,com.j256.ormlite.ormlite-android,3.4,2010-09-24,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/3.4/ormlite-android-3.4.jar,,,,,,,,3.5
27808,com.j256.ormlite.ormlite-android,3.5,2010-09-28,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/3.5/ormlite-android-3.5.jar,,,,,,,,4.0
27809,com.j256.ormlite.ormlite-android,4.0,2010-10-03,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.0/ormlite-android-4.0.jar,,,,,,,,4.1
27810,com.j256.ormlite.ormlite-android,4.1,2010-10-08,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.1/ormlite-android-4.1.jar,,,,,,,,4.2
27811,com.j256.ormlite.ormlite-android,4.2,2010-10-13,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.2/ormlite-android-4.2.jar,,,,,,,,4.3
27812,com.j256.ormlite.ormlite-android,4.3,2010-11-09,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.3/ormlite-android-4.3.jar,,,,,,,,4.4
27813,com.j256.ormlite.ormlite-android,4.4,2010-11-12,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.4/ormlite-android-4.4.jar,,,,,,,,4.5
27814,com.j256.ormlite.ormlite-android,4.5,2010-11-17,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.5/ormlite-android-4.5.jar,,,,,,,,4.6
27815,com.j256.ormlite.ormlite-android,4.6,2010-12-15,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.6/ormlite-android-4.6.jar,,,,,,,,4.7
27816,com.j256.ormlite.ormlite-android,4.7,2011-01-25,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.7/ormlite-android-4.7.jar,,,,,,,,4.8
27817,com.j256.ormlite.ormlite-android,4.8,2011-01-25,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.8/ormlite-android-4.8.jar,,,,,,,,4.9
27818,com.j256.ormlite.ormlite-android,4.9,2011-01-26,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.9/ormlite-android-4.9.jar,,,,,,,,4.10
27819,com.j256.ormlite.ormlite-android,4.10,2011-02-03,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.10/ormlite-android-4.10.jar,,,,,,,,4.11
27820,com.j256.ormlite.ormlite-android,4.11,2011-02-14,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.11/ormlite-android-4.11.jar,,,,,,,,4.12
27821,com.j256.ormlite.ormlite-android,4.12,2011-02-17,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.12/ormlite-android-4.12.jar,,,,,,,,4.13
27822,com.j256.ormlite.ormlite-android,4.13,2011-02-26,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.13/ormlite-android-4.13.jar,,,,,,,,4.14
27823,com.j256.ormlite.ormlite-android,4.14,2011-03-01,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.14/ormlite-android-4.14.jar,,,,,,,,4.15
27824,com.j256.ormlite.ormlite-android,4.15,2011-03-07,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.15/ormlite-android-4.15.jar,,,,,,,,4.16
27825,com.j256.ormlite.ormlite-android,4.16,2011-03-23,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.16/ormlite-android-4.16.jar,,,,,,,,4.17
27750,com.j256.ormlite.ormlite-android,4.17,2011-03-27,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.17/ormlite-android-4.17.jar,,,,,,,,4.18
27749,com.j256.ormlite.ormlite-android,4.18,2011-03-30,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.18/ormlite-android-4.18.jar,,,,,,,,4.19
27748,com.j256.ormlite.ormlite-android,4.19,2011-04-11,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.19/ormlite-android-4.19.jar,,,,,,,,4.20
27695,com.j256.ormlite.ormlite-android,4.20,2011-04-30,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.20/ormlite-android-4.20.jar,,,,,,,,4.21
27671,com.j256.ormlite.ormlite-android,4.21,2011-05-06,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.21/ormlite-android-4.21.jar,,,,,,,,4.22
27672,com.j256.ormlite.ormlite-android,4.22,2011-05-19,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.22/ormlite-android-4.22.jar,,,,,,,,4.23
27673,com.j256.ormlite.ormlite-android,4.23,2011-06-03,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.23/ormlite-android-4.23.jar,,,,,,,,4.24
27674,com.j256.ormlite.ormlite-android,4.24,2011-07-18,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.24/ormlite-android-4.24.jar,,,,,,,,4.25
27675,com.j256.ormlite.ormlite-android,4.25,2011-08-22,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.25/ormlite-android-4.25.jar,,,,,,,,4.26
27676,com.j256.ormlite.ormlite-android,4.26,2011-09-26,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.26/ormlite-android-4.26.jar,,,,,,,,4.27
27677,com.j256.ormlite.ormlite-android,4.27,2011-10-11,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.27/ormlite-android-4.27.jar,,,,,,,,4.28
27678,com.j256.ormlite.ormlite-android,4.28,2011-10-24,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.28/ormlite-android-4.28.jar,,,,,,,,4.29
27679,com.j256.ormlite.ormlite-android,4.29,2011-10-25,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.29/ormlite-android-4.29.jar,,,,,,,,4.30
27680,com.j256.ormlite.ormlite-android,4.30,2011-11-11,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.30/ormlite-android-4.30.jar,,,,,,,,4.31
27681,com.j256.ormlite.ormlite-android,4.31,2011-12-08,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.31/ormlite-android-4.31.jar,,,,,,,,4.32
27682,com.j256.ormlite.ormlite-android,4.32,2012-01-12,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.32/ormlite-android-4.32.jar,,,,,,,,4.33
27683,com.j256.ormlite.ormlite-android,4.33,2012-01-13,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.33/ormlite-android-4.33.jar,,,,,,,,4.34
27684,com.j256.ormlite.ormlite-android,4.34,2012-02-22,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.34/ormlite-android-4.34.jar,,,,,,,,4.35
27685,com.j256.ormlite.ormlite-android,4.35,2012-02-23,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.35/ormlite-android-4.35.jar,,,,,,,,4.36
27686,com.j256.ormlite.ormlite-android,4.36,2012-03-20,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.36/ormlite-android-4.36.jar,,,,,,,,4.37
27687,com.j256.ormlite.ormlite-android,4.37,2012-03-21,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.37/ormlite-android-4.37.jar,,,,,,,,4.38
27688,com.j256.ormlite.ormlite-android,4.38,2012-03-23,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.38/ormlite-android-4.38.jar,,,,,,,,4.39
27689,com.j256.ormlite.ormlite-android,4.39,2012-04-13,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.39/ormlite-android-4.39.jar,,,,,,,,4.40
27690,com.j256.ormlite.ormlite-android,4.40,2012-04-17,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.40/ormlite-android-4.40.jar,,,,,,,,4.41
27691,com.j256.ormlite.ormlite-android,4.41,2012-06-06,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.41/ormlite-android-4.41.jar,,,,,,,,4.42
27692,com.j256.ormlite.ormlite-android,4.42,2012-09-27,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.42/ormlite-android-4.42.jar,,,,,,,,4.43
27693,com.j256.ormlite.ormlite-android,4.43,2013-02-06,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.43/ormlite-android-4.43.jar,,,,,,,,4.44
27670,com.j256.ormlite.ormlite-android,4.44,2013-03-13,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.44/ormlite-android-4.44.jar,,,,,,,,4.45
27694,com.j256.ormlite.ormlite-android,4.45,2013-03-18,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.45/ormlite-android-4.45.jar,,,,,,,,4.46
27669,com.j256.ormlite.ormlite-android,4.46,2013-07-29,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.46/ormlite-android-4.46.jar,,,,,,,,4.47
27667,com.j256.ormlite.ormlite-android,4.47,2013-09-08,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.47/ormlite-android-4.47.jar,,,,,,,,4.48
27645,com.j256.ormlite.ormlite-android,4.48,2013-12-16,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/4.48/ormlite-android-4.48.jar,,,,,,,,5.0
27646,com.j256.ormlite.ormlite-android,5.0,2016-07-28,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/5.0/ormlite-android-5.0.jar,,,,,,,,5.1
27647,com.j256.ormlite.ormlite-android,5.1,2018-02-19,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/5.1/ormlite-android-5.1.jar,,,,,,,,5.2
27648,com.j256.ormlite.ormlite-android,5.2,2020-11-14,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/5.2/ormlite-android-5.2.jar,,,,,,,,5.3
27649,com.j256.ormlite.ormlite-android,5.3,2020-12-09,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/5.3/ormlite-android-5.3.jar,,,,,,,,5.4
27650,com.j256.ormlite.ormlite-android,5.4,2021-05-19,https://repo1.maven.org/maven2/com/j256/ormlite/ormlite-android/5.4/ormlite-android-5.4.jar,,,,,,,,5.5
