,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
111060,com.konghq.unirest-java-core,1.3.0,2013-11-04,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.3.0/unirest-java-1.3.0.jar,,,,,,,,1.3.1
111069,com.konghq.unirest-java-core,1.3.1,2013-12-04,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.3.1/unirest-java-1.3.1.jar,,,,,,,,1.3.2
111061,com.konghq.unirest-java-core,1.3.2,2013-12-12,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.3.2/unirest-java-1.3.2.jar,,,,,,,,1.3.3
111062,com.konghq.unirest-java-core,1.3.3,2013-12-14,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.3.3/unirest-java-1.3.3.jar,,,,,,,,1.3.4
111063,com.konghq.unirest-java-core,1.3.4,2014-02-11,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.3.4/unirest-java-1.3.4.jar,,,,,,,,1.3.5
111064,com.konghq.unirest-java-core,1.3.5,2014-02-14,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.3.5/unirest-java-1.3.5.jar,,,,,,,,1.3.6
111065,com.konghq.unirest-java-core,1.3.6,2014-02-27,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.3.6/unirest-java-1.3.6.jar,,,,,,,,1.3.7
111066,com.konghq.unirest-java-core,1.3.7,2014-03-07,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.3.7/unirest-java-1.3.7.jar,,,,,,,,1.3.8
111067,com.konghq.unirest-java-core,1.3.8,2014-03-18,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.3.8/unirest-java-1.3.8.jar,,,,,,,,1.3.9
111068,com.konghq.unirest-java-core,1.3.9,2014-03-25,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.3.9/unirest-java-1.3.9.jar,,,,,,,,1.3.10
111053,com.konghq.unirest-java-core,1.3.10,2014-04-17,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.3.10/unirest-java-1.3.10.jar,,,,,,,,1.3.11
111059,com.konghq.unirest-java-core,1.3.11,2014-04-24,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.3.11/unirest-java-1.3.11.jar,,,,,,,,1.3.12
111052,com.konghq.unirest-java-core,1.3.12,2014-06-13,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.3.12/unirest-java-1.3.12.jar,,,,,,,,1.3.13
111051,com.konghq.unirest-java-core,1.3.13,2014-06-17,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.3.13/unirest-java-1.3.13.jar,,,,,,,,1.3.14
111046,com.konghq.unirest-java-core,1.3.14,2014-06-17,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.3.14/unirest-java-1.3.14.jar,,,,,,,,1.3.15
111047,com.konghq.unirest-java-core,1.3.15,2014-06-17,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.3.15/unirest-java-1.3.15.jar,,,,,,,,1.3.16
111048,com.konghq.unirest-java-core,1.3.16,2014-06-18,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.3.16/unirest-java-1.3.16.jar,,,,,,,,1.3.17
111049,com.konghq.unirest-java-core,1.3.17,2014-06-18,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.3.17/unirest-java-1.3.17.jar,,,,,,,,1.3.18
111050,com.konghq.unirest-java-core,1.3.18,2014-06-18,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.3.18/unirest-java-1.3.18.jar,,,,,,,,1.3.19
111070,com.konghq.unirest-java-core,1.3.19,2014-06-20,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.3.19/unirest-java-1.3.19.jar,,,,,,,,1.3.20
111071,com.konghq.unirest-java-core,1.3.20,2014-06-21,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.3.20/unirest-java-1.3.20.jar,,,,,,,,1.3.21
111072,com.konghq.unirest-java-core,1.3.21,2014-06-23,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.3.21/unirest-java-1.3.21.jar,,,,,,,,1.3.22
111073,com.konghq.unirest-java-core,1.3.22,2014-08-13,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.3.22/unirest-java-1.3.22.jar,,,,,,,,1.3.23
111074,com.konghq.unirest-java-core,1.3.23,2014-10-22,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.3.23/unirest-java-1.3.23.jar,,,,,,,,1.3.24
111075,com.konghq.unirest-java-core,1.3.24,2014-10-22,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.3.24/unirest-java-1.3.24.jar,,,,,,,,1.3.26
111045,com.konghq.unirest-java-core,1.3.26,2014-11-03,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.3.26/unirest-java-1.3.26.jar,,,,,,,,1.3.27
111076,com.konghq.unirest-java-core,1.3.27,2014-12-04,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.3.27/unirest-java-1.3.27.jar,,,,,,,,1.3.28
111044,com.konghq.unirest-java-core,1.3.28,2015-01-26,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.3.28/unirest-java-1.3.28.jar,,,,,,,,1.4.1
111043,com.konghq.unirest-java-core,1.4.1,2015-01-27,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.4.1/unirest-java-1.4.1.jar,,,,,,,,1.4.2
110997,com.konghq.unirest-java-core,1.4.2,2015-01-30,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.4.2/unirest-java-1.4.2.jar,,,,,,,,1.4.3
110998,com.konghq.unirest-java-core,1.4.3,2015-01-31,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.4.3/unirest-java-1.4.3.jar,,,,,,,,1.4.4
110999,com.konghq.unirest-java-core,1.4.4,2015-02-04,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.4.4/unirest-java-1.4.4.jar,,,,,,,,1.4.5
111000,com.konghq.unirest-java-core,1.4.5,2015-02-19,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.4.5/unirest-java-1.4.5.jar,,,,,,,,1.4.6
111001,com.konghq.unirest-java-core,1.4.6,2015-07-08,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.4.6/unirest-java-1.4.6.jar,,,,,,,,1.4.7
111002,com.konghq.unirest-java-core,1.4.7,2015-08-28,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.4.7/unirest-java-1.4.7.jar,,,,,,,,1.4.8
111004,com.konghq.unirest-java-core,1.4.8,2016-02-04,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.4.8/unirest-java-1.4.8.jar,,,,,,,,1.4.9
111003,com.konghq.unirest-java-core,1.4.9,2016-03-31,https://repo1.maven.org/maven2/com/mashape/unirest/unirest-java/1.4.9/unirest-java-1.4.9.jar,,,,,,,,2.0.01
107544,com.konghq.unirest-java-core,2.0.01,2019-03-05,https://repo1.maven.org/maven2/com/konghq/unirest-java/2.0.01/unirest-java-2.0.01.jar,,,,,,,,2.0.02
107545,com.konghq.unirest-java-core,2.0.02,2019-03-07,https://repo1.maven.org/maven2/com/konghq/unirest-java/2.0.02/unirest-java-2.0.02.jar,,,,,,,,2.0.03
107546,com.konghq.unirest-java-core,2.0.03,2019-03-07,https://repo1.maven.org/maven2/com/konghq/unirest-java/2.0.03/unirest-java-2.0.03.jar,,,,,,,,2.0.04
107547,com.konghq.unirest-java-core,2.0.04,2019-03-10,https://repo1.maven.org/maven2/com/konghq/unirest-java/2.0.04/unirest-java-2.0.04.jar,,,,,,,,2.0.05
107548,com.konghq.unirest-java-core,2.0.05,2019-03-10,https://repo1.maven.org/maven2/com/konghq/unirest-java/2.0.05/unirest-java-2.0.05.jar,,,,,,,,2.1.00
107549,com.konghq.unirest-java-core,2.1.00,2019-03-22,https://repo1.maven.org/maven2/com/konghq/unirest-java/2.1.00/unirest-java-2.1.00.jar,,,,,,,,2.1.01
107550,com.konghq.unirest-java-core,2.1.01,2019-03-23,https://repo1.maven.org/maven2/com/konghq/unirest-java/2.1.01/unirest-java-2.1.01.jar,,,,,,,,2.1.02
107551,com.konghq.unirest-java-core,2.1.02,2019-03-25,https://repo1.maven.org/maven2/com/konghq/unirest-java/2.1.02/unirest-java-2.1.02.jar,,,,,,,,2.1.03
107552,com.konghq.unirest-java-core,2.1.03,2019-03-31,https://repo1.maven.org/maven2/com/konghq/unirest-java/2.1.03/unirest-java-2.1.03.jar,,,,,,,,2.2.00
107553,com.konghq.unirest-java-core,2.2.00,2019-04-06,https://repo1.maven.org/maven2/com/konghq/unirest-java/2.2.00/unirest-java-2.2.00.jar,,,,,,,,2.2.01
107554,com.konghq.unirest-java-core,2.2.01,2019-04-14,https://repo1.maven.org/maven2/com/konghq/unirest-java/2.2.01/unirest-java-2.2.01.jar,,,,,,,,2.2.02
107555,com.konghq.unirest-java-core,2.2.02,2019-04-24,https://repo1.maven.org/maven2/com/konghq/unirest-java/2.2.02/unirest-java-2.2.02.jar,,,,,,,,2.3.00
107569,com.konghq.unirest-java-core,2.3.00,2019-05-08,https://repo1.maven.org/maven2/com/konghq/unirest-java/2.3.00/unirest-java-2.3.00.jar,,,,,,,,2.3.01
107568,com.konghq.unirest-java-core,2.3.01,2019-05-23,https://repo1.maven.org/maven2/com/konghq/unirest-java/2.3.01/unirest-java-2.3.01.jar,,,,,,,,2.3.02
107567,com.konghq.unirest-java-core,2.3.02,2019-05-24,https://repo1.maven.org/maven2/com/konghq/unirest-java/2.3.02/unirest-java-2.3.02.jar,,,,,,,,2.3.05
107566,com.konghq.unirest-java-core,2.3.05,2019-06-10,https://repo1.maven.org/maven2/com/konghq/unirest-java/2.3.05/unirest-java-2.3.05.jar,,,,,,,,2.3.06
107565,com.konghq.unirest-java-core,2.3.06,2019-06-17,https://repo1.maven.org/maven2/com/konghq/unirest-java/2.3.06/unirest-java-2.3.06.jar,,,,,,,,2.3.07
107564,com.konghq.unirest-java-core,2.3.07,2019-06-18,https://repo1.maven.org/maven2/com/konghq/unirest-java/2.3.07/unirest-java-2.3.07.jar,,,,,,,,2.3.08
107570,com.konghq.unirest-java-core,2.3.08,2019-06-24,https://repo1.maven.org/maven2/com/konghq/unirest-java/2.3.08/unirest-java-2.3.08.jar,,,,,,,,2.3.09
107563,com.konghq.unirest-java-core,2.3.09,2019-07-15,https://repo1.maven.org/maven2/com/konghq/unirest-java/2.3.09/unirest-java-2.3.09.jar,,,,,,,,2.3.10
