,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
16435,com.lihaoyi.fansi,0.1.0,2016-05-26,https://repo1.maven.org/maven2/com/lihaoyi/fansi_2.11/0.1.0/fansi_2.11-0.1.0.jar,,,,,,,,0.1.1
16436,com.lihaoyi.fansi,0.1.1,2016-05-27,https://repo1.maven.org/maven2/com/lihaoyi/fansi_2.11/0.1.1/fansi_2.11-0.1.1.jar,,,,,,,,0.1.2
16437,com.lihaoyi.fansi,0.1.2,2016-06-02,https://repo1.maven.org/maven2/com/lihaoyi/fansi_2.11/0.1.2/fansi_2.11-0.1.2.jar,,,,,,,,0.1.3
16438,com.lihaoyi.fansi,0.1.3,2016-06-03,https://repo1.maven.org/maven2/com/lihaoyi/fansi_2.11/0.1.3/fansi_2.11-0.1.3.jar,,,,,,,,0.2.0
16439,com.lihaoyi.fansi,0.2.0,2016-08-23,https://repo1.maven.org/maven2/com/lihaoyi/fansi_2.11/0.2.0/fansi_2.11-0.2.0.jar,,,,,,,,0.2.1
16440,com.lihaoyi.fansi,0.2.1,2016-09-09,https://repo1.maven.org/maven2/com/lihaoyi/fansi_2.11/0.2.1/fansi_2.11-0.2.1.jar,,,,,,,,0.2.2
16441,com.lihaoyi.fansi,0.2.2,2016-10-08,https://repo1.maven.org/maven2/com/lihaoyi/fansi_2.11/0.2.2/fansi_2.11-0.2.2.jar,,,,,,,,0.2.3
16442,com.lihaoyi.fansi,0.2.3,2016-11-02,https://repo1.maven.org/maven2/com/lihaoyi/fansi_2.12/0.2.3/fansi_2.12-0.2.3.jar,,,,,,,,0.2.4
16443,com.lihaoyi.fansi,0.2.4,2017-05-16,https://repo1.maven.org/maven2/com/lihaoyi/fansi_2.12/0.2.4/fansi_2.12-0.2.4.jar,,,,,,,,0.2.5
16444,com.lihaoyi.fansi,0.2.5,2017-09-12,https://repo1.maven.org/maven2/com/lihaoyi/fansi_2.12/0.2.5/fansi_2.12-0.2.5.jar,,,,,,,,0.2.6
16445,com.lihaoyi.fansi,0.2.6,2019-03-27,https://repo1.maven.org/maven2/com/lihaoyi/fansi_2.12/0.2.6/fansi_2.12-0.2.6.jar,,,,,,,,0.2.7
16446,com.lihaoyi.fansi,0.2.7,2019-06-08,https://repo1.maven.org/maven2/com/lihaoyi/fansi_2.13/0.2.7/fansi_2.13-0.2.7.jar,9,,,,,,,0.2.8
16447,com.lihaoyi.fansi,0.2.8,2020-01-12,https://repo1.maven.org/maven2/com/lihaoyi/fansi_2.13/0.2.8/fansi_2.13-0.2.8.jar,9,0,0,0,0,0,0,0.2.9
16448,com.lihaoyi.fansi,0.2.9,2020-02-07,https://repo1.maven.org/maven2/com/lihaoyi/fansi_2.13/0.2.9/fansi_2.13-0.2.9.jar,9,0,0,0,0,0,0,0.2.10
16449,com.lihaoyi.fansi,0.2.10,2021-01-23,https://repo1.maven.org/maven2/com/lihaoyi/fansi_2.13/0.2.10/fansi_2.13-0.2.10.jar,9,0,0,0,0,0,0,0.2.11
16450,com.lihaoyi.fansi,0.2.11,2021-03-07,https://repo1.maven.org/maven2/com/lihaoyi/fansi_2.13/0.2.11/fansi_2.13-0.2.11.jar,9,0,0,0,0,0,0,0.2.12
16451,com.lihaoyi.fansi,0.2.12,2021-04-01,https://repo1.maven.org/maven2/com/lihaoyi/fansi_2.13/0.2.12/fansi_2.13-0.2.12.jar,9,0,0,0,0,0,0,0.2.13
16452,com.lihaoyi.fansi,0.2.13,2021-04-28,https://repo1.maven.org/maven2/com/lihaoyi/fansi_2.13/0.2.13/fansi_2.13-0.2.13.jar,9,0,0,0,0,0,0,0.2.14
16453,com.lihaoyi.fansi,0.2.14,2021-05-15,https://repo1.maven.org/maven2/com/lihaoyi/fansi_3/0.2.14/fansi_3-0.2.14.jar,17,8,0,0,0,0,0,0.3.0
16454,com.lihaoyi.fansi,0.3.0,2021-12-10,https://repo1.maven.org/maven2/com/lihaoyi/fansi_3/0.3.0/fansi_3-0.3.0.jar,16,0,1,0,0,0,0,0.3.1
16455,com.lihaoyi.fansi,0.3.1,2022-02-03,https://repo1.maven.org/maven2/com/lihaoyi/fansi_3/0.3.1/fansi_3-0.3.1.jar,16,0,0,0,0,0,0,0.4.0
16456,com.lihaoyi.fansi,0.4.0,2022-07-09,https://repo1.maven.org/maven2/com/lihaoyi/fansi_3/0.4.0/fansi_3-0.4.0.jar,16,0,0,0,0,0,0,0.5.0
16381,com.lihaoyi.fansi,0.5.0,2024-04-15,https://repo1.maven.org/maven2/com/lihaoyi/fansi_3/0.5.0/fansi_3-0.5.0.jar,: 16,0,0,0,0,0,0,
