,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
81456,com.lmax.disruptor,3.0.0,2013-04-10,https://repo1.maven.org/maven2/com/lmax/disruptor/3.0.0/disruptor-3.0.0.jar,,,,,,,,3.0.1
81448,com.lmax.disruptor,3.0.1,2013-04-16,https://repo1.maven.org/maven2/com/lmax/disruptor/3.0.1/disruptor-3.0.1.jar,,,,,,,,3.1.0
81449,com.lmax.disruptor,3.1.0,2013-06-18,https://repo1.maven.org/maven2/com/lmax/disruptor/3.1.0/disruptor-3.1.0.jar,,,,,,,,3.1.1
81450,com.lmax.disruptor,3.1.1,2013-07-08,https://repo1.maven.org/maven2/com/lmax/disruptor/3.1.1/disruptor-3.1.1.jar,,,,,,,,3.2.0
81451,com.lmax.disruptor,3.2.0,2013-08-12,https://repo1.maven.org/maven2/com/lmax/disruptor/3.2.0/disruptor-3.2.0.jar,,,,,,,,3.2.1
81452,com.lmax.disruptor,3.2.1,2014-03-10,https://repo1.maven.org/maven2/com/lmax/disruptor/3.2.1/disruptor-3.2.1.jar,,,,,,,,3.3.0
81453,com.lmax.disruptor,3.3.0,2014-07-21,https://repo1.maven.org/maven2/com/lmax/disruptor/3.3.0/disruptor-3.3.0.jar,,,,,,,,3.3.1
81454,com.lmax.disruptor,3.3.1,2015-02-24,https://repo1.maven.org/maven2/com/lmax/disruptor/3.3.1/disruptor-3.3.1.jar,,,,,,,,3.3.2
81455,com.lmax.disruptor,3.3.2,2015-02-25,https://repo1.maven.org/maven2/com/lmax/disruptor/3.3.2/disruptor-3.3.2.jar,,,,,,,,3.3.4
81457,com.lmax.disruptor,3.3.4,2016-01-12,https://repo1.maven.org/maven2/com/lmax/disruptor/3.3.4/disruptor-3.3.4.jar,,,,,,,,3.3.5
81466,com.lmax.disruptor,3.3.5,2016-07-19,https://repo1.maven.org/maven2/com/lmax/disruptor/3.3.5/disruptor-3.3.5.jar,,,,,,,,3.3.6
81458,com.lmax.disruptor,3.3.6,2016-10-03,https://repo1.maven.org/maven2/com/lmax/disruptor/3.3.6/disruptor-3.3.6.jar,,,,,,,,3.3.7
81459,com.lmax.disruptor,3.3.7,2017-09-28,https://repo1.maven.org/maven2/com/lmax/disruptor/3.3.7/disruptor-3.3.7.jar,,,,,,,,3.3.8
81460,com.lmax.disruptor,3.3.8,2018-02-12,https://repo1.maven.org/maven2/com/lmax/disruptor/3.3.8/disruptor-3.3.8.jar,,,,,,,,3.3.9
81461,com.lmax.disruptor,3.3.9,2018-02-26,https://repo1.maven.org/maven2/com/lmax/disruptor/3.3.9/disruptor-3.3.9.jar,,,,,,,,3.3.10
81462,com.lmax.disruptor,3.3.10,2018-03-06,https://repo1.maven.org/maven2/com/lmax/disruptor/3.3.10/disruptor-3.3.10.jar,,,,,,,,3.3.11
81463,com.lmax.disruptor,3.3.11,2018-04-08,https://repo1.maven.org/maven2/com/lmax/disruptor/3.3.11/disruptor-3.3.11.jar,,,,,,,,3.4.0
81464,com.lmax.disruptor,3.4.0,2018-02-26,https://repo1.maven.org/maven2/com/lmax/disruptor/3.4.0/disruptor-3.4.0.jar,,,,,,,,3.4.1
81465,com.lmax.disruptor,3.4.1,2018-03-06,https://repo1.maven.org/maven2/com/lmax/disruptor/3.4.1/disruptor-3.4.1.jar,,,,,,,,3.4.2
81483,com.lmax.disruptor,3.4.2,2018-04-08,https://repo1.maven.org/maven2/com/lmax/disruptor/3.4.2/disruptor-3.4.2.jar,,,,,,,,3.4.3
81484,com.lmax.disruptor,3.4.3,2021-04-13,https://repo1.maven.org/maven2/com/lmax/disruptor/3.4.3/disruptor-3.4.3.jar,,,,,,,,3.4.4
81485,com.lmax.disruptor,3.4.4,2021-04-29,https://repo1.maven.org/maven2/com/lmax/disruptor/3.4.4/disruptor-3.4.4.jar,,,,,,,,4.0.0
81486,com.lmax.disruptor,4.0.0,2023-09-29,https://repo1.maven.org/maven2/com/lmax/disruptor/4.0.0/disruptor-4.0.0.jar,,,,,,,,
