,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
103889,com.mchange.c3p0,0.8.4.5,2005-11-08,https://repo1.maven.org/maven2/c3p0/c3p0/0.8.4.5/c3p0-0.8.4.5.jar,17,,,,,,,0.8.5.2
103888,com.mchange.c3p0,0.8.5.2,2005-11-08,https://repo1.maven.org/maven2/c3p0/c3p0/0.8.5.2/c3p0-0.8.5.2.jar,18,0,0,0,0,1,0,0.9.0
103887,com.mchange.c3p0,0.9.0,2005-11-08,https://repo1.maven.org/maven2/c3p0/c3p0/0.9.0/c3p0-0.9.0.jar,18,0,0,0,0,1,2,0.9.0.2
103886,com.mchange.c3p0,0.9.0.2,2005-11-21,https://repo1.maven.org/maven2/c3p0/c3p0/0.9.0.2/c3p0-0.9.0.2.jar,18,0,0,0,0,0,0,0.9.0.4
103885,com.mchange.c3p0,0.9.0.4,2006-05-10,https://repo1.maven.org/maven2/c3p0/c3p0/0.9.0.4/c3p0-0.9.0.4.jar,18,0,0,0,0,0,0,0.9.1
103884,com.mchange.c3p0,0.9.1,2007-02-09,https://repo1.maven.org/maven2/c3p0/c3p0/0.9.1/c3p0-0.9.1.jar,22,0,0,0,0,4,0,0.9.1.1
103883,com.mchange.c3p0,0.9.1.1,2007-04-20,https://repo1.maven.org/maven2/c3p0/c3p0/0.9.1.1/c3p0-0.9.1.1.jar,22,0,0,0,0,0,0,0.9.1.2
103882,com.mchange.c3p0,0.9.1.2,2007-08-23,https://repo1.maven.org/maven2/c3p0/c3p0/0.9.1.2/c3p0-0.9.1.2.jar,22,0,0,0,0,0,0,0.9.2
5544,com.mchange.c3p0,0.9.2,2013-02-09,https://repo1.maven.org/maven2/com/mchange/c3p0/0.9.2/c3p0-0.9.2.jar,20,0,0,0,0,2,4,0.9.2.1
5545,com.mchange.c3p0,0.9.2.1,2013-03-20,https://repo1.maven.org/maven2/com/mchange/c3p0/0.9.2.1/c3p0-0.9.2.1.jar,20,0,0,0,0,0,0,0.9.5
5524,com.mchange.c3p0,0.9.5,2015-01-02,https://repo1.maven.org/maven2/com/mchange/c3p0/0.9.5/c3p0-0.9.5.jar,28,0,0,0,0,13,0,0.9.5.1
5525,com.mchange.c3p0,0.9.5.1,2015-06-16,https://repo1.maven.org/maven2/com/mchange/c3p0/0.9.5.1/c3p0-0.9.5.1.jar,31,0,0,0,0,5,0,0.9.5.2
5526,com.mchange.c3p0,0.9.5.2,2015-12-09,https://repo1.maven.org/maven2/com/mchange/c3p0/0.9.5.2/c3p0-0.9.5.2.jar,31,0,0,0,0,0,0,0.9.5.3
5527,com.mchange.c3p0,0.9.5.3,2019-01-27,https://repo1.maven.org/maven2/com/mchange/c3p0/0.9.5.3/c3p0-0.9.5.3.jar,31,0,0,0,0,0,0,0.9.5.4
5528,com.mchange.c3p0,0.9.5.4,2019-03-24,https://repo1.maven.org/maven2/com/mchange/c3p0/0.9.5.4/c3p0-0.9.5.4.jar,31,0,0,0,0,0,0,0.9.5.5
5529,com.mchange.c3p0,0.9.5.5,2019-12-12,https://repo1.maven.org/maven2/com/mchange/c3p0/0.9.5.5/c3p0-0.9.5.5.jar,31,0,0,0,0,0,0,0.10.0
5530,com.mchange.c3p0,0.10.0,2024-03-03,https://repo1.maven.org/maven2/com/mchange/c3p0/0.10.0/c3p0-0.10.0.jar,29,0,0,0,0,0,2,0.10.1
5531,com.mchange.c3p0,0.10.1,2024-05-07,https://repo1.maven.org/maven2/com/mchange/c3p0/0.10.1/c3p0-0.10.1.jar,29,0,0,0,0,0,0,0.10.2
5532,com.mchange.c3p0,0.10.2,2025-01-31,https://repo1.maven.org/maven2/com/mchange/c3p0/0.10.2/c3p0-0.10.2.jar,: 29,0,0,0,0,0,0,
