,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
60868,com.microsoft.azure.azure-client-authentication,1.0.0,2017-04-07,https://repo1.maven.org/maven2/com/microsoft/azure/azure-client-authentication/1.0.0/azure-client-authentication-1.0.0.jar,,,,,,,,1.0.2
60869,com.microsoft.azure.azure-client-authentication,1.0.2,2017-04-24,https://repo1.maven.org/maven2/com/microsoft/azure/azure-client-authentication/1.0.2/azure-client-authentication-1.0.2.jar,,,,,,,,1.0.3
60870,com.microsoft.azure.azure-client-authentication,1.0.3,2017-06-08,https://repo1.maven.org/maven2/com/microsoft/azure/azure-client-authentication/1.0.3/azure-client-authentication-1.0.3.jar,,,,,,,,1.0.4
60871,com.microsoft.azure.azure-client-authentication,1.0.4,2017-06-30,https://repo1.maven.org/maven2/com/microsoft/azure/azure-client-authentication/1.0.4/azure-client-authentication-1.0.4.jar,,,,,,,,1.1.0
60872,com.microsoft.azure.azure-client-authentication,1.1.0,2017-08-21,https://repo1.maven.org/maven2/com/microsoft/azure/azure-client-authentication/1.1.0/azure-client-authentication-1.1.0.jar,,,,,,,,1.1.1
60873,com.microsoft.azure.azure-client-authentication,1.1.1,2017-10-18,https://repo1.maven.org/maven2/com/microsoft/azure/azure-client-authentication/1.1.1/azure-client-authentication-1.1.1.jar,,,,,,,,1.2.0
60874,com.microsoft.azure.azure-client-authentication,1.2.0,2017-11-16,https://repo1.maven.org/maven2/com/microsoft/azure/azure-client-authentication/1.2.0/azure-client-authentication-1.2.0.jar,,,,,,,,1.2.1
60875,com.microsoft.azure.azure-client-authentication,1.2.1,2017-12-14,https://repo1.maven.org/maven2/com/microsoft/azure/azure-client-authentication/1.2.1/azure-client-authentication-1.2.1.jar,,,,,,,,1.3.0
60876,com.microsoft.azure.azure-client-authentication,1.3.0,2018-01-30,https://repo1.maven.org/maven2/com/microsoft/azure/azure-client-authentication/1.3.0/azure-client-authentication-1.3.0.jar,,,,,,,,1.3.1
60877,com.microsoft.azure.azure-client-authentication,1.3.1,2018-03-26,https://repo1.maven.org/maven2/com/microsoft/azure/azure-client-authentication/1.3.1/azure-client-authentication-1.3.1.jar,,,,,,,,1.3.2
60878,com.microsoft.azure.azure-client-authentication,1.3.2,2018-03-30,https://repo1.maven.org/maven2/com/microsoft/azure/azure-client-authentication/1.3.2/azure-client-authentication-1.3.2.jar,,,,,,,,1.4.0
60879,com.microsoft.azure.azure-client-authentication,1.4.0,2018-04-16,https://repo1.maven.org/maven2/com/microsoft/azure/azure-client-authentication/1.4.0/azure-client-authentication-1.4.0.jar,,,,,,,,1.5.0
60880,com.microsoft.azure.azure-client-authentication,1.5.0,2018-04-26,https://repo1.maven.org/maven2/com/microsoft/azure/azure-client-authentication/1.5.0/azure-client-authentication-1.5.0.jar,,,,,,,,1.5.1
60881,com.microsoft.azure.azure-client-authentication,1.5.1,2018-05-31,https://repo1.maven.org/maven2/com/microsoft/azure/azure-client-authentication/1.5.1/azure-client-authentication-1.5.1.jar,,,,,,,,1.5.2
60882,com.microsoft.azure.azure-client-authentication,1.5.2,2018-05-31,https://repo1.maven.org/maven2/com/microsoft/azure/azure-client-authentication/1.5.2/azure-client-authentication-1.5.2.jar,,,,,,,,1.5.3
60883,com.microsoft.azure.azure-client-authentication,1.5.3,2018-06-25,https://repo1.maven.org/maven2/com/microsoft/azure/azure-client-authentication/1.5.3/azure-client-authentication-1.5.3.jar,,,,,,,,1.5.4
60884,com.microsoft.azure.azure-client-authentication,1.5.4,2018-07-05,https://repo1.maven.org/maven2/com/microsoft/azure/azure-client-authentication/1.5.4/azure-client-authentication-1.5.4.jar,,,,,,,,1.6.0
60864,com.microsoft.azure.azure-client-authentication,1.6.0,2018-07-31,https://repo1.maven.org/maven2/com/microsoft/azure/azure-client-authentication/1.6.0/azure-client-authentication-1.6.0.jar,,,,,,,,1.6.1
60863,com.microsoft.azure.azure-client-authentication,1.6.1,2018-08-07,https://repo1.maven.org/maven2/com/microsoft/azure/azure-client-authentication/1.6.1/azure-client-authentication-1.6.1.jar,,,,,,,,1.6.2
60862,com.microsoft.azure.azure-client-authentication,1.6.2,2018-09-11,https://repo1.maven.org/maven2/com/microsoft/azure/azure-client-authentication/1.6.2/azure-client-authentication-1.6.2.jar,,,,,,,,1.6.3
60850,com.microsoft.azure.azure-client-authentication,1.6.3,2018-09-28,https://repo1.maven.org/maven2/com/microsoft/azure/azure-client-authentication/1.6.3/azure-client-authentication-1.6.3.jar,,,,,,,,1.6.4
60841,com.microsoft.azure.azure-client-authentication,1.6.4,2018-12-05,https://repo1.maven.org/maven2/com/microsoft/azure/azure-client-authentication/1.6.4/azure-client-authentication-1.6.4.jar,,,,,,,,1.6.5
60842,com.microsoft.azure.azure-client-authentication,1.6.5,2018-12-22,https://repo1.maven.org/maven2/com/microsoft/azure/azure-client-authentication/1.6.5/azure-client-authentication-1.6.5.jar,,,,,,,,1.6.6
60843,com.microsoft.azure.azure-client-authentication,1.6.6,2019-04-17,https://repo1.maven.org/maven2/com/microsoft/azure/azure-client-authentication/1.6.6/azure-client-authentication-1.6.6.jar,,,,,,,,1.6.7
60844,com.microsoft.azure.azure-client-authentication,1.6.7,2019-05-15,https://repo1.maven.org/maven2/com/microsoft/azure/azure-client-authentication/1.6.7/azure-client-authentication-1.6.7.jar,,,,,,,,1.6.8
