,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
4918,com.microsoft.sqlserver.mssql-jdbc,6.1.08,2016-11-10,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/6.1.0.jre8/mssql-jdbc-6.1.0.jre8.jar,14,,,,,,,6.2.08
4919,com.microsoft.sqlserver.mssql-jdbc,6.2.08,2017-06-30,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/6.2.0.jre8/mssql-jdbc-6.2.0.jre8.jar,17,0,1,0,0,4,0,6.2.18
4920,com.microsoft.sqlserver.mssql-jdbc,6.2.18,2017-07-14,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/6.2.1.jre8/mssql-jdbc-6.2.1.jre8.jar,13,0,0,0,0,0,4,6.2.28
4921,com.microsoft.sqlserver.mssql-jdbc,6.2.28,2017-10-03,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/6.2.2.jre8/mssql-jdbc-6.2.2.jre8.jar,13,0,0,0,0,0,0,6.4.08
4922,com.microsoft.sqlserver.mssql-jdbc,6.4.08,2018-02-27,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/6.4.0.jre8/mssql-jdbc-6.4.0.jre8.jar,17,0,0,0,0,4,0,6.4.09
4923,com.microsoft.sqlserver.mssql-jdbc,6.4.09,2018-02-27,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/6.4.0.jre9/mssql-jdbc-6.4.0.jre9.jar,17,0,0,0,0,0,0,7.0.08
4924,com.microsoft.sqlserver.mssql-jdbc,7.0.08,2018-07-31,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/7.0.0.jre8/mssql-jdbc-7.0.0.jre8.jar,23,4,0,1,0,1,0,7.0.010
4925,com.microsoft.sqlserver.mssql-jdbc,7.0.010,2018-07-31,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/7.0.0.jre10/mssql-jdbc-7.0.0.jre10.jar,23,0,0,0,0,0,0,7.2.08
4926,com.microsoft.sqlserver.mssql-jdbc,7.2.08,2019-02-01,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/7.2.0.jre8/mssql-jdbc-7.2.0.jre8.jar,70,18,0,30,0,2,0,7.2.011
4927,com.microsoft.sqlserver.mssql-jdbc,7.2.011,2019-01-31,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/7.2.0.jre11/mssql-jdbc-7.2.0.jre11.jar,70,0,0,0,0,0,0,7.2.18
4928,com.microsoft.sqlserver.mssql-jdbc,7.2.18,2019-02-12,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/7.2.1.jre8/mssql-jdbc-7.2.1.jre8.jar,70,0,0,0,0,0,0,7.2.28
4931,com.microsoft.sqlserver.mssql-jdbc,7.2.28,2019-04-17,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/7.2.2.jre8/mssql-jdbc-7.2.2.jre8.jar,70,0,0,0,0,0,0,7.2.111
4929,com.microsoft.sqlserver.mssql-jdbc,7.2.111,2019-02-12,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/7.2.1.jre11/mssql-jdbc-7.2.1.jre11.jar,70,0,0,0,0,0,0,7.2.211
4956,com.microsoft.sqlserver.mssql-jdbc,7.2.211,2019-04-17,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/7.2.2.jre11/mssql-jdbc-7.2.2.jre11.jar,70,0,0,0,0,0,0,7.4.08
4982,com.microsoft.sqlserver.mssql-jdbc,7.4.08,2019-08-01,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/7.4.0.jre8/mssql-jdbc-7.4.0.jre8.jar,70,0,0,0,0,1,1,7.4.011
4957,com.microsoft.sqlserver.mssql-jdbc,7.4.011,2019-08-01,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/7.4.0.jre11/mssql-jdbc-7.4.0.jre11.jar,70,0,0,0,0,0,0,7.4.012
4985,com.microsoft.sqlserver.mssql-jdbc,7.4.012,2019-08-01,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/7.4.0.jre12/mssql-jdbc-7.4.0.jre12.jar,70,0,0,0,0,0,0,7.4.18
4986,com.microsoft.sqlserver.mssql-jdbc,7.4.18,2019-08-03,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/7.4.1.jre8/mssql-jdbc-7.4.1.jre8.jar,70,0,0,0,0,0,0,7.4.111
4987,com.microsoft.sqlserver.mssql-jdbc,7.4.111,2019-08-03,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/7.4.1.jre11/mssql-jdbc-7.4.1.jre11.jar,70,0,0,0,0,0,0,7.4.112
4988,com.microsoft.sqlserver.mssql-jdbc,7.4.112,2019-08-03,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/7.4.1.jre12/mssql-jdbc-7.4.1.jre12.jar,70,0,0,0,0,0,0,8.2.08
4989,com.microsoft.sqlserver.mssql-jdbc,8.2.08,2020-01-31,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/8.2.0.jre8/mssql-jdbc-8.2.0.jre8.jar,71,0,0,0,0,1,0,8.2.011
4990,com.microsoft.sqlserver.mssql-jdbc,8.2.011,2020-01-31,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/8.2.0.jre11/mssql-jdbc-8.2.0.jre11.jar,71,0,0,0,0,0,0,8.2.013
4991,com.microsoft.sqlserver.mssql-jdbc,8.2.013,2020-01-31,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/8.2.0.jre13/mssql-jdbc-8.2.0.jre13.jar,71,0,0,0,0,0,0,8.2.18
4992,com.microsoft.sqlserver.mssql-jdbc,8.2.18,2020-02-27,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/8.2.1.jre8/mssql-jdbc-8.2.1.jre8.jar,71,0,0,0,0,0,0,8.2.28
4995,com.microsoft.sqlserver.mssql-jdbc,8.2.28,2020-03-24,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/8.2.2.jre8/mssql-jdbc-8.2.2.jre8.jar,71,0,0,0,0,0,0,8.2.111
4993,com.microsoft.sqlserver.mssql-jdbc,8.2.111,2020-02-27,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/8.2.1.jre11/mssql-jdbc-8.2.1.jre11.jar,71,0,0,0,0,0,0,8.2.113
4994,com.microsoft.sqlserver.mssql-jdbc,8.2.113,2020-02-26,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/8.2.1.jre13/mssql-jdbc-8.2.1.jre13.jar,71,0,0,0,0,0,0,8.2.211
4996,com.microsoft.sqlserver.mssql-jdbc,8.2.211,2020-03-24,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/8.2.2.jre11/mssql-jdbc-8.2.2.jre11.jar,71,0,0,0,0,0,0,8.2.213
4997,com.microsoft.sqlserver.mssql-jdbc,8.2.213,2020-03-24,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/8.2.2.jre13/mssql-jdbc-8.2.2.jre13.jar,71,0,0,0,0,0,0,8.4.08
4998,com.microsoft.sqlserver.mssql-jdbc,8.4.08,2020-07-31,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/8.4.0.jre8/mssql-jdbc-8.4.0.jre8.jar,71,0,0,0,0,0,0,8.4.011
4999,com.microsoft.sqlserver.mssql-jdbc,8.4.011,2020-07-31,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/8.4.0.jre11/mssql-jdbc-8.4.0.jre11.jar,71,0,0,0,0,0,0,8.4.014
5000,com.microsoft.sqlserver.mssql-jdbc,8.4.014,2020-07-31,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/8.4.0.jre14/mssql-jdbc-8.4.0.jre14.jar,71,0,0,0,0,0,0,8.4.18
5001,com.microsoft.sqlserver.mssql-jdbc,8.4.18,2020-08-27,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/8.4.1.jre8/mssql-jdbc-8.4.1.jre8.jar,71,0,0,0,0,0,0,8.4.111
5002,com.microsoft.sqlserver.mssql-jdbc,8.4.111,2020-08-27,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/8.4.1.jre11/mssql-jdbc-8.4.1.jre11.jar,71,0,0,0,0,0,0,8.4.114
5003,com.microsoft.sqlserver.mssql-jdbc,8.4.114,2020-08-27,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/8.4.1.jre14/mssql-jdbc-8.4.1.jre14.jar,71,0,0,0,0,0,0,9.2.08
5004,com.microsoft.sqlserver.mssql-jdbc,9.2.08,2021-01-29,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/9.2.0.jre8/mssql-jdbc-9.2.0.jre8.jar,71,0,0,0,0,0,0,9.2.011
5005,com.microsoft.sqlserver.mssql-jdbc,9.2.011,2021-01-29,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/9.2.0.jre11/mssql-jdbc-9.2.0.jre11.jar,71,0,0,0,0,0,0,9.2.015
5006,com.microsoft.sqlserver.mssql-jdbc,9.2.015,2021-01-29,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/9.2.0.jre15/mssql-jdbc-9.2.0.jre15.jar,71,0,0,0,0,0,0,9.2.18
5007,com.microsoft.sqlserver.mssql-jdbc,9.2.18,2021-03-02,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/9.2.1.jre8/mssql-jdbc-9.2.1.jre8.jar,71,0,0,0,0,0,0,9.2.111
4984,com.microsoft.sqlserver.mssql-jdbc,9.2.111,2021-03-02,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/9.2.1.jre11/mssql-jdbc-9.2.1.jre11.jar,71,0,0,0,0,0,0,9.2.115
5008,com.microsoft.sqlserver.mssql-jdbc,9.2.115,2021-03-02,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/9.2.1.jre15/mssql-jdbc-9.2.1.jre15.jar,71,0,0,0,0,0,0,9.4.08
4983,com.microsoft.sqlserver.mssql-jdbc,9.4.08,2021-08-05,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/9.4.0.jre8/mssql-jdbc-9.4.0.jre8.jar,70,0,0,0,0,0,1,9.4.011
4981,com.microsoft.sqlserver.mssql-jdbc,9.4.011,2021-08-05,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/9.4.0.jre11/mssql-jdbc-9.4.0.jre11.jar,71,0,0,0,0,1,0,9.4.016
4958,com.microsoft.sqlserver.mssql-jdbc,9.4.016,2021-08-05,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/9.4.0.jre16/mssql-jdbc-9.4.0.jre16.jar,71,0,0,0,0,0,0,9.4.18
4959,com.microsoft.sqlserver.mssql-jdbc,9.4.18,2021-12-08,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/9.4.1.jre8/mssql-jdbc-9.4.1.jre8.jar,70,0,0,0,0,0,1,9.4.111
4960,com.microsoft.sqlserver.mssql-jdbc,9.4.111,2021-12-08,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/9.4.1.jre11/mssql-jdbc-9.4.1.jre11.jar,71,0,0,0,0,1,0,9.4.116
4961,com.microsoft.sqlserver.mssql-jdbc,9.4.116,2021-12-08,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/9.4.1.jre16/mssql-jdbc-9.4.1.jre16.jar,71,0,0,0,0,0,0,10.2.08
4962,com.microsoft.sqlserver.mssql-jdbc,10.2.08,2022-02-01,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/10.2.0.jre8/mssql-jdbc-10.2.0.jre8.jar,70,0,0,0,0,0,1,10.2.011
4963,com.microsoft.sqlserver.mssql-jdbc,10.2.011,2022-02-01,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/10.2.0.jre11/mssql-jdbc-10.2.0.jre11.jar,71,0,0,0,0,1,0,10.2.017
4964,com.microsoft.sqlserver.mssql-jdbc,10.2.017,2022-02-01,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/10.2.0.jre17/mssql-jdbc-10.2.0.jre17.jar,71,0,0,0,0,0,0,10.2.18
4965,com.microsoft.sqlserver.mssql-jdbc,10.2.18,2022-05-13,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/10.2.1.jre8/mssql-jdbc-10.2.1.jre8.jar,70,0,0,0,0,0,1,10.2.28
4968,com.microsoft.sqlserver.mssql-jdbc,10.2.28,2022-12-14,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/10.2.2.jre8/mssql-jdbc-10.2.2.jre8.jar,70,0,0,0,0,0,0,10.2.38
4971,com.microsoft.sqlserver.mssql-jdbc,10.2.38,2023-01-13,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/10.2.3.jre8/mssql-jdbc-10.2.3.jre8.jar,70,0,0,0,0,0,0,10.2.111
4966,com.microsoft.sqlserver.mssql-jdbc,10.2.111,2022-05-13,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/10.2.1.jre11/mssql-jdbc-10.2.1.jre11.jar,71,0,0,0,0,1,0,10.2.117
4967,com.microsoft.sqlserver.mssql-jdbc,10.2.117,2022-05-13,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/10.2.1.jre17/mssql-jdbc-10.2.1.jre17.jar,71,0,0,0,0,0,0,10.2.211
4969,com.microsoft.sqlserver.mssql-jdbc,10.2.211,2022-12-14,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/10.2.2.jre11/mssql-jdbc-10.2.2.jre11.jar,71,0,0,0,0,0,0,10.2.217
4970,com.microsoft.sqlserver.mssql-jdbc,10.2.217,2022-12-14,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/10.2.2.jre17/mssql-jdbc-10.2.2.jre17.jar,71,0,0,0,0,0,0,10.2.311
4972,com.microsoft.sqlserver.mssql-jdbc,10.2.311,2023-01-13,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/10.2.3.jre11/mssql-jdbc-10.2.3.jre11.jar,71,0,0,0,0,0,0,10.2.317
4973,com.microsoft.sqlserver.mssql-jdbc,10.2.317,2023-01-13,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/10.2.3.jre17/mssql-jdbc-10.2.3.jre17.jar,71,0,0,0,0,0,0,11.2.08
4974,com.microsoft.sqlserver.mssql-jdbc,11.2.08,2022-08-09,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/11.2.0.jre8/mssql-jdbc-11.2.0.jre8.jar,70,0,0,0,0,0,1,11.2.011
4975,com.microsoft.sqlserver.mssql-jdbc,11.2.011,2022-08-09,https://repo1.maven.org/maven2/com/microsoft/sqlserver/mssql-jdbc/11.2.0.jre11/mssql-jdbc-11.2.0.jre11.jar,71,0,0,0,0,1,0,11.2.017
