,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
105533,com.mysql.mysql-connector-j,2.0.14,2015-04-20,https://repo1.maven.org/maven2/mysql/mysql-connector-java/2.0.14/mysql-connector-java-2.0.14.jar,4,,,,,,,3.0.8
105534,com.mysql.mysql-connector-j,3.0.8,2015-04-20,https://repo1.maven.org/maven2/mysql/mysql-connector-java/3.0.8/mysql-connector-java-3.0.8.jar,2,0,0,0,0,0,3,3.0.10
105535,com.mysql.mysql-connector-j,3.0.10,2015-04-20,https://repo1.maven.org/maven2/mysql/mysql-connector-java/3.0.10/mysql-connector-java-3.0.10.jar,2,0,0,0,0,0,0,3.1.11
105536,com.mysql.mysql-connector-j,3.1.11,2015-04-20,https://repo1.maven.org/maven2/mysql/mysql-connector-java/3.1.11/mysql-connector-java-3.1.11.jar,3,0,0,0,0,1,0,3.1.12
105524,com.mysql.mysql-connector-j,3.1.12,2015-04-20,https://repo1.maven.org/maven2/mysql/mysql-connector-java/3.1.12/mysql-connector-java-3.1.12.jar,3,0,0,0,0,0,0,3.1.13
105537,com.mysql.mysql-connector-j,3.1.13,2015-04-20,https://repo1.maven.org/maven2/mysql/mysql-connector-java/3.1.13/mysql-connector-java-3.1.13.jar,3,0,0,0,0,0,0,3.1.14
105523,com.mysql.mysql-connector-j,3.1.14,2015-04-20,https://repo1.maven.org/maven2/mysql/mysql-connector-java/3.1.14/mysql-connector-java-3.1.14.jar,3,0,0,0,0,0,0,5.0.2
105521,com.mysql.mysql-connector-j,5.0.2,2015-04-20,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.0.2/mysql-connector-java-5.0.2.jar,14,11,0,4,0,2,0,5.0.3
105506,com.mysql.mysql-connector-j,5.0.3,2015-04-20,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.0.3/mysql-connector-java-5.0.3.jar,14,0,0,0,0,0,0,5.0.4
105507,com.mysql.mysql-connector-j,5.0.4,2015-04-20,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.0.4/mysql-connector-java-5.0.4.jar,14,0,0,0,0,0,0,5.0.5
105508,com.mysql.mysql-connector-j,5.0.5,2015-04-20,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.0.5/mysql-connector-java-5.0.5.jar,14,0,0,0,0,0,0,5.0.7
105509,com.mysql.mysql-connector-j,5.0.7,2015-04-20,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.0.7/mysql-connector-java-5.0.7.jar,15,0,0,0,0,2,0,5.0.8
105510,com.mysql.mysql-connector-j,5.0.8,2015-04-20,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.0.8/mysql-connector-java-5.0.8.jar,15,0,0,0,0,0,0,5.1.1
105511,com.mysql.mysql-connector-j,5.1.1,2015-05-08,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.1.1/mysql-connector-java-5.1.1.jar,16,0,1,0,1,16,13,5.1.2
105512,com.mysql.mysql-connector-j,5.1.2,2015-05-08,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.1.2/mysql-connector-java-5.1.2.jar,16,0,0,0,0,0,0,5.1.3
105513,com.mysql.mysql-connector-j,5.1.3,2015-05-08,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.1.3/mysql-connector-java-5.1.3.jar,16,0,0,0,0,0,0,5.1.4
105514,com.mysql.mysql-connector-j,5.1.4,2015-05-08,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.1.4/mysql-connector-java-5.1.4.jar,16,0,0,0,0,0,0,5.1.5
105515,com.mysql.mysql-connector-j,5.1.5,2015-05-08,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.1.5/mysql-connector-java-5.1.5.jar,16,0,0,0,0,0,0,5.1.6
105516,com.mysql.mysql-connector-j,5.1.6,2015-05-08,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.1.6/mysql-connector-java-5.1.6.jar,16,0,0,0,0,0,0,5.1.8
105517,com.mysql.mysql-connector-j,5.1.8,2015-05-08,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.1.8/mysql-connector-java-5.1.8.jar,16,0,0,0,0,0,0,5.1.9
105518,com.mysql.mysql-connector-j,5.1.9,2015-05-08,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.1.9/mysql-connector-java-5.1.9.jar,16,0,0,0,0,0,0,5.1.10
105519,com.mysql.mysql-connector-j,5.1.10,2015-05-08,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.1.10/mysql-connector-java-5.1.10.jar,16,0,0,0,0,0,0,5.1.11
105520,com.mysql.mysql-connector-j,5.1.11,2015-05-08,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.1.11/mysql-connector-java-5.1.11.jar,16,0,0,0,0,0,0,5.1.12
105319,com.mysql.mysql-connector-j,5.1.12,2015-05-08,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.1.12/mysql-connector-java-5.1.12.jar,16,0,0,0,0,0,0,5.1.13
105538,com.mysql.mysql-connector-j,5.1.13,2015-05-08,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.1.13/mysql-connector-java-5.1.13.jar,16,0,0,0,0,0,0,5.1.14
105318,com.mysql.mysql-connector-j,5.1.14,2015-05-08,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.1.14/mysql-connector-java-5.1.14.jar,16,0,0,0,0,0,0,5.1.15
105287,com.mysql.mysql-connector-j,5.1.15,2015-05-08,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.1.15/mysql-connector-java-5.1.15.jar,16,0,0,0,0,0,0,5.1.16
105202,com.mysql.mysql-connector-j,5.1.16,2015-05-08,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.1.16/mysql-connector-java-5.1.16.jar,16,0,0,0,0,0,0,5.1.17
105203,com.mysql.mysql-connector-j,5.1.17,2015-05-08,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.1.17/mysql-connector-java-5.1.17.jar,16,0,0,0,0,0,0,5.1.18
105204,com.mysql.mysql-connector-j,5.1.18,2015-05-08,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.1.18/mysql-connector-java-5.1.18.jar,16,0,0,0,0,0,0,5.1.19
105205,com.mysql.mysql-connector-j,5.1.19,2015-05-08,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.1.19/mysql-connector-java-5.1.19.jar,16,0,0,0,0,0,0,5.1.20
105206,com.mysql.mysql-connector-j,5.1.20,2015-05-08,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.1.20/mysql-connector-java-5.1.20.jar,16,0,0,0,0,0,0,5.1.21
105207,com.mysql.mysql-connector-j,5.1.21,2015-05-08,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.1.21/mysql-connector-java-5.1.21.jar,16,0,0,0,0,0,0,5.1.22
105208,com.mysql.mysql-connector-j,5.1.22,2015-05-08,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.1.22/mysql-connector-java-5.1.22.jar,16,0,0,0,0,0,0,5.1.23
105209,com.mysql.mysql-connector-j,5.1.23,2015-05-08,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.1.23/mysql-connector-java-5.1.23.jar,16,0,0,0,0,0,0,5.1.24
105210,com.mysql.mysql-connector-j,5.1.24,2015-05-08,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.1.24/mysql-connector-java-5.1.24.jar,16,0,0,0,0,0,0,5.1.25
105211,com.mysql.mysql-connector-j,5.1.25,2015-05-08,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.1.25/mysql-connector-java-5.1.25.jar,16,0,0,0,0,0,0,5.1.26
105212,com.mysql.mysql-connector-j,5.1.26,2015-05-08,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.1.26/mysql-connector-java-5.1.26.jar,16,0,0,0,0,0,0,5.1.27
105213,com.mysql.mysql-connector-j,5.1.27,2015-05-08,https://repo1.maven.org/maven2/mysql/mysql-connector-java/5.1.27/mysql-connector-java-5.1.27.jar,16,0,0,0,0,0,0,5.1.28
