,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
79119,com.networknt.config,0.1.0,2016-09-11,https://repo1.maven.org/maven2/com/networknt/config/0.1.0/config-0.1.0.jar,,,,,,,,0.1.1
79120,com.networknt.config,0.1.1,2016-09-18,https://repo1.maven.org/maven2/com/networknt/config/0.1.1/config-0.1.1.jar,,,,,,,,0.1.2
79122,com.networknt.config,0.1.2,2016-09-28,https://repo1.maven.org/maven2/com/networknt/config/0.1.2/config-0.1.2.jar,,,,,,,,0.1.3
79145,com.networknt.config,0.1.3,2016-09-28,https://repo1.maven.org/maven2/com/networknt/config/0.1.3/config-0.1.3.jar,,,,,,,,0.1.4
79167,com.networknt.config,0.1.4,2016-09-30,https://repo1.maven.org/maven2/com/networknt/config/0.1.4/config-0.1.4.jar,,,,,,,,0.1.5
79146,com.networknt.config,0.1.5,2016-10-02,https://repo1.maven.org/maven2/com/networknt/config/0.1.5/config-0.1.5.jar,,,,,,,,0.1.6
79170,com.networknt.config,0.1.6,2016-10-02,https://repo1.maven.org/maven2/com/networknt/config/0.1.6/config-0.1.6.jar,,,,,,,,0.1.7
79171,com.networknt.config,0.1.7,2016-10-05,https://repo1.maven.org/maven2/com/networknt/config/0.1.7/config-0.1.7.jar,,,,,,,,0.1.8
79172,com.networknt.config,0.1.8,2016-10-11,https://repo1.maven.org/maven2/com/networknt/config/0.1.8/config-0.1.8.jar,,,,,,,,0.1.9
79173,com.networknt.config,0.1.9,2016-10-18,https://repo1.maven.org/maven2/com/networknt/config/0.1.9/config-0.1.9.jar,,,,,,,,1.0.0
79174,com.networknt.config,1.0.0,2016-10-21,https://repo1.maven.org/maven2/com/networknt/config/1.0.0/config-1.0.0.jar,,,,,,,,1.0.1
79175,com.networknt.config,1.0.1,2016-10-30,https://repo1.maven.org/maven2/com/networknt/config/1.0.1/config-1.0.1.jar,,,,,,,,1.0.2
79176,com.networknt.config,1.0.2,2016-11-04,https://repo1.maven.org/maven2/com/networknt/config/1.0.2/config-1.0.2.jar,,,,,,,,1.1.0
79177,com.networknt.config,1.1.0,2016-11-07,https://repo1.maven.org/maven2/com/networknt/config/1.1.0/config-1.1.0.jar,,,,,,,,1.1.1
79178,com.networknt.config,1.1.1,2016-11-27,https://repo1.maven.org/maven2/com/networknt/config/1.1.1/config-1.1.1.jar,,,,,,,,1.1.2
79179,com.networknt.config,1.1.2,2016-11-29,https://repo1.maven.org/maven2/com/networknt/config/1.1.2/config-1.1.2.jar,,,,,,,,1.1.3
79180,com.networknt.config,1.1.3,2016-12-03,https://repo1.maven.org/maven2/com/networknt/config/1.1.3/config-1.1.3.jar,,,,,,,,1.1.4
79181,com.networknt.config,1.1.4,2016-12-13,https://repo1.maven.org/maven2/com/networknt/config/1.1.4/config-1.1.4.jar,,,,,,,,1.1.5
79182,com.networknt.config,1.1.5,2016-12-24,https://repo1.maven.org/maven2/com/networknt/config/1.1.5/config-1.1.5.jar,,,,,,,,1.1.6
79183,com.networknt.config,1.1.6,2017-01-02,https://repo1.maven.org/maven2/com/networknt/config/1.1.6/config-1.1.6.jar,,,,,,,,1.1.7
79184,com.networknt.config,1.1.7,2017-01-08,https://repo1.maven.org/maven2/com/networknt/config/1.1.7/config-1.1.7.jar,,,,,,,,1.1.8
79185,com.networknt.config,1.1.8,2017-01-15,https://repo1.maven.org/maven2/com/networknt/config/1.1.8/config-1.1.8.jar,,,,,,,,1.2.0
79186,com.networknt.config,1.2.0,2017-01-22,https://repo1.maven.org/maven2/com/networknt/config/1.2.0/config-1.2.0.jar,,,,,,,,1.2.1
79187,com.networknt.config,1.2.1,2017-01-25,https://repo1.maven.org/maven2/com/networknt/config/1.2.1/config-1.2.1.jar,,,,,,,,1.2.2
79188,com.networknt.config,1.2.2,2017-02-04,https://repo1.maven.org/maven2/com/networknt/config/1.2.2/config-1.2.2.jar,,,,,,,,1.2.3
79169,com.networknt.config,1.2.3,2017-02-09,https://repo1.maven.org/maven2/com/networknt/config/1.2.3/config-1.2.3.jar,,,,,,,,1.2.4
79189,com.networknt.config,1.2.4,2017-02-20,https://repo1.maven.org/maven2/com/networknt/config/1.2.4/config-1.2.4.jar,,,,,,,,1.2.5
79168,com.networknt.config,1.2.5,2017-03-04,https://repo1.maven.org/maven2/com/networknt/config/1.2.5/config-1.2.5.jar,,,,,,,,1.2.6
