,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
10779,com.networknt.json-schema-validator,0.1.0,2016-09-14,https://repo1.maven.org/maven2/com/networknt/json-schema-validator/0.1.0/json-schema-validator-0.1.0.jar,,,,,,,,0.1.1
10780,com.networknt.json-schema-validator,0.1.1,2016-09-17,https://repo1.maven.org/maven2/com/networknt/json-schema-validator/0.1.1/json-schema-validator-0.1.1.jar,,,,,,,,0.1.2
10781,com.networknt.json-schema-validator,0.1.2,2016-10-20,https://repo1.maven.org/maven2/com/networknt/json-schema-validator/0.1.2/json-schema-validator-0.1.2.jar,,,,,,,,0.1.3
10782,com.networknt.json-schema-validator,0.1.3,2016-11-04,https://repo1.maven.org/maven2/com/networknt/json-schema-validator/0.1.3/json-schema-validator-0.1.3.jar,,,,,,,,0.1.4
10783,com.networknt.json-schema-validator,0.1.4,2017-02-06,https://repo1.maven.org/maven2/com/networknt/json-schema-validator/0.1.4/json-schema-validator-0.1.4.jar,,,,,,,,0.1.5
10784,com.networknt.json-schema-validator,0.1.5,2017-03-25,https://repo1.maven.org/maven2/com/networknt/json-schema-validator/0.1.5/json-schema-validator-0.1.5.jar,,,,,,,,0.1.6
10785,com.networknt.json-schema-validator,0.1.6,2017-04-04,https://repo1.maven.org/maven2/com/networknt/json-schema-validator/0.1.6/json-schema-validator-0.1.6.jar,,,,,,,,0.1.7
10787,com.networknt.json-schema-validator,0.1.7,2017-04-27,https://repo1.maven.org/maven2/com/networknt/json-schema-validator/0.1.7/json-schema-validator-0.1.7.jar,,,,,,,,0.1.8
10814,com.networknt.json-schema-validator,0.1.8,2017-06-17,https://repo1.maven.org/maven2/com/networknt/json-schema-validator/0.1.8/json-schema-validator-0.1.8.jar,,,,,,,,0.1.9
10840,com.networknt.json-schema-validator,0.1.9,2017-07-03,https://repo1.maven.org/maven2/com/networknt/json-schema-validator/0.1.9/json-schema-validator-0.1.9.jar,,,,,,,,0.1.10
10815,com.networknt.json-schema-validator,0.1.10,2017-07-22,https://repo1.maven.org/maven2/com/networknt/json-schema-validator/0.1.10/json-schema-validator-0.1.10.jar,,,,,,,,0.1.11
10843,com.networknt.json-schema-validator,0.1.11,2017-10-18,https://repo1.maven.org/maven2/com/networknt/json-schema-validator/0.1.11/json-schema-validator-0.1.11.jar,,,,,,,,0.1.12
10844,com.networknt.json-schema-validator,0.1.12,2017-11-24,https://repo1.maven.org/maven2/com/networknt/json-schema-validator/0.1.12/json-schema-validator-0.1.12.jar,,,,,,,,0.1.13
10845,com.networknt.json-schema-validator,0.1.13,2017-12-10,https://repo1.maven.org/maven2/com/networknt/json-schema-validator/0.1.13/json-schema-validator-0.1.13.jar,,,,,,,,0.1.14
10846,com.networknt.json-schema-validator,0.1.14,2018-02-15,https://repo1.maven.org/maven2/com/networknt/json-schema-validator/0.1.14/json-schema-validator-0.1.14.jar,,,,,,,,0.1.15
10847,com.networknt.json-schema-validator,0.1.15,2018-02-16,https://repo1.maven.org/maven2/com/networknt/json-schema-validator/0.1.15/json-schema-validator-0.1.15.jar,,,,,,,,0.1.16
10848,com.networknt.json-schema-validator,0.1.16,2018-03-03,https://repo1.maven.org/maven2/com/networknt/json-schema-validator/0.1.16/json-schema-validator-0.1.16.jar,,,,,,,,0.1.17
10849,com.networknt.json-schema-validator,0.1.17,2018-03-10,https://repo1.maven.org/maven2/com/networknt/json-schema-validator/0.1.17/json-schema-validator-0.1.17.jar,,,,,,,,0.1.18
10850,com.networknt.json-schema-validator,0.1.18,2018-04-04,https://repo1.maven.org/maven2/com/networknt/json-schema-validator/0.1.18/json-schema-validator-0.1.18.jar,,,,,,,,0.1.19
10851,com.networknt.json-schema-validator,0.1.19,2018-04-07,https://repo1.maven.org/maven2/com/networknt/json-schema-validator/0.1.19/json-schema-validator-0.1.19.jar,,,,,,,,0.1.20
10852,com.networknt.json-schema-validator,0.1.20,2018-07-30,https://repo1.maven.org/maven2/com/networknt/json-schema-validator/0.1.20/json-schema-validator-0.1.20.jar,,,,,,,,0.1.21
10853,com.networknt.json-schema-validator,0.1.21,2018-08-15,https://repo1.maven.org/maven2/com/networknt/json-schema-validator/0.1.21/json-schema-validator-0.1.21.jar,,,,,,,,0.1.22
10854,com.networknt.json-schema-validator,0.1.22,2018-09-11,https://repo1.maven.org/maven2/com/networknt/json-schema-validator/0.1.22/json-schema-validator-0.1.22.jar,,,,,,,,0.1.23
