,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
10746,com.nimbusds.nimbus-jose-jwt,2.9,2013-01-17,https://repo1.maven.org/maven2/com/nimbusds/nimbus-jose-jwt/2.9/nimbus-jose-jwt-2.9.jar,,,,,,,,2.10
10747,com.nimbusds.nimbus-jose-jwt,2.10,2013-01-17,https://repo1.maven.org/maven2/com/nimbusds/nimbus-jose-jwt/2.10/nimbus-jose-jwt-2.10.jar,,,,,,,,2.10.1
10748,com.nimbusds.nimbus-jose-jwt,2.10.1,2013-01-17,https://repo1.maven.org/maven2/com/nimbusds/nimbus-jose-jwt/2.10.1/nimbus-jose-jwt-2.10.1.jar,,,,,,,,2.11.0
10749,com.nimbusds.nimbus-jose-jwt,2.11.0,2013-02-22,https://repo1.maven.org/maven2/com/nimbusds/nimbus-jose-jwt/2.11.0/nimbus-jose-jwt-2.11.0.jar,,,,,,,,2.12.0
10750,com.nimbusds.nimbus-jose-jwt,2.12.0,2013-03-21,https://repo1.maven.org/maven2/com/nimbusds/nimbus-jose-jwt/2.12.0/nimbus-jose-jwt-2.12.0.jar,,,,,,,,2.13.0
10751,com.nimbusds.nimbus-jose-jwt,2.13.0,2013-03-28,https://repo1.maven.org/maven2/com/nimbusds/nimbus-jose-jwt/2.13.0/nimbus-jose-jwt-2.13.0.jar,,,,,,,,2.13.1
10752,com.nimbusds.nimbus-jose-jwt,2.13.1,2013-04-15,https://repo1.maven.org/maven2/com/nimbusds/nimbus-jose-jwt/2.13.1/nimbus-jose-jwt-2.13.1.jar,,,,,,,,2.14.0
10753,com.nimbusds.nimbus-jose-jwt,2.14.0,2013-04-16,https://repo1.maven.org/maven2/com/nimbusds/nimbus-jose-jwt/2.14.0/nimbus-jose-jwt-2.14.0.jar,,,,,,,,2.15.0
10754,com.nimbusds.nimbus-jose-jwt,2.15.0,2013-05-08,https://repo1.maven.org/maven2/com/nimbusds/nimbus-jose-jwt/2.15.0/nimbus-jose-jwt-2.15.0.jar,,,,,,,,2.15.1
10755,com.nimbusds.nimbus-jose-jwt,2.15.1,2013-05-17,https://repo1.maven.org/maven2/com/nimbusds/nimbus-jose-jwt/2.15.1/nimbus-jose-jwt-2.15.1.jar,,,,,,,,2.15.2
10756,com.nimbusds.nimbus-jose-jwt,2.15.2,2013-05-20,https://repo1.maven.org/maven2/com/nimbusds/nimbus-jose-jwt/2.15.2/nimbus-jose-jwt-2.15.2.jar,,,,,,,,2.16
10757,com.nimbusds.nimbus-jose-jwt,2.16,2013-05-30,https://repo1.maven.org/maven2/com/nimbusds/nimbus-jose-jwt/2.16/nimbus-jose-jwt-2.16.jar,,,,,,,,2.17
10758,com.nimbusds.nimbus-jose-jwt,2.17,2013-07-15,https://repo1.maven.org/maven2/com/nimbusds/nimbus-jose-jwt/2.17/nimbus-jose-jwt-2.17.jar,,,,,,,,2.17.1
10759,com.nimbusds.nimbus-jose-jwt,2.17.1,2013-07-26,https://repo1.maven.org/maven2/com/nimbusds/nimbus-jose-jwt/2.17.1/nimbus-jose-jwt-2.17.1.jar,,,,,,,,2.17.2
10760,com.nimbusds.nimbus-jose-jwt,2.17.2,2013-08-01,https://repo1.maven.org/maven2/com/nimbusds/nimbus-jose-jwt/2.17.2/nimbus-jose-jwt-2.17.2.jar,,,,,,,,2.18
10738,com.nimbusds.nimbus-jose-jwt,2.18,2013-08-20,https://repo1.maven.org/maven2/com/nimbusds/nimbus-jose-jwt/2.18/nimbus-jose-jwt-2.18.jar,,,,,,,,2.18.1
10761,com.nimbusds.nimbus-jose-jwt,2.18.1,2013-08-26,https://repo1.maven.org/maven2/com/nimbusds/nimbus-jose-jwt/2.18.1/nimbus-jose-jwt-2.18.1.jar,,,,,,,,2.18.2
10737,com.nimbusds.nimbus-jose-jwt,2.18.2,2013-09-20,https://repo1.maven.org/maven2/com/nimbusds/nimbus-jose-jwt/2.18.2/nimbus-jose-jwt-2.18.2.jar,,,,,,,,2.19
10735,com.nimbusds.nimbus-jose-jwt,2.19,2013-10-08,https://repo1.maven.org/maven2/com/nimbusds/nimbus-jose-jwt/2.19/nimbus-jose-jwt-2.19.jar,,,,,,,,2.19.1
10712,com.nimbusds.nimbus-jose-jwt,2.19.1,2013-10-16,https://repo1.maven.org/maven2/com/nimbusds/nimbus-jose-jwt/2.19.1/nimbus-jose-jwt-2.19.1.jar,,,,,,,,2.20
