,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
31068,com.sparkjava.spark-core,1.0,2013-06-29,https://repo1.maven.org/maven2/com/sparkjava/spark-core/1.0/spark-core-1.0.jar,,,,,,,,1.1
31069,com.sparkjava.spark-core,1.1,2013-08-14,https://repo1.maven.org/maven2/com/sparkjava/spark-core/1.1/spark-core-1.1.jar,,,,,,,,1.1.1
31070,com.sparkjava.spark-core,1.1.1,2013-10-31,https://repo1.maven.org/maven2/com/sparkjava/spark-core/1.1.1/spark-core-1.1.1.jar,,,,,,,,2.0.0
31071,com.sparkjava.spark-core,2.0.0,2014-05-12,https://repo1.maven.org/maven2/com/sparkjava/spark-core/2.0.0/spark-core-2.0.0.jar,,,,,,,,2.1
31072,com.sparkjava.spark-core,2.1,2014-12-08,https://repo1.maven.org/maven2/com/sparkjava/spark-core/2.1/spark-core-2.1.jar,,,,,,,,2.2
31074,com.sparkjava.spark-core,2.2,2015-05-15,https://repo1.maven.org/maven2/com/sparkjava/spark-core/2.2/spark-core-2.2.jar,,,,,,,,2.3
31098,com.sparkjava.spark-core,2.3,2015-09-16,https://repo1.maven.org/maven2/com/sparkjava/spark-core/2.3/spark-core-2.3.jar,,,,,,,,2.4
31124,com.sparkjava.spark-core,2.4,2016-04-29,https://repo1.maven.org/maven2/com/sparkjava/spark-core/2.4/spark-core-2.4.jar,,,,,,,,2.5
31099,com.sparkjava.spark-core,2.5,2016-05-03,https://repo1.maven.org/maven2/com/sparkjava/spark-core/2.5/spark-core-2.5.jar,,,,,,,,2.5.1
31127,com.sparkjava.spark-core,2.5.1,2016-10-11,https://repo1.maven.org/maven2/com/sparkjava/spark-core/2.5.1/spark-core-2.5.1.jar,,,,,,,,2.5.2
31128,com.sparkjava.spark-core,2.5.2,2016-11-06,https://repo1.maven.org/maven2/com/sparkjava/spark-core/2.5.2/spark-core-2.5.2.jar,,,,,,,,2.5.3
31129,com.sparkjava.spark-core,2.5.3,2016-11-21,https://repo1.maven.org/maven2/com/sparkjava/spark-core/2.5.3/spark-core-2.5.3.jar,,,,,,,,2.5.4
31130,com.sparkjava.spark-core,2.5.4,2016-12-02,https://repo1.maven.org/maven2/com/sparkjava/spark-core/2.5.4/spark-core-2.5.4.jar,,,,,,,,2.5.5
31131,com.sparkjava.spark-core,2.5.5,2017-02-06,https://repo1.maven.org/maven2/com/sparkjava/spark-core/2.5.5/spark-core-2.5.5.jar,,,,,,,,2.6.0
31132,com.sparkjava.spark-core,2.6.0,2017-05-03,https://repo1.maven.org/maven2/com/sparkjava/spark-core/2.6.0/spark-core-2.6.0.jar,,,,,,,,2.7.0
31133,com.sparkjava.spark-core,2.7.0,2017-11-02,https://repo1.maven.org/maven2/com/sparkjava/spark-core/2.7.0/spark-core-2.7.0.jar,,,,,,,,2.7.1
31134,com.sparkjava.spark-core,2.7.1,2017-11-14,https://repo1.maven.org/maven2/com/sparkjava/spark-core/2.7.1/spark-core-2.7.1.jar,,,,,,,,2.7.2
31135,com.sparkjava.spark-core,2.7.2,2018-03-07,https://repo1.maven.org/maven2/com/sparkjava/spark-core/2.7.2/spark-core-2.7.2.jar,,,,,,,,2.8.0
31136,com.sparkjava.spark-core,2.8.0,2018-09-18,https://repo1.maven.org/maven2/com/sparkjava/spark-core/2.8.0/spark-core-2.8.0.jar,,,,,,,,2.9.0
31137,com.sparkjava.spark-core,2.9.0,2019-03-27,https://repo1.maven.org/maven2/com/sparkjava/spark-core/2.9.0/spark-core-2.9.0.jar,,,,,,,,2.9.1
31138,com.sparkjava.spark-core,2.9.1,2019-05-22,https://repo1.maven.org/maven2/com/sparkjava/spark-core/2.9.1/spark-core-2.9.1.jar,,,,,,,,2.9.2
31139,com.sparkjava.spark-core,2.9.2,2020-07-01,https://repo1.maven.org/maven2/com/sparkjava/spark-core/2.9.2/spark-core-2.9.2.jar,,,,,,,,2.9.3
31140,com.sparkjava.spark-core,2.9.3,2020-10-08,https://repo1.maven.org/maven2/com/sparkjava/spark-core/2.9.3/spark-core-2.9.3.jar,,,,,,,,2.9.4
31141,com.sparkjava.spark-core,2.9.4,2022-07-10,https://repo1.maven.org/maven2/com/sparkjava/spark-core/2.9.4/spark-core-2.9.4.jar,,,,,,,,
