,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
73980,com.squareup.javapoet,1.0.0,2015-01-28,https://repo1.maven.org/maven2/com/squareup/javapoet/1.0.0/javapoet-1.0.0.jar,,,,,,,,1.1.0
73981,com.squareup.javapoet,1.1.0,2015-05-26,https://repo1.maven.org/maven2/com/squareup/javapoet/1.1.0/javapoet-1.1.0.jar,,,,,,,,1.2.0
73982,com.squareup.javapoet,1.2.0,2015-07-04,https://repo1.maven.org/maven2/com/squareup/javapoet/1.2.0/javapoet-1.2.0.jar,,,,,,,,1.3.0
73983,com.squareup.javapoet,1.3.0,2015-09-20,https://repo1.maven.org/maven2/com/squareup/javapoet/1.3.0/javapoet-1.3.0.jar,,,,,,,,1.4.0
73984,com.squareup.javapoet,1.4.0,2015-11-14,https://repo1.maven.org/maven2/com/squareup/javapoet/1.4.0/javapoet-1.4.0.jar,,,,,,,,1.5.0
73985,com.squareup.javapoet,1.5.0,2016-01-10,https://repo1.maven.org/maven2/com/squareup/javapoet/1.5.0/javapoet-1.5.0.jar,,,,,,,,1.5.1
73986,com.squareup.javapoet,1.5.1,2016-01-11,https://repo1.maven.org/maven2/com/squareup/javapoet/1.5.1/javapoet-1.5.1.jar,,,,,,,,1.6.0
73987,com.squareup.javapoet,1.6.0,2016-03-19,https://repo1.maven.org/maven2/com/squareup/javapoet/1.6.0/javapoet-1.6.0.jar,,,,,,,,1.6.1
73988,com.squareup.javapoet,1.6.1,2016-03-21,https://repo1.maven.org/maven2/com/squareup/javapoet/1.6.1/javapoet-1.6.1.jar,,,,,,,,1.7.0
73970,com.squareup.javapoet,1.7.0,2016-04-27,https://repo1.maven.org/maven2/com/squareup/javapoet/1.7.0/javapoet-1.7.0.jar,,,,,,,,1.8.0
73989,com.squareup.javapoet,1.8.0,2016-11-09,https://repo1.maven.org/maven2/com/squareup/javapoet/1.8.0/javapoet-1.8.0.jar,,,,,,,,1.9.0
73969,com.squareup.javapoet,1.9.0,2017-05-13,https://repo1.maven.org/maven2/com/squareup/javapoet/1.9.0/javapoet-1.9.0.jar,,,,,,,,1.10.0
73967,com.squareup.javapoet,1.10.0,2018-01-27,https://repo1.maven.org/maven2/com/squareup/javapoet/1.10.0/javapoet-1.10.0.jar,,,,,,,,1.11.0
73949,com.squareup.javapoet,1.11.0,2018-04-29,https://repo1.maven.org/maven2/com/squareup/javapoet/1.11.0/javapoet-1.11.0.jar,,,,,,,,1.11.1
73950,com.squareup.javapoet,1.11.1,2018-05-16,https://repo1.maven.org/maven2/com/squareup/javapoet/1.11.1/javapoet-1.11.1.jar,,,,,,,,1.12.0
73951,com.squareup.javapoet,1.12.0,2020-01-09,https://repo1.maven.org/maven2/com/squareup/javapoet/1.12.0/javapoet-1.12.0.jar,,,,,,,,1.12.1
73952,com.squareup.javapoet,1.12.1,2020-01-20,https://repo1.maven.org/maven2/com/squareup/javapoet/1.12.1/javapoet-1.12.1.jar,,,,,,,,1.13.0
73953,com.squareup.javapoet,1.13.0,2020-06-18,https://repo1.maven.org/maven2/com/squareup/javapoet/1.13.0/javapoet-1.13.0.jar,,,,,,,,
