,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
20199,com.squareup.okhttp3.okhttp-sse,3.11.0,2018-07-13,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp-sse/3.11.0/okhttp-sse-3.11.0.jar,,,,,,,,3.12.0
20200,com.squareup.okhttp3.okhttp-sse,3.12.0,2018-11-17,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp-sse/3.12.0/okhttp-sse-3.12.0.jar,,,,,,,,3.12.1
20201,com.squareup.okhttp3.okhttp-sse,3.12.1,2018-12-23,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp-sse/3.12.1/okhttp-sse-3.12.1.jar,,,,,,,,3.12.2
20202,com.squareup.okhttp3.okhttp-sse,3.12.2,2019-03-14,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp-sse/3.12.2/okhttp-sse-3.12.2.jar,,,,,,,,3.12.3
20203,com.squareup.okhttp3.okhttp-sse,3.12.3,2019-05-07,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp-sse/3.12.3/okhttp-sse-3.12.3.jar,,,,,,,,3.12.4
20204,com.squareup.okhttp3.okhttp-sse,3.12.4,2019-09-05,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp-sse/3.12.4/okhttp-sse-3.12.4.jar,,,,,,,,3.12.5
20205,com.squareup.okhttp3.okhttp-sse,3.12.5,2019-09-11,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp-sse/3.12.5/okhttp-sse-3.12.5.jar,,,,,,,,3.12.6
20206,com.squareup.okhttp3.okhttp-sse,3.12.6,2019-09-29,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp-sse/3.12.6/okhttp-sse-3.12.6.jar,,,,,,,,3.12.7
20207,com.squareup.okhttp3.okhttp-sse,3.12.7,2020-01-03,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp-sse/3.12.7/okhttp-sse-3.12.7.jar,,,,,,,,3.12.8
20208,com.squareup.okhttp3.okhttp-sse,3.12.8,2020-01-12,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp-sse/3.12.8/okhttp-sse-3.12.8.jar,,,,,,,,3.12.9
20209,com.squareup.okhttp3.okhttp-sse,3.12.9,2020-02-25,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp-sse/3.12.9/okhttp-sse-3.12.9.jar,,,,,,,,3.12.10
20187,com.squareup.okhttp3.okhttp-sse,3.12.10,2020-02-29,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp-sse/3.12.10/okhttp-sse-3.12.10.jar,,,,,,,,3.12.11
20210,com.squareup.okhttp3.okhttp-sse,3.12.11,2020-04-29,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp-sse/3.12.11/okhttp-sse-3.12.11.jar,,,,,,,,3.12.12
20186,com.squareup.okhttp3.okhttp-sse,3.12.12,2020-05-17,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp-sse/3.12.12/okhttp-sse-3.12.12.jar,,,,,,,,3.12.13
20184,com.squareup.okhttp3.okhttp-sse,3.12.13,2021-01-30,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp-sse/3.12.13/okhttp-sse-3.12.13.jar,,,,,,,,3.13.0
20161,com.squareup.okhttp3.okhttp-sse,3.13.0,2019-02-05,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp-sse/3.13.0/okhttp-sse-3.13.0.jar,,,,,,,,3.13.1
20162,com.squareup.okhttp3.okhttp-sse,3.13.1,2019-02-05,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp-sse/3.13.1/okhttp-sse-3.13.1.jar,,,,,,,,3.14.0
20163,com.squareup.okhttp3.okhttp-sse,3.14.0,2019-03-14,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp-sse/3.14.0/okhttp-sse-3.14.0.jar,,,,,,,,3.14.1
20164,com.squareup.okhttp3.okhttp-sse,3.14.1,2019-04-10,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp-sse/3.14.1/okhttp-sse-3.14.1.jar,,,,,,,,3.14.2
20165,com.squareup.okhttp3.okhttp-sse,3.14.2,2019-05-19,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp-sse/3.14.2/okhttp-sse-3.14.2.jar,,,,,,,,3.14.3
20166,com.squareup.okhttp3.okhttp-sse,3.14.3,2019-09-11,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp-sse/3.14.3/okhttp-sse-3.14.3.jar,,,,,,,,3.14.4
20167,com.squareup.okhttp3.okhttp-sse,3.14.4,2019-09-29,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp-sse/3.14.4/okhttp-sse-3.14.4.jar,,,,,,,,3.14.5
20168,com.squareup.okhttp3.okhttp-sse,3.14.5,2020-01-03,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp-sse/3.14.5/okhttp-sse-3.14.5.jar,,,,,,,,3.14.6
