,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
106945,com.squareup.okhttp3.okhttp,1.0.0,2013-05-06,https://repo1.maven.org/maven2/com/squareup/okhttp/okhttp/1.0.0/okhttp-1.0.0.jar,,,,,,,,1.0.1
106944,com.squareup.okhttp3.okhttp,1.0.1,2013-05-06,https://repo1.maven.org/maven2/com/squareup/okhttp/okhttp/1.0.1/okhttp-1.0.1.jar,,,,,,,,1.0.2
106943,com.squareup.okhttp3.okhttp,1.0.2,2013-05-12,https://repo1.maven.org/maven2/com/squareup/okhttp/okhttp/1.0.2/okhttp-1.0.2.jar,,,,,,,,1.1.0
106948,com.squareup.okhttp3.okhttp,1.1.0,2013-06-16,https://repo1.maven.org/maven2/com/squareup/okhttp/okhttp/1.1.0/okhttp-1.1.0.jar,,,,,,,,1.1.1
106942,com.squareup.okhttp3.okhttp,1.1.1,2013-06-24,https://repo1.maven.org/maven2/com/squareup/okhttp/okhttp/1.1.1/okhttp-1.1.1.jar,,,,,,,,1.2.0
106940,com.squareup.okhttp3.okhttp,1.2.0,2013-08-12,https://repo1.maven.org/maven2/com/squareup/okhttp/okhttp/1.2.0/okhttp-1.2.0.jar,,,,,,,,1.2.1
106939,com.squareup.okhttp3.okhttp,1.2.1,2013-08-24,https://repo1.maven.org/maven2/com/squareup/okhttp/okhttp/1.2.1/okhttp-1.2.1.jar,,,,,,,,1.3.0
106938,com.squareup.okhttp3.okhttp,1.3.0,2014-01-12,https://repo1.maven.org/maven2/com/squareup/okhttp/okhttp/1.3.0/okhttp-1.3.0.jar,,,,,,,,1.5.0
106937,com.squareup.okhttp3.okhttp,1.5.0,2014-03-07,https://repo1.maven.org/maven2/com/squareup/okhttp/okhttp/1.5.0/okhttp-1.5.0.jar,,,,,,,,1.5.1
106936,com.squareup.okhttp3.okhttp,1.5.1,2014-03-12,https://repo1.maven.org/maven2/com/squareup/okhttp/okhttp/1.5.1/okhttp-1.5.1.jar,,,,,,,,1.5.2
106935,com.squareup.okhttp3.okhttp,1.5.2,2014-03-18,https://repo1.maven.org/maven2/com/squareup/okhttp/okhttp/1.5.2/okhttp-1.5.2.jar,,,,,,,,1.5.3
106918,com.squareup.okhttp3.okhttp,1.5.3,2014-03-29,https://repo1.maven.org/maven2/com/squareup/okhttp/okhttp/1.5.3/okhttp-1.5.3.jar,,,,,,,,1.5.4
106941,com.squareup.okhttp3.okhttp,1.5.4,2014-04-15,https://repo1.maven.org/maven2/com/squareup/okhttp/okhttp/1.5.4/okhttp-1.5.4.jar,,,,,,,,1.6.0
106917,com.squareup.okhttp3.okhttp,1.6.0,2014-05-24,https://repo1.maven.org/maven2/com/squareup/okhttp/okhttp/1.6.0/okhttp-1.6.0.jar,,,,,,,,2.0.0
106907,com.squareup.okhttp3.okhttp,2.0.0,2014-06-21,https://repo1.maven.org/maven2/com/squareup/okhttp/okhttp/2.0.0/okhttp-2.0.0.jar,,,,,,,,2.1.0
106890,com.squareup.okhttp3.okhttp,2.1.0,2014-11-12,https://repo1.maven.org/maven2/com/squareup/okhttp/okhttp/2.1.0/okhttp-2.1.0.jar,,,,,,,,2.2.0
106891,com.squareup.okhttp3.okhttp,2.2.0,2014-12-31,https://repo1.maven.org/maven2/com/squareup/okhttp/okhttp/2.2.0/okhttp-2.2.0.jar,,,,,,,,2.3.0
106892,com.squareup.okhttp3.okhttp,2.3.0,2015-03-17,https://repo1.maven.org/maven2/com/squareup/okhttp/okhttp/2.3.0/okhttp-2.3.0.jar,,,,,,,,2.4.0
106893,com.squareup.okhttp3.okhttp,2.4.0,2015-05-22,https://repo1.maven.org/maven2/com/squareup/okhttp/okhttp/2.4.0/okhttp-2.4.0.jar,,,,,,,,2.5.0
106894,com.squareup.okhttp3.okhttp,2.5.0,2015-08-26,https://repo1.maven.org/maven2/com/squareup/okhttp/okhttp/2.5.0/okhttp-2.5.0.jar,,,,,,,,2.6.0
106895,com.squareup.okhttp3.okhttp,2.6.0,2015-11-22,https://repo1.maven.org/maven2/com/squareup/okhttp/okhttp/2.6.0/okhttp-2.6.0.jar,,,,,,,,2.7.0
106896,com.squareup.okhttp3.okhttp,2.7.0,2015-12-14,https://repo1.maven.org/maven2/com/squareup/okhttp/okhttp/2.7.0/okhttp-2.7.0.jar,,,,,,,,2.7.1
106897,com.squareup.okhttp3.okhttp,2.7.1,2016-01-01,https://repo1.maven.org/maven2/com/squareup/okhttp/okhttp/2.7.1/okhttp-2.7.1.jar,,,,,,,,2.7.2
106898,com.squareup.okhttp3.okhttp,2.7.2,2016-01-08,https://repo1.maven.org/maven2/com/squareup/okhttp/okhttp/2.7.2/okhttp-2.7.2.jar,,,,,,,,2.7.3
106899,com.squareup.okhttp3.okhttp,2.7.3,2016-02-07,https://repo1.maven.org/maven2/com/squareup/okhttp/okhttp/2.7.3/okhttp-2.7.3.jar,,,,,,,,2.7.4
106900,com.squareup.okhttp3.okhttp,2.7.4,2016-02-08,https://repo1.maven.org/maven2/com/squareup/okhttp/okhttp/2.7.4/okhttp-2.7.4.jar,,,,,,,,2.7.5
106901,com.squareup.okhttp3.okhttp,2.7.5,2016-02-26,https://repo1.maven.org/maven2/com/squareup/okhttp/okhttp/2.7.5/okhttp-2.7.5.jar,,,,,,,,3.0.0
70913,com.squareup.okhttp3.okhttp,3.0.0,2016-01-13,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp/3.0.0/okhttp-3.0.0.jar,,,,,,,,3.0.1
70922,com.squareup.okhttp3.okhttp,3.0.1,2016-01-15,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp/3.0.1/okhttp-3.0.1.jar,,,,,,,,3.1.0
70914,com.squareup.okhttp3.okhttp,3.1.0,2016-02-06,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp/3.1.0/okhttp-3.1.0.jar,,,,,,,,3.1.1
70915,com.squareup.okhttp3.okhttp,3.1.1,2016-02-08,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp/3.1.1/okhttp-3.1.1.jar,,,,,,,,3.1.2
70916,com.squareup.okhttp3.okhttp,3.1.2,2016-02-10,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp/3.1.2/okhttp-3.1.2.jar,,,,,,,,3.2.0
70917,com.squareup.okhttp3.okhttp,3.2.0,2016-02-26,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp/3.2.0/okhttp-3.2.0.jar,,,,,,,,3.3.0
70918,com.squareup.okhttp3.okhttp,3.3.0,2016-05-25,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp/3.3.0/okhttp-3.3.0.jar,,,,,,,,3.3.1
70919,com.squareup.okhttp3.okhttp,3.3.1,2016-05-28,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp/3.3.1/okhttp-3.3.1.jar,,,,,,,,3.4.0
70920,com.squareup.okhttp3.okhttp,3.4.0,2016-07-09,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp/3.4.0/okhttp-3.4.0.jar,,,,,,,,3.4.1
70921,com.squareup.okhttp3.okhttp,3.4.1,2016-07-10,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp/3.4.1/okhttp-3.4.1.jar,,,,,,,,3.4.2
70904,com.squareup.okhttp3.okhttp,3.4.2,2016-11-03,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp/3.4.2/okhttp-3.4.2.jar,,,,,,,,3.5.0
70912,com.squareup.okhttp3.okhttp,3.5.0,2016-12-01,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp/3.5.0/okhttp-3.5.0.jar,,,,,,,,3.6.0
70903,com.squareup.okhttp3.okhttp,3.6.0,2017-01-29,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp/3.6.0/okhttp-3.6.0.jar,,,,,,,,3.7.0
70890,com.squareup.okhttp3.okhttp,3.7.0,2017-04-16,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp/3.7.0/okhttp-3.7.0.jar,,,,,,,,3.8.0
70881,com.squareup.okhttp3.okhttp,3.8.0,2017-05-13,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp/3.8.0/okhttp-3.8.0.jar,,,,,,,,3.8.1
70882,com.squareup.okhttp3.okhttp,3.8.1,2017-06-18,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp/3.8.1/okhttp-3.8.1.jar,,,,,,,,3.9.0
70883,com.squareup.okhttp3.okhttp,3.9.0,2017-09-04,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp/3.9.0/okhttp-3.9.0.jar,,,,,,,,3.9.1
70884,com.squareup.okhttp3.okhttp,3.9.1,2017-11-18,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp/3.9.1/okhttp-3.9.1.jar,,,,,,,,3.10.0
70885,com.squareup.okhttp3.okhttp,3.10.0,2018-02-24,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp/3.10.0/okhttp-3.10.0.jar,,,,,,,,3.11.0
70886,com.squareup.okhttp3.okhttp,3.11.0,2018-07-13,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp/3.11.0/okhttp-3.11.0.jar,,,,,,,,3.12.0
70887,com.squareup.okhttp3.okhttp,3.12.0,2018-11-17,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp/3.12.0/okhttp-3.12.0.jar,,,,,,,,3.12.1
70888,com.squareup.okhttp3.okhttp,3.12.1,2018-12-23,https://repo1.maven.org/maven2/com/squareup/okhttp3/okhttp/3.12.1/okhttp-3.12.1.jar,,,,,,,,3.12.2
