,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
55382,com.squareup.picasso.picasso,1.0.0,2013-05-14,https://repo1.maven.org/maven2/com/squareup/picasso/picasso/1.0.0/picasso-1.0.0.jar,,,,,,,,1.0.1
55383,com.squareup.picasso.picasso,1.0.1,2013-05-14,https://repo1.maven.org/maven2/com/squareup/picasso/picasso/1.0.1/picasso-1.0.1.jar,,,,,,,,1.0.2
55384,com.squareup.picasso.picasso,1.0.2,2013-05-24,https://repo1.maven.org/maven2/com/squareup/picasso/picasso/1.0.2/picasso-1.0.2.jar,,,,,,,,1.1.0
55385,com.squareup.picasso.picasso,1.1.0,2013-06-13,https://repo1.maven.org/maven2/com/squareup/picasso/picasso/1.1.0/picasso-1.1.0.jar,,,,,,,,1.1.1
55386,com.squareup.picasso.picasso,1.1.1,2013-06-14,https://repo1.maven.org/maven2/com/squareup/picasso/picasso/1.1.1/picasso-1.1.1.jar,,,,,,,,2.0.0
55387,com.squareup.picasso.picasso,2.0.0,2013-08-30,https://repo1.maven.org/maven2/com/squareup/picasso/picasso/2.0.0/picasso-2.0.0.jar,,,,,,,,2.0.1
55388,com.squareup.picasso.picasso,2.0.1,2013-09-05,https://repo1.maven.org/maven2/com/squareup/picasso/picasso/2.0.1/picasso-2.0.1.jar,,,,,,,,2.0.2
55389,com.squareup.picasso.picasso,2.0.2,2013-09-11,https://repo1.maven.org/maven2/com/squareup/picasso/picasso/2.0.2/picasso-2.0.2.jar,,,,,,,,2.1.0
55390,com.squareup.picasso.picasso,2.1.0,2013-10-02,https://repo1.maven.org/maven2/com/squareup/picasso/picasso/2.1.0/picasso-2.1.0.jar,,,,,,,,2.1.1
55391,com.squareup.picasso.picasso,2.1.1,2013-10-05,https://repo1.maven.org/maven2/com/squareup/picasso/picasso/2.1.1/picasso-2.1.1.jar,,,,,,,,2.2.0
55392,com.squareup.picasso.picasso,2.2.0,2014-02-01,https://repo1.maven.org/maven2/com/squareup/picasso/picasso/2.2.0/picasso-2.2.0.jar,,,,,,,,2.3.0
55393,com.squareup.picasso.picasso,2.3.0,2014-05-29,https://repo1.maven.org/maven2/com/squareup/picasso/picasso/2.3.0/picasso-2.3.0.jar,,,,,,,,2.3.1
55373,com.squareup.picasso.picasso,2.3.1,2014-05-29,https://repo1.maven.org/maven2/com/squareup/picasso/picasso/2.3.1/picasso-2.3.1.jar,,,,,,,,2.3.2
55372,com.squareup.picasso.picasso,2.3.2,2014-06-06,https://repo1.maven.org/maven2/com/squareup/picasso/picasso/2.3.2/picasso-2.3.2.jar,,,,,,,,2.3.3
55371,com.squareup.picasso.picasso,2.3.3,2014-07-21,https://repo1.maven.org/maven2/com/squareup/picasso/picasso/2.3.3/picasso-2.3.3.jar,,,,,,,,2.3.4
55359,com.squareup.picasso.picasso,2.3.4,2014-08-26,https://repo1.maven.org/maven2/com/squareup/picasso/picasso/2.3.4/picasso-2.3.4.jar,,,,,,,,2.4.0
55351,com.squareup.picasso.picasso,2.4.0,2014-11-04,https://repo1.maven.org/maven2/com/squareup/picasso/picasso/2.4.0/picasso-2.4.0.jar,,,,,,,,2.5.0
55352,com.squareup.picasso.picasso,2.5.0,2015-02-06,https://repo1.maven.org/maven2/com/squareup/picasso/picasso/2.5.0/picasso-2.5.0.jar,,,,,,,,2.5.1
55353,com.squareup.picasso.picasso,2.5.1,2015-03-19,https://repo1.maven.org/maven2/com/squareup/picasso/picasso/2.5.1/picasso-2.5.1.jar,,,,,,,,2.5.2
55354,com.squareup.picasso.picasso,2.5.2,2015-03-20,https://repo1.maven.org/maven2/com/squareup/picasso/picasso/2.5.2/picasso-2.5.2.jar,,,,,,,,2.8
55355,com.squareup.picasso.picasso,2.8,2020-08-10,https://repo1.maven.org/maven2/com/squareup/picasso/picasso/2.8/picasso-2.8.aar,,,,,,,,2.71828
55356,com.squareup.picasso.picasso,2.71828,2018-03-07,https://repo1.maven.org/maven2/com/squareup/picasso/picasso/2.71828/picasso-2.71828.aar,,,,,,,,
