,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
106845,com.squareup.retrofit2.retrofit,1.0.0,2013-05-13,https://repo1.maven.org/maven2/com/squareup/retrofit/retrofit/1.0.0/retrofit-1.0.0.jar,,,,,,,,1.0.1
106843,com.squareup.retrofit2.retrofit,1.0.1,2013-05-13,https://repo1.maven.org/maven2/com/squareup/retrofit/retrofit/1.0.1/retrofit-1.0.1.jar,,,,,,,,1.0.2
106842,com.squareup.retrofit2.retrofit,1.0.2,2013-05-24,https://repo1.maven.org/maven2/com/squareup/retrofit/retrofit/1.0.2/retrofit-1.0.2.jar,,,,,,,,1.1.0
106841,com.squareup.retrofit2.retrofit,1.1.0,2013-06-20,https://repo1.maven.org/maven2/com/squareup/retrofit/retrofit/1.1.0/retrofit-1.1.0.jar,,,,,,,,1.1.1
106840,com.squareup.retrofit2.retrofit,1.1.1,2013-06-25,https://repo1.maven.org/maven2/com/squareup/retrofit/retrofit/1.1.1/retrofit-1.1.1.jar,,,,,,,,1.2.0
106839,com.squareup.retrofit2.retrofit,1.2.0,2013-08-23,https://repo1.maven.org/maven2/com/squareup/retrofit/retrofit/1.2.0/retrofit-1.2.0.jar,,,,,,,,1.2.1
106838,com.squareup.retrofit2.retrofit,1.2.1,2013-08-30,https://repo1.maven.org/maven2/com/squareup/retrofit/retrofit/1.2.1/retrofit-1.2.1.jar,,,,,,,,1.2.2
106852,com.squareup.retrofit2.retrofit,1.2.2,2013-09-13,https://repo1.maven.org/maven2/com/squareup/retrofit/retrofit/1.2.2/retrofit-1.2.2.jar,,,,,,,,1.3.0
106888,com.squareup.retrofit2.retrofit,1.3.0,2013-11-25,https://repo1.maven.org/maven2/com/squareup/retrofit/retrofit/1.3.0/retrofit-1.3.0.jar,,,,,,,,1.4.0
106916,com.squareup.retrofit2.retrofit,1.4.0,2014-02-01,https://repo1.maven.org/maven2/com/squareup/retrofit/retrofit/1.4.0/retrofit-1.4.0.jar,,,,,,,,1.4.1
106889,com.squareup.retrofit2.retrofit,1.4.1,2014-02-01,https://repo1.maven.org/maven2/com/squareup/retrofit/retrofit/1.4.1/retrofit-1.4.1.jar,,,,,,,,1.5.0
106919,com.squareup.retrofit2.retrofit,1.5.0,2014-03-21,https://repo1.maven.org/maven2/com/squareup/retrofit/retrofit/1.5.0/retrofit-1.5.0.jar,,,,,,,,1.5.1
