,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
41649,com.twitter.algebird-core,0.1.8,2013-02-05,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.9.2/0.1.8/algebird-core_2.9.2-0.1.8.jar,200,,,,,,,0.1.9
41650,com.twitter.algebird-core,0.1.9,2013-02-15,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.10/0.1.9/algebird-core_2.10-0.1.9.jar,209,0,0,0,0,9,0,0.1.10
41651,com.twitter.algebird-core,0.1.10,2013-03-12,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.10/0.1.10/algebird-core_2.10-0.1.10.jar,209,0,0,0,0,0,0,0.1.11
41652,com.twitter.algebird-core,0.1.11,2013-03-12,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.10/0.1.11/algebird-core_2.10-0.1.11.jar,209,0,0,0,0,0,0,0.1.12
41653,com.twitter.algebird-core,0.1.12,2013-04-11,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.10/0.1.12/algebird-core_2.10-0.1.12.jar,304,0,0,0,0,99,0,0.1.13
41654,com.twitter.algebird-core,0.1.13,2013-05-16,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.10/0.1.13/algebird-core_2.10-0.1.13.jar,305,0,0,0,0,1,0,0.2.0
41631,com.twitter.algebird-core,0.2.0,2013-07-17,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.10/0.2.0/algebird-core_2.10-0.2.0.jar,317,0,0,0,0,12,0,0.3.0
41630,com.twitter.algebird-core,0.3.0,2013-10-03,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.10/0.3.0/algebird-core_2.10-0.3.0.jar,364,0,0,0,0,50,0,0.3.1
41629,com.twitter.algebird-core,0.3.1,2013-12-06,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.10/0.3.1/algebird-core_2.10-0.3.1.jar,391,0,0,0,0,51,0,0.4.0
41628,com.twitter.algebird-core,0.4.0,2014-02-06,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.10/0.4.0/algebird-core_2.10-0.4.0.jar,390,0,0,0,0,0,1,0.5.0
41605,com.twitter.algebird-core,0.5.0,2014-03-06,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.10/0.5.0/algebird-core_2.10-0.5.0.jar,394,0,0,0,0,4,0,0.6.0
41606,com.twitter.algebird-core,0.6.0,2014-04-18,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.10/0.6.0/algebird-core_2.10-0.6.0.jar,394,0,0,0,0,1,1,0.7.0
41607,com.twitter.algebird-core,0.7.0,2014-07-03,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.10/0.7.0/algebird-core_2.10-0.7.0.jar,398,0,0,0,0,10,0,0.7.1
41608,com.twitter.algebird-core,0.7.1,2014-09-16,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.10/0.7.1/algebird-core_2.10-0.7.1.jar,405,0,0,0,0,7,0,0.7.2
41609,com.twitter.algebird-core,0.7.2,2014-12-04,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.10/0.7.2/algebird-core_2.10-0.7.2.jar,407,0,0,0,0,4,2,0.8.0
41610,com.twitter.algebird-core,0.8.0,2014-09-09,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.11/0.8.0/algebird-core_2.11-0.8.0.jar,398,0,0,0,0,4,13,0.8.1
41611,com.twitter.algebird-core,0.8.1,2014-09-22,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.11/0.8.1/algebird-core_2.11-0.8.1.jar,406,0,0,0,0,8,0,0.8.2
41612,com.twitter.algebird-core,0.8.2,2014-12-04,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.11/0.8.2/algebird-core_2.11-0.8.2.jar,407,0,0,0,0,3,2,0.9.0
41613,com.twitter.algebird-core,0.9.0,2015-01-21,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.11/0.9.0/algebird-core_2.11-0.9.0.jar,430,0,0,0,0,43,19,0.10.0
41614,com.twitter.algebird-core,0.10.0,2015-05-11,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.11/0.10.0/algebird-core_2.11-0.10.0.jar,534,2,0,6,0,102,4,0.10.1
41615,com.twitter.algebird-core,0.10.1,2015-05-21,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.11/0.10.1/algebird-core_2.11-0.10.1.jar,547,0,0,0,0,15,0,0.10.2
41616,com.twitter.algebird-core,0.10.2,2015-05-27,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.11/0.10.2/algebird-core_2.11-0.10.2.jar,547,0,0,0,0,0,0,0.11.0
41617,com.twitter.algebird-core,0.11.0,2015-07-29,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.11/0.11.0/algebird-core_2.11-0.11.0.jar,553,0,0,1,0,5,0,0.12.0
41618,com.twitter.algebird-core,0.12.0,2016-02-02,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.11/0.12.0/algebird-core_2.11-0.12.0.jar,563,0,0,0,0,13,3,0.12.1
41619,com.twitter.algebird-core,0.12.1,2016-06-26,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.11/0.12.1/algebird-core_2.11-0.12.1.jar,570,0,0,0,0,15,7,0.12.2
41620,com.twitter.algebird-core,0.12.2,2016-09-23,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.11/0.12.2/algebird-core_2.11-0.12.2.jar,570,0,0,0,0,0,0,0.12.3
41621,com.twitter.algebird-core,0.12.3,2016-12-02,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.11/0.12.3/algebird-core_2.11-0.12.3.jar,555,0,0,0,0,7,42,0.12.4
41622,com.twitter.algebird-core,0.12.4,2017-01-30,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.12/0.12.4/algebird-core_2.12-0.12.4.jar,256,0,1,0,606,2,42,0.13.0
41623,com.twitter.algebird-core,0.13.0,2017-02-13,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.12/0.13.0/algebird-core_2.12-0.13.0.jar,256,0,0,0,0,0,0,0.13.1
41624,com.twitter.algebird-core,0.13.1,2017-09-14,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.12/0.13.1/algebird-core_2.12-0.13.1.jar,256,0,0,0,0,0,0,0.13.2
41625,com.twitter.algebird-core,0.13.2,2017-09-14,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.12/0.13.2/algebird-core_2.12-0.13.2.jar,256,0,0,0,0,0,0,0.13.3
41626,com.twitter.algebird-core,0.13.3,2017-10-04,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.12/0.13.3/algebird-core_2.12-0.13.3.jar,256,0,0,0,0,0,0,0.13.4
41627,com.twitter.algebird-core,0.13.4,2018-02-22,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.12/0.13.4/algebird-core_2.12-0.13.4.jar,257,0,0,0,0,1,0,0.13.5
41550,com.twitter.algebird-core,0.13.5,2018-11-10,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.12/0.13.5/algebird-core_2.12-0.13.5.jar,257,0,0,0,0,0,0,0.13.6
41549,com.twitter.algebird-core,0.13.6,2019-11-19,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.13/0.13.6/algebird-core_2.13-0.13.6.jar,514,224,0,27,0,19,13,0.13.7
41548,com.twitter.algebird-core,0.13.7,2020-05-07,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.13/0.13.7/algebird-core_2.13-0.13.7.jar,520,0,0,0,0,6,0,0.13.8
41480,com.twitter.algebird-core,0.13.8,2021-05-21,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.13/0.13.8/algebird-core_2.13-0.13.8.jar,538,0,0,0,0,18,0,0.13.9
41481,com.twitter.algebird-core,0.13.9,2021-11-04,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.13/0.13.9/algebird-core_2.13-0.13.9.jar,538,0,0,0,0,0,0,0.13.10
41482,com.twitter.algebird-core,0.13.10,2023-07-10,https://repo1.maven.org/maven2/com/twitter/algebird-core_2.13/0.13.10/algebird-core_2.13-0.13.10.jar,: 538,0,0,0,0,0,0,
