,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
13053,com.twitter.finagle-thrift,6.0.4,2013-01-08,https://repo1.maven.org/maven2/com/twitter/finagle-thrift_2.9.2/6.0.4/finagle-thrift_2.9.2-6.0.4.jar,9,,,,,,,6.0.5
13054,com.twitter.finagle-thrift,6.0.5,2013-01-08,https://repo1.maven.org/maven2/com/twitter/finagle-thrift_2.9.2/6.0.5/finagle-thrift_2.9.2-6.0.5.jar,9,0,0,0,0,0,0,6.0.6
13055,com.twitter.finagle-thrift,6.0.6,2013-01-25,https://repo1.maven.org/maven2/com/twitter/finagle-thrift_2.9.2/6.0.6/finagle-thrift_2.9.2-6.0.6.jar,9,0,0,0,0,0,0,6.1.0
13056,com.twitter.finagle-thrift,6.1.0,2013-02-02,https://repo1.maven.org/maven2/com/twitter/finagle-thrift_2.10/6.1.0/finagle-thrift_2.10-6.1.0.jar,9,0,0,0,0,0,0,6.1.1
13058,com.twitter.finagle-thrift,6.1.1,2013-02-03,https://repo1.maven.org/maven2/com/twitter/finagle-thrift_2.10/6.1.1/finagle-thrift_2.10-6.1.1.jar,9,0,0,0,0,0,0,6.2.0
13070,com.twitter.finagle-thrift,6.2.0,2013-02-13,https://repo1.maven.org/maven2/com/twitter/finagle-thrift_2.10/6.2.0/finagle-thrift_2.10-6.2.0.jar,9,0,0,0,0,0,0,6.2.1
13059,com.twitter.finagle-thrift,6.2.1,2013-03-25,https://repo1.maven.org/maven2/com/twitter/finagle-thrift_2.10/6.2.1/finagle-thrift_2.10-6.2.1.jar,9,0,0,0,0,0,0,6.3.0
13060,com.twitter.finagle-thrift,6.3.0,2013-04-08,https://repo1.maven.org/maven2/com/twitter/finagle-thrift_2.10/6.3.0/finagle-thrift_2.10-6.3.0.jar,9,0,0,0,0,0,0,6.4.0
13061,com.twitter.finagle-thrift,6.4.0,2013-05-17,https://repo1.maven.org/maven2/com/twitter/finagle-thrift_2.10/6.4.0/finagle-thrift_2.10-6.4.0.jar,9,0,0,0,0,0,0,6.4.1
13062,com.twitter.finagle-thrift,6.4.1,2013-06-03,https://repo1.maven.org/maven2/com/twitter/finagle-thrift_2.10/6.4.1/finagle-thrift_2.10-6.4.1.jar,9,0,0,0,0,0,0,6.5.0
13063,com.twitter.finagle-thrift,6.5.0,2013-06-14,https://repo1.maven.org/maven2/com/twitter/finagle-thrift_2.10/6.5.0/finagle-thrift_2.10-6.5.0.jar,9,0,0,0,0,0,0,6.5.1
13064,com.twitter.finagle-thrift,6.5.1,2013-06-26,https://repo1.maven.org/maven2/com/twitter/finagle-thrift_2.10/6.5.1/finagle-thrift_2.10-6.5.1.jar,9,0,0,0,0,0,0,6.5.2
13065,com.twitter.finagle-thrift,6.5.2,2013-07-23,https://repo1.maven.org/maven2/com/twitter/finagle-thrift_2.10/6.5.2/finagle-thrift_2.10-6.5.2.jar,9,0,0,0,0,0,0,6.6.0
13066,com.twitter.finagle-thrift,6.6.0,2013-09-11,https://repo1.maven.org/maven2/com/twitter/finagle-thrift_2.10/6.6.0/finagle-thrift_2.10-6.6.0.jar,9,0,0,0,0,0,0,6.6.2
13067,com.twitter.finagle-thrift,6.6.2,2013-09-17,https://repo1.maven.org/maven2/com/twitter/finagle-thrift_2.10/6.6.2/finagle-thrift_2.10-6.6.2.jar,9,0,0,0,0,0,0,6.7.1
13068,com.twitter.finagle-thrift,6.7.1,2013-10-16,https://repo1.maven.org/maven2/com/twitter/finagle-thrift_2.10/6.7.1/finagle-thrift_2.10-6.7.1.jar,10,0,0,0,0,1,0,6.7.4
13069,com.twitter.finagle-thrift,6.7.4,2013-10-20,https://repo1.maven.org/maven2/com/twitter/finagle-thrift_2.10/6.7.4/finagle-thrift_2.10-6.7.4.jar,10,0,0,0,0,0,0,6.8.0
13046,com.twitter.finagle-thrift,6.8.0,2013-11-13,https://repo1.maven.org/maven2/com/twitter/finagle-thrift_2.10/6.8.0/finagle-thrift_2.10-6.8.0.jar,11,0,0,0,0,1,0,6.8.1
