,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
53530,com.typesafe.akka.akka-actor-typed,2.5.9,2024-12-10,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor-typed_2.12/2.5.9/akka-actor-typed_2.12-2.5.9.jar,,,,,,,,2.5.16
53531,com.typesafe.akka.akka-actor-typed,2.5.16,2024-01-11,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor-typed_2.12/2.5.16/akka-actor-typed_2.12-2.5.16.jar,5,,,,,,,2.5.17
53532,com.typesafe.akka.akka-actor-typed,2.5.17,2024-03-12,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor-typed_2.12/2.5.17/akka-actor-typed_2.12-2.5.17.jar,5,0,0,0,0,0,0,2.5.19
53533,com.typesafe.akka.akka-actor-typed,2.5.19,2023-11-08,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor-typed_2.12/2.5.19/akka-actor-typed_2.12-2.5.19.jar,5,0,0,0,0,0,0,2.5.20
53534,com.typesafe.akka.akka-actor-typed,2.5.20,2024-04-28,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor-typed_2.12/2.5.20/akka-actor-typed_2.12-2.5.20.jar,5,0,0,0,0,0,0,2.5.21
53517,com.typesafe.akka.akka-actor-typed,2.5.21,2024-11-30,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor-typed_2.12/2.5.21/akka-actor-typed_2.12-2.5.21.jar,5,0,0,0,0,0,0,2.5.22
53516,com.typesafe.akka.akka-actor-typed,2.5.22,2024-03-04,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor-typed_2.12/2.5.22/akka-actor-typed_2.12-2.5.22.jar,5,0,0,0,0,0,0,2.5.23
53515,com.typesafe.akka.akka-actor-typed,2.5.23,2024-02-20,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor-typed_2.13/2.5.23/akka-actor-typed_2.13-2.5.23.jar,109,94,0,10,0,0,0,2.5.24
53508,com.typesafe.akka.akka-actor-typed,2.5.24,2024-02-20,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor-typed_2.13/2.5.24/akka-actor-typed_2.13-2.5.24.jar,109,0,0,0,0,0,0,2.5.25
53500,com.typesafe.akka.akka-actor-typed,2.5.25,2024-02-20,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor-typed_2.13/2.5.25/akka-actor-typed_2.13-2.5.25.jar,109,0,0,0,0,0,0,2.5.26
53501,com.typesafe.akka.akka-actor-typed,2.5.26,2024-02-20,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor-typed_2.13/2.5.26/akka-actor-typed_2.13-2.5.26.jar,109,0,0,0,0,0,0,2.5.27
53502,com.typesafe.akka.akka-actor-typed,2.5.27,2024-02-20,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor-typed_2.13/2.5.27/akka-actor-typed_2.13-2.5.27.jar,109,0,0,0,0,0,0,2.5.28
