,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
53757,com.typesafe.akka.akka-actor,2.1.4,2024-10-29,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor_2.10/2.1.4/akka-actor_2.10-2.1.4.jar,,,,,,,,2.2.5
53758,com.typesafe.akka.akka-actor,2.2.5,2023-10-08,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor_2.10/2.2.5/akka-actor_2.10-2.2.5.jar,,,,,,,,2.3.2
53759,com.typesafe.akka.akka-actor,2.3.2,2024-06-04,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor_2.11/2.3.2/akka-actor_2.11-2.3.2.jar,,,,,,,,2.3.5
53760,com.typesafe.akka.akka-actor,2.3.5,2024-06-04,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor_2.11/2.3.5/akka-actor_2.11-2.3.5.jar,,,,,,,,2.3.6
53761,com.typesafe.akka.akka-actor,2.3.6,2024-12-09,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor_2.10/2.3.6/akka-actor_2.10-2.3.6.jar,,,,,,,,2.3.11
53762,com.typesafe.akka.akka-actor,2.3.11,2024-10-07,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor_2.11/2.3.11/akka-actor_2.11-2.3.11.jar,46,,,,,,,2.3.14
53763,com.typesafe.akka.akka-actor,2.3.14,2024-05-25,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor_2.11/2.3.14/akka-actor_2.11-2.3.14.jar,46,0,0,0,0,0,0,2.3.15
53764,com.typesafe.akka.akka-actor,2.3.15,2024-08-25,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor_2.11/2.3.15/akka-actor_2.11-2.3.15.jar,46,0,0,0,0,0,0,2.3.16
53765,com.typesafe.akka.akka-actor,2.3.16,2023-07-22,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor_2.11/2.3.16/akka-actor_2.11-2.3.16.jar,46,0,0,0,0,0,0,2.4.1
53766,com.typesafe.akka.akka-actor,2.4.1,2023-09-04,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor_2.11/2.4.1/akka-actor_2.11-2.4.1.jar,46,0,0,0,0,0,0,2.4.7
53767,com.typesafe.akka.akka-actor,2.4.7,2023-12-13,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor_2.11/2.4.7/akka-actor_2.11-2.4.7.jar,48,2,0,0,0,0,0,2.4.10
53749,com.typesafe.akka.akka-actor,2.4.10,2023-12-21,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor_2.11/2.4.10/akka-actor_2.11-2.4.10.jar,48,0,0,0,0,0,0,2.4.12
53748,com.typesafe.akka.akka-actor,2.4.12,2024-09-17,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor_2.12/2.4.12/akka-actor_2.12-2.4.12.jar,48,0,0,0,0,0,0,2.4.14
53747,com.typesafe.akka.akka-actor,2.4.14,2023-08-24,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor_2.12/2.4.14/akka-actor_2.12-2.4.14.jar,48,0,0,0,0,0,0,2.4.16
53735,com.typesafe.akka.akka-actor,2.4.16,2024-09-25,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor_2.12/2.4.16/akka-actor_2.12-2.4.16.jar,48,0,0,0,0,0,0,2.4.17
53726,com.typesafe.akka.akka-actor,2.4.17,2023-08-24,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor_2.12/2.4.17/akka-actor_2.12-2.4.17.jar,48,0,0,0,0,0,0,2.4.20
53727,com.typesafe.akka.akka-actor,2.4.20,2023-12-13,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor_2.12/2.4.20/akka-actor_2.12-2.4.20.jar,48,0,0,0,0,0,0,2.5.1
53728,com.typesafe.akka.akka-actor,2.5.1,2024-02-20,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor_2.12/2.5.1/akka-actor_2.12-2.5.1.jar,62,0,0,5,0,9,0,2.5.2
53729,com.typesafe.akka.akka-actor,2.5.2,2023-09-28,https://repo1.maven.org/maven2/com/typesafe/akka/akka-actor_2.11/2.5.2/akka-actor_2.11-2.5.2.jar,64,0,0,0,0,2,0,2.5.3
