,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
73674,com.typesafe.akka.akka-cluster,2.3.15,2024-08-25,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_2.11/2.3.15/akka-cluster_2.11-2.3.15.jar,,,,,,,,2.4.10
73675,com.typesafe.akka.akka-cluster,2.4.10,2023-12-21,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_2.11/2.4.10/akka-cluster_2.11-2.4.10.jar,,,,,,,,2.4.20
73676,com.typesafe.akka.akka-cluster,2.4.20,2024-12-10,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_2.12/2.4.20/akka-cluster_2.12-2.4.20.jar,,,,,,,,2.5.3
73677,com.typesafe.akka.akka-cluster,2.5.3,2024-12-10,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_2.12/2.5.3/akka-cluster_2.12-2.5.3.jar,,,,,,,,2.5.4
73678,com.typesafe.akka.akka-cluster,2.5.4,2024-12-10,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_2.12/2.5.4/akka-cluster_2.12-2.5.4.jar,,,,,,,,2.5.9
73679,com.typesafe.akka.akka-cluster,2.5.9,2024-12-10,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_2.12/2.5.9/akka-cluster_2.12-2.5.9.jar,,,,,,,,2.5.17
73680,com.typesafe.akka.akka-cluster,2.5.17,2024-04-22,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_2.12/2.5.17/akka-cluster_2.12-2.5.17.jar,,,,,,,,2.5.19
73681,com.typesafe.akka.akka-cluster,2.5.19,2023-08-06,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_2.11/2.5.19/akka-cluster_2.11-2.5.19.jar,,,,,,,,2.5.20
73682,com.typesafe.akka.akka-cluster,2.5.20,2024-04-28,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_2.12/2.5.20/akka-cluster_2.12-2.5.20.jar,,,,,,,,2.5.21
73683,com.typesafe.akka.akka-cluster,2.5.21,2024-01-25,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_2.12/2.5.21/akka-cluster_2.12-2.5.21.jar,,,,,,,,2.5.23
73684,com.typesafe.akka.akka-cluster,2.5.23,2023-10-03,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_2.13/2.5.23/akka-cluster_2.13-2.5.23.jar,230,,,,,,,2.5.26
73685,com.typesafe.akka.akka-cluster,2.5.26,2024-02-21,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_2.13/2.5.26/akka-cluster_2.13-2.5.26.jar,230,0,0,0,0,0,0,2.5.27
73686,com.typesafe.akka.akka-cluster,2.5.27,2023-08-03,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_2.13/2.5.27/akka-cluster_2.13-2.5.27.jar,230,0,0,0,0,0,0,2.5.29
73687,com.typesafe.akka.akka-cluster,2.5.29,2023-08-29,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_2.13/2.5.29/akka-cluster_2.13-2.5.29.jar,230,0,0,0,0,0,0,2.5.31
73688,com.typesafe.akka.akka-cluster,2.5.31,2024-05-22,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_2.13/2.5.31/akka-cluster_2.13-2.5.31.jar,230,0,0,0,0,0,0,2.5.32
73689,com.typesafe.akka.akka-cluster,2.5.32,2023-12-14,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_2.13/2.5.32/akka-cluster_2.13-2.5.32.jar,230,0,0,0,0,0,0,2.6.0
73671,com.typesafe.akka.akka-cluster,2.6.0,2024-03-27,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_2.13/2.6.0/akka-cluster_2.13-2.6.0.jar,227,0,0,0,0,0,3,2.6.1
73690,com.typesafe.akka.akka-cluster,2.6.1,2024-05-26,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_2.13/2.6.1/akka-cluster_2.13-2.6.1.jar,227,0,0,0,0,0,0,2.6.2
73670,com.typesafe.akka.akka-cluster,2.6.2,2024-03-27,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_2.13/2.6.2/akka-cluster_2.13-2.6.2.jar,227,0,0,0,0,3,3,2.6.4
73668,com.typesafe.akka.akka-cluster,2.6.4,2024-04-17,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_2.13/2.6.4/akka-cluster_2.13-2.6.4.jar,227,0,0,0,0,0,0,2.6.6
73654,com.typesafe.akka.akka-cluster,2.6.6,2024-08-22,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_2.13/2.6.6/akka-cluster_2.13-2.6.6.jar,,0,0,0,0,32,0,2.6.8
73655,com.typesafe.akka.akka-cluster,2.6.8,2024-02-21,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_2.12/2.6.8/akka-cluster_2.12-2.6.8.jar,,,,,,,,2.6.9
73656,com.typesafe.akka.akka-cluster,2.6.9,2024-04-29,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_2.13/2.6.9/akka-cluster_2.13-2.6.9.jar,259,,,,,,,2.6.10
73657,com.typesafe.akka.akka-cluster,2.6.10,2024-05-22,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_2.13/2.6.10/akka-cluster_2.13-2.6.10.jar,261,0,0,0,0,2,0,2.6.13
73658,com.typesafe.akka.akka-cluster,2.6.13,2024-11-13,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_2.13/2.6.13/akka-cluster_2.13-2.6.13.jar,270,0,0,0,0,9,0,2.6.14
73659,com.typesafe.akka.akka-cluster,2.6.14,2024-01-31,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_2.13/2.6.14/akka-cluster_2.13-2.6.14.jar,270,0,0,0,0,0,0,2.6.15
73660,com.typesafe.akka.akka-cluster,2.6.15,2023-10-25,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_2.13/2.6.15/akka-cluster_2.13-2.6.15.jar,270,0,0,0,0,0,0,2.6.16
73661,com.typesafe.akka.akka-cluster,2.6.16,2024-07-25,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_2.13/2.6.16/akka-cluster_2.13-2.6.16.jar,270,0,0,0,0,0,0,2.6.18
73662,com.typesafe.akka.akka-cluster,2.6.18,2024-05-06,https://repo1.maven.org/maven2/com/typesafe/akka/akka-cluster_3/2.6.18/akka-cluster_3-2.6.18.jar,297,30,0,0,0,66,69,2.6.19
