,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
31271,com.vaadin.vaadin,6.0.0,2009-08-31,https://repo1.maven.org/maven2/com/vaadin/vaadin/6.0.0/vaadin-6.0.0.jar,329,,,,,,,6.0.1
31272,com.vaadin.vaadin,6.0.1,2009-08-31,https://repo1.maven.org/maven2/com/vaadin/vaadin/6.0.1/vaadin-6.0.1.jar,329,0,0,0,0,0,0,6.1.0
31273,com.vaadin.vaadin,6.1.0,2009-09-09,https://repo1.maven.org/maven2/com/vaadin/vaadin/6.1.0/vaadin-6.1.0.jar,331,0,0,0,0,37,0,6.1.1
31274,com.vaadin.vaadin,6.1.1,2009-09-25,https://repo1.maven.org/maven2/com/vaadin/vaadin/6.1.1/vaadin-6.1.1.jar,331,0,0,0,0,0,0,6.1.2
31275,com.vaadin.vaadin,6.1.2,2009-10-08,https://repo1.maven.org/maven2/com/vaadin/vaadin/6.1.2/vaadin-6.1.2.jar,274,0,0,0,0,0,276,6.1.3
31276,com.vaadin.vaadin,6.1.3,2009-10-23,https://repo1.maven.org/maven2/com/vaadin/vaadin/6.1.3/vaadin-6.1.3.jar,274,0,0,0,0,0,0,6.1.4
31277,com.vaadin.vaadin,6.1.4,2009-11-06,https://repo1.maven.org/maven2/com/vaadin/vaadin/6.1.4/vaadin-6.1.4.jar,274,0,0,0,0,0,0,6.1.5
31278,com.vaadin.vaadin,6.1.5,2009-11-20,https://repo1.maven.org/maven2/com/vaadin/vaadin/6.1.5/vaadin-6.1.5.jar,274,0,0,0,0,0,0,6.2.0
31288,com.vaadin.vaadin,6.2.0,2009-12-18,https://repo1.maven.org/maven2/com/vaadin/vaadin/6.2.0/vaadin-6.2.0.jar,297,0,0,1,0,37,9,6.2.1
31313,com.vaadin.vaadin,6.2.1,2010-01-05,https://repo1.maven.org/maven2/com/vaadin/vaadin/6.2.1/vaadin-6.2.1.jar,297,0,0,0,0,0,0,6.2.2
31289,com.vaadin.vaadin,6.2.2,2010-01-15,https://repo1.maven.org/maven2/com/vaadin/vaadin/6.2.2/vaadin-6.2.2.jar,297,0,0,0,0,0,0,6.2.3
31315,com.vaadin.vaadin,6.2.3,2010-02-01,https://repo1.maven.org/maven2/com/vaadin/vaadin/6.2.3/vaadin-6.2.3.jar,297,0,0,0,0,0,0,6.2.4
31316,com.vaadin.vaadin,6.2.4,2010-02-13,https://repo1.maven.org/maven2/com/vaadin/vaadin/6.2.4/vaadin-6.2.4.jar,297,0,0,0,0,0,0,6.2.5
31317,com.vaadin.vaadin,6.2.5,2010-02-27,https://repo1.maven.org/maven2/com/vaadin/vaadin/6.2.5/vaadin-6.2.5.jar,298,0,0,0,0,1,0,6.2.6
31318,com.vaadin.vaadin,6.2.6,2010-03-15,https://repo1.maven.org/maven2/com/vaadin/vaadin/6.2.6/vaadin-6.2.6.jar,298,0,0,0,0,0,0,6.2.7
31319,com.vaadin.vaadin,6.2.7,2010-04-08,https://repo1.maven.org/maven2/com/vaadin/vaadin/6.2.7/vaadin-6.2.7.jar,298,0,0,0,0,0,0,6.3.0
31320,com.vaadin.vaadin,6.3.0,2010-04-13,https://repo1.maven.org/maven2/com/vaadin/vaadin/6.3.0/vaadin-6.3.0.jar,335,0,0,0,0,79,0,6.3.1
31321,com.vaadin.vaadin,6.3.1,2010-04-29,https://repo1.maven.org/maven2/com/vaadin/vaadin/6.3.1/vaadin-6.3.1.jar,335,0,0,0,0,0,0,6.3.2
31322,com.vaadin.vaadin,6.3.2,2010-05-10,https://repo1.maven.org/maven2/com/vaadin/vaadin/6.3.2/vaadin-6.3.2.jar,335,0,0,0,0,0,0,6.3.3
31323,com.vaadin.vaadin,6.3.3,2010-05-25,https://repo1.maven.org/maven2/com/vaadin/vaadin/6.3.3/vaadin-6.3.3.jar,335,0,0,0,0,0,0,6.3.4
31324,com.vaadin.vaadin,6.3.4,2010-06-15,https://repo1.maven.org/maven2/com/vaadin/vaadin/6.3.4/vaadin-6.3.4.jar,335,0,0,0,0,0,0,6.4.0
31325,com.vaadin.vaadin,6.4.0,2010-07-08,https://repo1.maven.org/maven2/com/vaadin/vaadin/6.4.0/vaadin-6.4.0.jar,353,7,0,5,0,6,0,6.4.1
31326,com.vaadin.vaadin,6.4.1,2010-07-26,https://repo1.maven.org/maven2/com/vaadin/vaadin/6.4.1/vaadin-6.4.1.jar,353,0,0,0,0,0,0,6.4.2
31327,com.vaadin.vaadin,6.4.2,2010-08-13,https://repo1.maven.org/maven2/com/vaadin/vaadin/6.4.2/vaadin-6.4.2.jar,353,0,0,0,0,0,0,6.4.3
31328,com.vaadin.vaadin,6.4.3,2010-08-30,https://repo1.maven.org/maven2/com/vaadin/vaadin/6.4.3/vaadin-6.4.3.jar,353,0,0,0,0,0,0,6.4.4
31329,com.vaadin.vaadin,6.4.4,2010-09-13,https://repo1.maven.org/maven2/com/vaadin/vaadin/6.4.4/vaadin-6.4.4.jar,353,0,0,0,0,0,0,6.4.5
