,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
41171,com.vladsch.flexmark.flexmark-all,0.15.2,2017-02-19,https://repo1.maven.org/maven2/com/vladsch/flexmark/flexmark-all/0.15.2/flexmark-all-0.15.2.jar,,,,,,,,
41172,com.vladsch.flexmark.flexmark-all,0.15.3,2017-02-20,https://repo1.maven.org/maven2/com/vladsch/flexmark/flexmark-all/0.15.3/flexmark-all-0.15.3.jar,,,,,,,,
41173,com.vladsch.flexmark.flexmark-all,0.15.4,2017-02-27,https://repo1.maven.org/maven2/com/vladsch/flexmark/flexmark-all/0.15.4/flexmark-all-0.15.4.jar,,,,,,,,
41174,com.vladsch.flexmark.flexmark-all,0.16.0,2017-03-01,https://repo1.maven.org/maven2/com/vladsch/flexmark/flexmark-all/0.16.0/flexmark-all-0.16.0.jar,,,,,,,,
41175,com.vladsch.flexmark.flexmark-all,0.16.1,2017-03-02,https://repo1.maven.org/maven2/com/vladsch/flexmark/flexmark-all/0.16.1/flexmark-all-0.16.1.jar,,,,,,,,
41176,com.vladsch.flexmark.flexmark-all,0.17.0,2017-03-06,https://repo1.maven.org/maven2/com/vladsch/flexmark/flexmark-all/0.17.0/flexmark-all-0.17.0.jar,,,,,,,,
41177,com.vladsch.flexmark.flexmark-all,0.17.1,2017-03-06,https://repo1.maven.org/maven2/com/vladsch/flexmark/flexmark-all/0.17.1/flexmark-all-0.17.1.jar,,,,,,,,
41178,com.vladsch.flexmark.flexmark-all,0.17.2,2017-03-07,https://repo1.maven.org/maven2/com/vladsch/flexmark/flexmark-all/0.17.2/flexmark-all-0.17.2.jar,,,,,,,,
41179,com.vladsch.flexmark.flexmark-all,0.17.3,2017-03-07,https://repo1.maven.org/maven2/com/vladsch/flexmark/flexmark-all/0.17.3/flexmark-all-0.17.3.jar,,,,,,,,
41180,com.vladsch.flexmark.flexmark-all,0.17.4,2017-03-08,https://repo1.maven.org/maven2/com/vladsch/flexmark/flexmark-all/0.17.4/flexmark-all-0.17.4.jar,,,,,,,,
