,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
72944,commons-cli.commons-cli,1.0,2005-11-08,https://repo1.maven.org/maven2/commons-cli/commons-cli/1.0/commons-cli-1.0.jar,,,,,,,,1.1
72943,commons-cli.commons-cli,1.1,2007-07-09,https://repo1.maven.org/maven2/commons-cli/commons-cli/1.1/commons-cli-1.1.jar,,,,,,,,1.2
72942,commons-cli.commons-cli,1.2,2009-03-19,https://repo1.maven.org/maven2/commons-cli/commons-cli/1.2/commons-cli-1.2.jar,4,,,,,,,1.3
72941,commons-cli.commons-cli,1.3,2015-05-03,https://repo1.maven.org/maven2/commons-cli/commons-cli/1.3/commons-cli-1.3.jar,5,1,0,0,0,0,0,1.3.1
72940,commons-cli.commons-cli,1.3.1,2015-06-14,https://repo1.maven.org/maven2/commons-cli/commons-cli/1.3.1/commons-cli-1.3.1.jar,5,0,0,0,0,0,0,1.4
72939,commons-cli.commons-cli,1.4,2017-03-09,https://repo1.maven.org/maven2/commons-cli/commons-cli/1.4/commons-cli-1.4.jar,5,0,0,0,0,0,0,1.5.0
72945,commons-cli.commons-cli,1.5.0,2021-10-27,https://repo1.maven.org/maven2/commons-cli/commons-cli/1.5.0/commons-cli-1.5.0.jar,5,0,0,0,0,0,0,1.6.0
72938,commons-cli.commons-cli,1.6.0,2023-10-26,https://repo1.maven.org/maven2/commons-cli/commons-cli/1.6.0/commons-cli-1.6.0.jar,5,0,0,0,0,0,0,1.7.0
72936,commons-cli.commons-cli,1.7.0,2024-04-18,https://repo1.maven.org/maven2/commons-cli/commons-cli/1.7.0/commons-cli-1.7.0.jar,5,0,0,0,0,0,0,1.8.0
72935,commons-cli.commons-cli,1.8.0,2024-05-23,https://repo1.maven.org/maven2/commons-cli/commons-cli/1.8.0/commons-cli-1.8.0.jar,5,0,0,0,0,0,0,1.9.0
72934,commons-cli.commons-cli,1.9.0,2024-08-14,https://repo1.maven.org/maven2/commons-cli/commons-cli/1.9.0/commons-cli-1.9.0.jar,: 5,0,0,0,0,0,0,
